dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.640008,14.000000,0.000050,0.009950,0.995025,99.502488,6.283180
0.010000,1.640113,14.000000,0.000155,0.010491,0.054070,-94.095496,0.000043
0.010000,1.640398,14.000000,0.000440,0.028540,1.804922,175.085181,0.000151
0.010000,1.640906,14.000000,0.000947,0.050731,2.219074,41.415213,0.000344
0.010000,1.641698,14.000001,0.001740,0.079249,2.851777,63.270269,0.000644
0.010000,1.642839,14.000002,0.002881,0.114079,3.483005,63.122868,0.001078
0.010000,1.644391,14.000004,0.004433,0.155199,4.112043,62.903750,0.001668
0.010000,1.646417,14.000008,0.006458,0.202579,4.738027,62.598393,0.002441
0.010000,1.648978,14.000015,0.009020,0.256179,5.359950,62.192285,0.003419
0.010000,1.652138,14.000028,0.012180,0.315946,5.976662,61.671290,0.004630
0.010000,1.655956,14.000049,0.015998,0.381814,6.586860,61.019787,0.006098
0.010000,1.660493,14.000080,0.020535,0.453705,7.189108,60.224754,0.007849
0.010000,1.665808,14.000127,0.025850,0.531523,7.781804,59.269665,0.009911
0.010000,1.671959,14.000196,0.032002,0.615155,8.363221,58.141612,0.012311
0.010000,1.679003,14.000292,0.039046,0.704470,8.931473,56.825241,0.015077
0.010000,1.686964,14.000425,0.047008,0.796198,9.172765,24.129217,0.018227
0.010000,1.695833,14.000602,0.055879,0.887099,9.090111,-8.265430,0.021765
0.010000,1.705601,14.000834,0.065650,0.977076,8.997739,-9.237216,0.025699
0.010000,1.716257,14.001131,0.076310,1.066033,8.895704,-10.203485,0.030035
0.010000,1.727790,14.001505,0.087849,1.153874,8.784096,-11.160818,0.034780
0.010000,1.740186,14.001968,0.100254,1.240505,8.663046,-12.105012,0.039943
0.010000,1.753433,14.002534,0.113513,1.325832,8.532741,-13.030501,0.045532
0.010000,1.767514,14.003218,0.127610,1.409767,8.393445,-13.929581,0.051557
0.010000,1.782414,14.004035,0.142532,1.492222,8.245503,-14.794176,0.058026
0.010000,1.798115,14.005002,0.158264,1.573115,8.089366,-15.613749,0.064952
0.010000,1.814600,14.006135,0.174787,1.652371,7.925610,-16.375537,0.072344
0.010000,1.831849,14.007453,0.192086,1.729921,7.754965,-17.064488,0.080214
0.010000,1.849842,14.008975,0.210144,1.805704,7.578329,-17.663629,0.088574
0.010000,1.868557,14.010721,0.228940,1.879672,7.396811,-18.151807,0.097436
0.010000,1.887973,14.012710,0.248458,1.951790,7.211751,-18.505970,0.106812
0.010000,1.908068,14.014965,0.268679,2.022038,7.024764,-18.698762,0.116715
0.010000,1.928817,14.017507,0.289583,2.090415,6.837767,-18.699683,0.127157
0.010000,1.950197,14.020360,0.311152,2.156946,6.653023,-18.474353,0.138150
0.010000,1.972184,14.023546,0.333369,2.221677,6.473176,-17.984731,0.149707
0.010000,1.994754,14.027090,0.356216,2.284690,6.301288,-17.188792,0.161839
0.010000,2.017884,14.031017,0.379677,2.346099,6.140868,-16.042002,0.174556
0.010000,2.041551,14.035353,0.403737,2.406058,5.995902,-14.496589,0.187869
0.010000,2.065732,14.040124,0.428385,2.464767,5.870873,-12.502920,0.201785
0.010000,2.090408,14.045358,0.453610,2.522474,5.770759,-10.011376,0.216312
0.010000,2.115559,14.051084,0.479405,2.579484,5.701023,-6.973654,0.231454
0.010000,2.141169,14.057333,0.505766,2.636160,5.667581,-3.344199,0.247212
0.010000,2.167225,14.064136,0.532696,2.692928,5.676732,0.915099,0.263588
0.010000,2.193717,14.071526,0.560198,2.750278,5.735072,5.833999,0.280576
0.010000,2.220637,14.079540,0.588286,2.808772,5.849355,11.428304,0.298169
0.010000,2.247983,14.088217,0.616976,2.869035,6.026322,17.696771,0.316355
0.010000,2.275759,14.097599,0.646294,2.931760,6.272498,24.617527,0.335118
0.010000,2.303972,14.107730,0.676271,2.997699,6.593924,32.142595,0.354437
0.010000,2.332635,14.118662,0.706948,3.067658,6.995888,40.196470,0.374284
0.010000,2.361766,14.130448,0.738372,3.142484,7.482612,48.672368,0.394627
0.010000,2.391389,14.143149,0.770603,3.223054,8.056934,57.432159,0.415428
0.010000,2.421532,14.156829,0.803705,3.310254,8.720007,66.307333,0.436643
0.010000,2.452230,14.171562,0.837755,3.404964,9.471032,75.102485,0.458221
0.010000,2.483519,14.187424,0.872835,3.508034,10.307045,83.601376,0.480108
0.010000,2.515441,14.204501,0.909038,3.620262,11.222801,91.575518,0.502241
0.010000,2.548039,14.222882,0.946462,3.742370,12.210751,98.795069,0.524555
0.010000,2.581358,14.242666,0.985212,3.874982,13.261161,105.040999,0.546980
0.010000,2.615442,14.263954,1.025398,4.018605,14.362345,110.118350,0.569442
0.010000,2.650336,14.286852,1.067134,4.173615,15.501032,113.868765,0.591866
0.010000,2.686082,14.311470,1.110536,4.340244,16.662844,116.181185,0.614174
0.010000,2.722717,14.337920,1.155722,4.518572,17.832846,117.000181,0.636289
0.010000,2.760277,14.366315,1.202807,4.708534,18.996147,116.330059,0.658132
0.010000,2.798793,14.396765,1.251906,4.909919,20.138500,114.235288,0.679627
0.010000,2.838290,14.429382,1.303130,5.122387,21.246863,110.836329,0.700701
0.010000,2.878790,14.464271,1.356585,5.345486,22.309884,106.302095,0.721283
0.010000,2.920308,14.501532,1.412372,5.578669,23.318276,100.839261,0.741305
0.010000,2.962857,14.541260,1.470585,5.821320,24.265077,94.680008,0.760705
0.010000,3.006446,14.583543,1.531313,6.072777,25.145768,88.069154,0.779423
0.010000,3.051057,14.628435,1.594601,6.328828,25.605037,45.926853,0.797396
0.010000,3.096645,14.675951,1.660449,6.584817,25.598977,-0.605945,0.814558
0.010000,3.143163,14.726089,1.728843,6.839378,25.456066,-14.291070,0.830852
0.010000,3.190564,14.778829,1.799755,7.091186,25.180775,-27.529105,0.846230
0.010000,3.238804,14.834138,1.873145,7.338990,24.780375,-40.040023,0.860653
0.010000,3.287837,14.891964,1.948961,7.581632,24.264212,-51.616321,0.874089
0.010000,3.337625,14.952241,2.027142,7.818062,23.643004,-62.120815,0.886512
0.010000,3.388131,15.014892,2.107615,8.047344,22.928195,-71.480863,0.897904
0.010000,3.439323,15.079826,2.190302,8.268658,22.131399,-79.679659,0.908252
0.010000,3.491175,15.146943,2.275115,8.481297,21.263933,-86.746540,0.917548
0.010000,3.543666,15.216131,2.361961,8.684662,20.336466,-92.746762,0.925786
0.010000,3.596780,15.287273,2.450744,8.878249,19.358742,-97.772346,0.932965
0.010000,3.650508,15.360244,2.541360,9.061643,18.339404,-101.933782,0.939088
0.010000,3.704844,15.434911,2.633705,9.234502,17.285875,-105.352975,0.944158
0.010000,3.759787,15.511139,2.727671,9.396545,16.204294,-108.158073,0.948181
0.010000,3.815370,15.588826,2.823194,9.552331,15.578593,-62.570035,0.951166
0.010000,3.871657,15.667909,2.920262,9.706837,15.450599,-12.799491,0.953120
0.010000,3.928719,15.748326,3.018867,9.860496,15.365906,-8.469275,0.954050
0.010000,3.986633,15.830017,3.119005,10.013749,15.325327,-4.057858,0.953959
0.010000,4.045485,15.912923,3.220675,10.167042,15.329237,0.391029,0.952845
0.010000,4.105363,15.996985,3.323884,10.320818,15.377599,4.836147,0.950706
0.010000,4.166365,16.082146,3.428639,10.475517,15.469959,9.235999,0.947536
0.010000,4.228595,16.168347,3.534954,10.631571,15.605420,13.546137,0.943326
0.010000,4.292161,16.255527,3.642848,10.789397,15.782584,17.716363,0.938063
0.010000,4.357183,16.343624,3.752342,10.949392,15.999462,21.687843,0.931733
0.010000,4.423782,16.432574,3.863462,11.111925,16.253366,25.390364,0.924320
0.010000,4.492089,16.522306,3.976235,11.277333,16.540757,28.739147,0.915805
0.010000,4.562242,16.612747,4.090694,11.445904,16.857078,31.632051,0.906165
0.010000,4.634382,16.703814,4.206873,11.617869,17.196547,33.946862,0.895379
0.010000,4.708658,16.795419,4.324806,11.793389,17.551932,35.538551,0.883422
0.010000,4.785224,16.887462,4.444532,11.972532,17.914314,36.238219,0.870272
0.010000,4.864237,16.979830,4.566084,12.155260,18.272833,35.851825,0.855903
0.010000,4.944414,17.070874,4.687399,12.131506,-2.375413,-2064.824549,0.841657
