dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.675389,23.500001,0.006250,0.250000,5.000000,100.000000,0.000518
0.050000,1.697250,23.500036,0.028111,0.437221,3.744420,-25.111599,0.002610
0.050000,1.746497,23.500279,0.077358,0.984946,10.954498,144.201563,0.007279
0.050000,1.828757,23.501194,0.159624,1.645307,13.207221,45.054451,0.014935
0.050000,1.944303,23.503528,0.275194,2.311400,13.321855,2.292683,0.025388
0.050000,2.093515,23.508293,0.424482,2.985761,13.487229,3.307489,0.038362
0.050000,2.276877,23.516734,0.608037,3.671111,13.706988,4.395178,0.053491
0.050000,2.494973,23.530275,0.826553,4.370321,13.984207,5.544384,0.070311
0.050000,2.748488,23.550455,1.080871,5.086347,14.320528,6.726410,0.088264
0.050000,3.038207,23.578841,1.371977,5.822124,14.715530,7.900038,0.106691
0.050000,3.365019,23.616921,1.701000,6.580454,15.166597,9.021351,0.124839
0.050000,3.729932,23.665981,2.069196,7.363927,15.669462,10.057296,0.141872
0.050000,4.128213,23.726014,2.471976,8.055606,13.833593,-36.717387,0.156683
0.050000,4.549056,23.795133,2.898458,8.529627,9.480402,-87.063824,0.168194
0.050000,4.981213,23.870352,3.337111,8.773076,4.868982,-92.228395,0.175757
0.050000,5.419038,23.949039,3.781952,8.896808,2.474656,-47.886523,0.179197
0.050000,5.862831,24.029429,4.232966,9.020294,2.469712,-0.098873,0.178520
0.050000,6.312922,24.109688,4.690157,9.143815,2.470417,0.014090,0.173726
0.050000,6.769655,24.187901,5.153539,9.267637,2.476442,0.120500,0.164804
0.050000,7.233357,24.262068,5.623135,9.391910,2.485466,0.180483,0.151738
0.050000,7.704298,24.330094,6.098963,9.516566,2.493116,0.153000,0.134515
0.050000,8.182648,24.389787,6.581023,9.641211,2.492909,-0.004128,0.113135
0.050000,8.668426,24.438869,7.069275,9.765026,2.476295,-0.332282,0.087626
0.050000,9.161438,24.474995,7.563608,9.886673,2.432932,-0.867274,0.058058
0.050000,9.661217,24.495797,8.063820,10.004241,2.351372,-1.631183,0.024567
0.050000,10.156544,24.499569,8.559162,9.906827,-1.948288,-85.993203,6.277469
0.050000,10.645606,24.490904,9.048300,9.782771,-2.481113,-10.656498,6.251368
0.050000,11.156826,24.464694,9.560192,10.237829,9.101143,231.645121,6.210083
0.050000,11.694711,24.409725,10.100879,10.813735,11.518127,48.339680,6.149570
0.050000,12.264497,24.309186,10.679467,11.571764,15.160589,72.849225,6.063726
0.050000,12.869105,24.137393,11.308007,12.570814,19.980983,96.407880,5.944450
0.050000,13.496351,23.860240,11.993756,13.714970,22.883139,58.043119,5.785158
0.050000,14.097765,23.454840,12.719048,14.505842,15.817436,-141.314043,5.591783
0.050000,14.598672,22.947639,13.431901,14.257062,-4.975605,-415.860827,5.390871
0.050000,14.956391,22.412278,14.075776,12.877487,-27.591492,-452.317746,5.213709
0.050000,15.186168,21.911523,14.626732,11.019128,-37.167186,-191.513874,5.073756
0.050000,15.326036,21.471374,15.088570,9.236761,-35.647344,30.396844,4.968373
0.050000,15.408323,21.096681,15.472193,7.672450,-31.286211,87.222645,4.890210
0.050000,15.455003,20.784506,15.787838,6.312906,-27.190882,81.906586,4.832402
0.050000,15.480092,20.530405,16.043175,5.106745,-24.123227,61.353111,4.789816
0.050000,15.492463,20.330443,16.243519,4.006874,-21.997412,42.516296,4.758899
0.050000,15.497764,20.181629,16.392427,2.978171,-20.574070,28.466829,4.737276
0.050000,15.499551,20.081867,16.492205,1.995562,-19.652171,18.437978,4.723408
0.050000,15.499952,20.026749,16.547325,1.102393,-17.863379,35.775854,4.715954
0.050000,15.499999,20.004730,16.569344,0.440384,-13.240177,92.464026,4.713017
0.050000,15.500000,20.000000,16.574074,0.094594,-6.915815,126.487256,4.712389
0.050000,15.500000,20.000000,16.574074,0.000000,-1.891875,100.478792,4.712389
