dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,2.999984,11.500000,0.000049,0.009868,0.986842,98.684211,6.283175
0.010000,3.000181,11.500000,0.000246,0.019649,0.978013,-0.882892,0.000026
0.010000,3.000749,11.500000,0.000814,0.056803,3.715459,273.744613,0.000109
0.010000,3.001759,11.500000,0.001824,0.100985,4.418229,70.276977,0.000256
0.010000,3.003337,11.500001,0.003402,0.157795,5.680967,126.273840,0.000485
0.010000,3.005609,11.500002,0.005674,0.227236,6.944126,126.315851,0.000816
0.010000,3.008702,11.500006,0.008767,0.309316,8.207921,126.379453,0.001266
0.010000,3.012743,11.500012,0.012808,0.404042,9.472594,126.467301,0.001855
0.010000,3.017857,11.500023,0.017922,0.511426,10.738428,126.583445,0.002600
0.010000,3.024172,11.500043,0.024237,0.631483,12.005743,126.731489,0.003520
0.010000,3.031814,11.500074,0.031879,0.764232,13.274890,126.914684,0.004635
0.010000,3.040911,11.500122,0.040976,0.909695,14.546249,127.135933,0.005963
0.010000,3.051589,11.500194,0.051655,1.067897,15.820233,127.398380,0.007523
0.010000,3.063978,11.500298,0.064044,1.238869,17.097252,127.701885,0.009334
0.010000,3.078203,11.500446,0.078270,1.422647,18.377759,128.050732,0.011417
0.010000,3.094395,11.500650,0.094463,1.619269,19.662185,128.442616,0.013792
0.010000,3.112681,11.500927,0.112751,1.828779,20.950963,128.877769,0.016477
0.010000,3.133189,11.501296,0.133263,2.051224,22.244513,129.355006,0.019494
0.010000,3.156051,11.501780,0.156129,2.286656,23.543202,129.868903,0.022863
0.010000,3.181394,11.502407,0.181481,2.535129,24.847363,130.416086,0.026606
0.010000,3.209287,11.503207,0.209384,2.790358,25.522864,67.550124,0.030735
0.010000,3.239730,11.504212,0.239845,3.046035,25.567691,4.482726,0.035252
0.010000,3.272729,11.505456,0.272866,3.302180,25.614553,4.686152,0.040162
0.010000,3.308284,11.506980,0.308454,3.558809,25.662841,4.828856,0.045466
0.010000,3.346399,11.508822,0.346614,3.815928,25.711876,4.903490,0.051169
0.010000,3.387074,11.511030,0.387349,4.073536,25.760859,4.898279,0.057273
0.010000,3.430311,11.513650,0.430665,4.331625,25.808935,4.807572,0.063782
0.010000,3.476109,11.516734,0.476567,4.590177,25.855109,4.617447,0.070699
0.010000,3.524467,11.520337,0.525059,4.849160,25.898309,4.319935,0.078027
0.010000,3.575381,11.524516,0.576144,5.108533,25.937329,3.902048,0.085768
0.010000,3.628847,11.529332,0.629826,5.368242,25.970857,3.352799,0.093925
0.010000,3.684858,11.534851,0.686109,5.628216,25.997452,2.659510,0.102499
0.010000,3.743405,11.541139,0.744992,5.888372,26.015562,1.811009,0.111492
0.010000,3.804476,11.548268,0.806478,6.148607,26.023505,0.794226,0.120904
0.010000,3.868058,11.556310,0.870566,6.408802,26.019489,-0.401509,0.130735
0.010000,3.934131,11.565342,0.937255,6.668818,26.001618,-1.787189,0.140983
0.010000,4.002676,11.575443,1.006540,6.928497,25.967896,-3.372183,0.151647
0.010000,4.073667,11.586695,1.078416,7.187659,25.916252,-5.164344,0.162723
0.010000,4.147010,11.599168,1.152813,7.439685,25.202621,-71.363079,0.174196
0.010000,4.222548,11.612923,1.229592,7.677933,23.824779,-137.784242,0.186040
0.010000,4.300115,11.628012,1.308614,7.902173,22.423952,-140.082742,0.198228
0.010000,4.379547,11.644485,1.389736,8.112177,21.000445,-142.350686,0.210731
0.010000,4.460674,11.662382,1.472813,8.307728,19.555071,-144.537387,0.223518
0.010000,4.543324,11.681737,1.557699,8.488619,18.089151,-146.591997,0.236556
0.010000,4.627324,11.702578,1.644246,8.654665,16.604518,-148.463306,0.249814
0.010000,4.712499,11.724921,1.732303,8.805700,15.103503,-150.101511,0.263255
0.010000,4.798674,11.748775,1.821719,8.941589,13.588908,-151.459482,0.276847
0.010000,4.885674,11.774142,1.912341,9.062228,12.063950,-152.495837,0.290552
0.010000,4.973323,11.801011,2.004017,9.167550,10.532208,-153.174142,0.304334
0.010000,5.061450,11.829362,2.096592,9.257526,8.997550,-153.465804,0.318156
0.010000,5.149884,11.859167,2.189914,9.332166,7.464035,-153.351489,0.331983
0.010000,5.238458,11.890389,2.283829,9.391524,5.935831,-152.820381,0.345778
0.010000,5.327008,11.922978,2.378186,9.435696,4.417113,-151.871855,0.359505
0.010000,5.415376,11.956881,2.472834,9.464815,2.911964,-150.514912,0.373131
0.010000,5.503409,11.992031,2.567625,9.479058,1.424287,-148.767712,0.386621
0.010000,5.590958,12.028356,2.662411,9.478635,-0.042287,-146.657373,0.399944
0.010000,5.677884,12.065778,2.757049,9.463791,-1.484466,-144.217916,0.413069
