dt,x,y,position,velocity,acceleration,jerk,heading
0.01,1.640024,14,0.00005,0.01,1,100,0
0.01,1.640085,14,0.000112,0.006162,-0.383775,-138.377537,0.000025
0.01,1.640397,14,0.000423,0.031169,2.500639,288.441466,0.000117
0.01,1.640951,14,0.000977,0.055408,2.42392,-7.671908,0.000281
0.01,1.641817,14,0.001843,0.086567,3.115914,69.19937,0.000538
0.01,1.643063,14.000001,0.003089,0.12464,3.807279,69.136464,0.000907
0.01,1.644759,14.000003,0.004786,0.169617,4.497722,69.044387,0.001409
0.01,1.646974,14.000007,0.007,0.221486,5.186879,68.91565,0.002066
0.01,1.649776,14.000014,0.009803,0.280229,5.874333,68.745438,0.002898
0.01,1.653235,14.000026,0.013261,0.345825,6.559617,68.528344,0.003926
0.01,1.657383,14.000045,0.017409,0.414792,6.896639,33.702249,0.00516
0.01,1.662219,14.000073,0.022245,0.483651,6.88589,-1.074901,0.006603
0.01,1.667743,14.000114,0.027769,0.552385,6.873426,-1.246435,0.008253
0.01,1.673952,14.000171,0.033979,0.620978,6.859287,-1.4139,0.010114
0.01,1.680846,14.000248,0.040873,0.689413,6.843508,-1.57787,0.012184
0.01,1.688422,14.000349,0.04845,0.757674,6.826144,-1.736404,0.014466
0.01,1.696678,14.000479,0.056707,0.825747,6.807256,-1.888803,0.016961
0.01,1.705613,14.000643,0.065644,0.893616,6.786903,-2.03534,0.019671
0.01,1.715224,14.000846,0.075256,0.961267,6.765164,-2.1739,0.022595
0.01,1.725507,14.001094,0.085543,1.028689,6.74212,-2.304347,0.025738
0.01,1.736462,14.001395,0.096502,1.095867,6.717871,-2.42496,0.029098
0.01,1.748084,14.001754,0.10813,1.162793,6.692517,-2.535378,0.03268
0.01,1.760372,14.002179,0.120424,1.229454,6.666177,-2.634002,0.036483
0.01,1.77332,14.002677,0.133383,1.295844,6.638987,-2.71894,0.040511
0.01,1.786928,14.003258,0.147002,1.361955,6.611089,-2.789867,0.044765
0.01,1.80119,14.003929,0.16128,1.427781,6.582639,-2.845014,0.049246
0.01,1.816103,14.004699,0.176213,1.49332,6.553825,-2.881388,0.053957
0.01,1.831664,14.005578,0.191799,1.558568,6.52483,-2.899473,0.0589
0.01,1.847868,14.006576,0.208034,1.623527,6.495876,-2.895385,0.064077
0.01,1.864713,14.007702,0.224916,1.688199,6.467192,-2.868443,0.069489
0.01,1.882193,14.008968,0.242442,1.752589,6.439034,-2.815777,0.075138
0.01,1.900305,14.010385,0.260609,1.816706,6.411675,-2.73593,0.081027
0.01,1.919044,14.011965,0.279415,1.88056,6.385414,-2.626031,0.087156
0.01,1.938406,14.013719,0.298856,1.944166,6.360581,-2.483351,0.093529
0.01,1.958387,14.01566,0.318932,2.007541,6.337511,-2.307031,0.100145
0.01,1.978984,14.017801,0.339639,2.070707,6.316588,-2.092248,0.107007
0.01,2.00019,14.020155,0.360976,2.133689,6.2982,-1.83884,0.114116
0.01,2.022003,14.022736,0.382941,2.196516,6.282776,-1.54238,0.121472
0.01,2.044418,14.025559,0.405533,2.259224,6.270762,-1.201364,0.129077
0.01,2.067432,14.028638,0.428752,2.32185,6.262629,-0.813336,0.136931
0.01,2.09104,14.031988,0.452596,2.384439,6.258877,-0.375199,0.145035
0.01,2.115238,14.035626,0.477066,2.447039,6.260016,0.113951,0.153388
0.01,2.140024,14.039567,0.502164,2.509705,6.266588,0.657195,0.16199
0.01,2.165393,14.043828,0.527888,2.572497,6.279146,1.25576,0.17084
0.01,2.191344,14.048427,0.554243,2.635479,6.298251,1.910527,0.179937
0.01,2.217873,14.053381,0.581231,2.698724,6.324484,2.623305,0.189279
0.01,2.244977,14.058708,0.608854,2.762308,6.358419,3.393493,0.198863
0.01,2.272655,14.064427,0.637117,2.826315,6.400636,4.221635,0.208688
0.01,2.300906,14.070559,0.666025,2.890832,6.4517,5.106476,0.218749
0.01,2.329728,14.077122,0.695585,2.955953,6.512167,6.046721,0.229042
0.01,2.35912,14.084137,0.725802,3.021779,6.582563,7.039569,0.239564
0.01,2.389082,14.091627,0.756687,3.088413,6.663387,8.082409,0.250307
0.01,2.419615,14.099611,0.788246,3.155964,6.755094,9.170687,0.261268
0.01,2.450719,14.108115,0.820492,3.224545,6.858088,10.299377,0.272437
0.01,2.482396,14.117159,0.853434,3.294272,6.972711,11.462276,0.283809
0.01,2.514647,14.126769,0.887087,3.365264,7.099239,12.652875,0.295373
0.01,2.547476,14.136969,0.921463,3.437643,7.237863,13.862408,0.307122
0.01,2.580884,14.147785,0.956579,3.51153,7.388691,15.082707,0.319045
0.01,2.614875,14.159242,0.992449,3.587047,7.551724,16.303323,0.331131
0.01,2.649454,14.171367,1.029092,3.664316,7.726868,17.514465,0.343369
0.01,2.684625,14.184188,1.066527,3.743455,7.913915,18.70466,0.355746
0.01,2.720392,14.197733,1.104773,3.82458,8.112541,19.862585,0.368249
0.01,2.75676,14.212031,1.143851,3.907803,8.322306,20.976555,0.380863
0.01,2.793736,14.22711,1.183783,3.99323,8.542655,22.034872,0.393575
0.01,2.831324,14.243002,1.224593,4.080959,8.772916,23.026062,0.406368
0.01,2.869531,14.259736,1.266303,4.171082,9.012307,23.93912,0.419227
0.01,2.908362,14.277343,1.30894,4.263681,9.259945,24.763807,0.432136
0.01,2.947824,14.295855,1.352528,4.35883,9.514852,25.490665,0.445077
0.01,2.987923,14.315303,1.397094,4.45659,9.77597,26.111809,0.458033
0.01,3.028664,14.335719,1.442664,4.557011,10.042173,26.620282,0.470986
0.01,3.070022,14.357117,1.48923,4.656591,9.957958,-8.421427,0.483908
0.01,3.11194,14.379495,1.536747,4.751678,9.508672,-44.928632,0.496764
0.01,3.154359,14.402844,1.585168,4.842055,9.037717,-47.095529,0.509516
0.01,3.197221,14.42715,1.634442,4.927473,8.541782,-49.593459,0.522133
0.01,3.240469,14.452396,1.684519,5.007652,8.017935,-52.384673,0.534582
0.01,3.28404,14.478558,1.735342,5.082289,7.46367,-55.426562,0.546833
0.01,3.327877,14.505608,1.786852,5.151058,6.876939,-58.673072,0.558859
0.01,3.371917,14.533513,1.838989,5.21362,6.256175,-62.076383,0.570635
0.01,3.416098,14.562234,1.891685,5.269623,5.600291,-65.588404,0.582137
