dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.753271,13.999999,0.002405,0.096200,1.923994,38.479874,6.282570
0.050000,1.766677,13.999974,0.015811,0.268129,3.438589,30.291914,6.280046
0.050000,1.796873,13.999793,0.046008,0.603930,6.716015,65.548518,6.274345
0.050000,1.850658,13.999043,0.099798,1.075796,9.437321,54.426113,6.264138
0.050000,1.934938,13.996759,0.184109,1.686221,12.208509,55.423758,6.248013
0.050000,2.053352,13.991236,0.302652,2.370867,13.692915,29.688121,6.225099
0.050000,2.206137,13.980056,0.455845,3.063857,13.859805,3.337795,6.195116
0.050000,2.393290,13.960013,0.644069,3.764470,14.012257,3.049046,6.157810
0.050000,2.614298,13.927126,0.867510,4.468838,14.087347,1.501800,6.113052
0.050000,2.867775,13.876758,1.125943,5.168642,13.996088,-1.825186,6.060995
0.050000,3.151071,13.803936,1.418449,5.850124,13.629644,-7.328872,6.002245
0.050000,3.459992,13.703901,1.743163,6.494277,12.883049,-14.931904,5.938048
0.050000,3.788804,13.572866,2.097123,7.079205,11.698559,-23.689791,5.870379
0.050000,4.130711,13.408777,2.476366,7.584859,10.113091,-31.709362,5.801884
0.050000,4.478767,13.211798,2.876295,7.998588,8.274586,-36.770104,5.735631
0.050000,4.826960,12.984303,3.292219,8.318484,6.397901,-37.533695,5.674755
0.050000,5.171054,12.730435,3.719828,8.552175,4.673830,-34.481429,5.622132
0.050000,5.508912,12.455521,4.155403,8.711504,3.186572,-29.745163,5.580243
0.050000,5.838393,12.167397,4.593094,8.753820,0.846335,-46.804737,5.551385
0.050000,6.157499,11.875996,5.025232,8.642752,-2.221361,-61.353908,5.537460
0.050000,6.465689,11.591222,5.444848,8.392327,-5.008514,-55.743073,5.539901
0.050000,6.762781,11.322729,5.845288,8.008790,-7.670741,-53.244536,5.559933
0.050000,7.041194,11.085649,6.210966,7.313556,-13.904666,-124.678499,5.603600
0.050000,7.304037,10.886680,6.540625,6.593188,-14.407362,-10.053923,5.667495
0.050000,7.569142,10.711668,6.858288,6.353267,-4.798414,192.178959,5.732384
0.050000,7.832566,10.561248,7.161634,6.066913,-5.727095,-18.573626,5.796611
0.050000,8.090075,10.435043,7.448406,5.735450,-6.629250,-18.043094,5.858473
0.050000,8.338302,10.331381,7.717409,5.380055,-7.107900,-9.573005,5.916661
0.050000,8.575451,10.247615,7.968917,5.030164,-6.997820,2.201617,5.970484
0.050000,8.800292,10.181002,8.203418,4.690012,-6.803050,3.895398,6.019616
0.050000,9.011656,10.128988,8.421089,4.353417,-6.731892,1.423158,6.063938
0.050000,9.208464,10.089225,8.621873,4.015676,-6.754818,-0.458535,6.103489
0.050000,9.389734,10.059575,8.805552,3.673589,-6.841736,-1.738343,6.138411
0.050000,9.554607,10.038115,8.971816,3.325269,-6.966409,-2.493461,6.168913
0.050000,9.702342,10.023137,9.120308,2.969857,-7.108240,-2.836625,6.195230
0.050000,9.832321,10.013146,9.250671,2.607242,-7.252292,-2.881049,6.217602
0.050000,9.944035,10.006860,9.362562,2.237821,-7.388435,-2.722846,6.236256
0.050000,10.037079,10.003198,9.455677,1.862310,-7.510213,-2.435561,6.251394
0.050000,10.111135,10.001281,9.529758,1.481621,-7.613778,-2.071302,6.263188
0.050000,10.165967,10.000421,9.584597,1.096771,-7.697008,-1.664592,6.271778
0.050000,10.202743,10.000106,9.621374,0.735553,-7.224349,9.453169,6.277472
0.050000,10.224656,10.000018,9.643287,0.438262,-5.945817,25.570636,6.280839
0.050000,10.235570,10.000001,9.654202,0.218284,-4.399575,30.924843,6.282509
0.050000,10.239382,10.000000,9.658013,0.076228,-2.841116,31.169185,6.283091
0.050000,10.240000,10.000000,9.658631,0.012366,-1.277243,31.277456,6.283185
0.050000,10.240000,10.000000,9.658631,0.000000,-0.247314,20.598589,6.283185
