dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.751425,11.000000,0.002405,0.096200,1.923994,38.479874,6.282570
0.050000,1.757258,10.999989,0.008238,0.116669,0.409396,-30.291954,6.280046
0.050000,1.770352,10.999910,0.021332,0.261866,2.903932,49.890715,6.274345
0.050000,1.793519,10.999587,0.044501,0.463392,4.030525,22.531862,6.264138
0.050000,1.829443,10.998614,0.080439,0.718745,5.107047,21.530444,6.248013
0.050000,1.879191,10.996296,0.130241,0.996048,5.546070,8.780458,6.225099
0.050000,1.942271,10.991683,0.193489,1.264966,5.378363,-3.354150,6.195116
0.050000,2.018148,10.983561,0.269800,1.526206,5.224786,-3.071532,6.157810
0.050000,2.106358,10.970439,0.358981,1.783620,5.148287,-1.529986,6.113052
0.050000,2.206673,10.950507,0.461257,2.045519,5.237990,1.794076,6.060995
0.050000,2.319294,10.921550,0.577540,2.325673,5.603062,7.301439,6.002245
0.050000,2.445015,10.880813,0.709696,2.643123,6.349013,14.919017,5.938048
0.050000,2.585260,10.824870,0.860688,3.019834,7.534214,23.704007,5.870379
0.050000,2.741911,10.749598,1.034485,3.475941,9.122136,31.758446,5.801884
0.050000,2.916966,10.650397,1.235694,4.024172,10.964622,36.849725,5.735631
0.050000,3.112220,10.522664,1.469017,4.666468,12.845919,37.625938,5.674755
0.050000,3.329208,10.362397,1.738776,5.395169,14.574027,34.562156,5.622132
0.050000,3.569517,10.166691,2.048693,6.198356,16.063744,29.794354,5.580243
0.050000,3.833762,9.935479,2.399812,7.022379,16.480448,8.334075,5.551385
0.050000,4.121984,9.672209,2.790175,7.807258,15.697591,-15.657140,5.537460
0.050000,4.435561,9.382471,3.217116,8.538811,14.631046,-21.330911,5.539901
0.050000,4.777302,9.073758,3.677649,9.210663,13.437047,-23.879966,5.559933
0.050000,5.155782,8.752149,4.174317,9.933353,14.453807,20.335190,5.603600
0.050000,5.571470,8.437555,4.695629,10.426241,9.857758,-91.920980,5.667495
0.050000,5.999031,8.155351,5.207925,10.245934,-3.606153,-269.278212,5.732384
0.050000,6.429764,7.909429,5.703917,9.919842,-6.521825,-58.313440,5.796611
0.050000,6.853900,7.701571,6.176249,9.446622,-9.464405,-58.851610,5.858473
0.050000,7.263184,7.530645,6.619790,8.870825,-11.515948,-41.030855,5.916661
0.050000,7.652560,7.393098,7.032746,8.259125,-12.233984,-14.360718,5.970484
0.050000,8.018706,7.284603,7.414628,7.637645,-12.429601,-3.912339,6.019616
0.050000,8.359172,7.200803,7.765256,7.012553,-12.501850,-1.444992,6.063938
0.050000,8.672271,7.137531,8.084683,6.388549,-12.480072,0.435568,6.103489
0.050000,8.956928,7.090959,8.373125,5.768838,-12.394235,1.716747,6.138411
0.050000,9.212536,7.057681,8.630891,5.155312,-12.270506,2.474567,6.168913
0.050000,9.438818,7.034733,8.858333,4.548839,-12.129461,2.820900,6.195230
0.050000,9.635714,7.019595,9.055810,3.949537,-11.986040,2.868429,6.217602
0.050000,9.803299,7.010162,9.223661,3.357018,-11.850390,2.713000,6.236256
0.050000,9.941720,7.004714,9.362189,2.770568,-11.728987,2.428062,6.251394
0.050000,10.051148,7.001881,9.471653,2.189283,-11.625700,2.065733,6.263188
0.050000,10.131745,7.000616,9.552261,1.612150,-11.542671,1.660589,6.271778
0.050000,10.185603,7.000155,9.606120,1.077182,-10.699350,16.866411,6.277472
0.050000,10.217617,7.000026,9.638134,0.640290,-8.737847,39.230070,6.280839
0.050000,10.233541,7.000002,9.654058,0.318483,-6.436131,46.034309,6.282509
0.050000,10.239099,7.000000,9.659616,0.111153,-4.146611,45.790408,6.283091
0.050000,10.240000,7.000000,9.660517,0.018028,-1.862497,45.682270,6.283185
0.050000,10.240000,7.000000,9.660517,0.000000,-0.360560,30.038751,6.283185
