dt,x,y,position,velocity,acceleration,jerk,heading
0.01,1.640015,14.5,0.00005,0.01,1,100,0
0.01,1.640105,14.5,0.00014,0.008988,-0.101241,-110.124137,0.000022
0.01,1.640445,14.5,0.00048,0.034049,2.506162,260.740346,0.000095
0.01,1.641051,14.5,0.001086,0.060531,2.648152,14.19902,0.000225
0.01,1.641996,14.5,0.002031,0.094576,3.404547,75.639509,0.000428
0.01,1.643358,14.500001,0.003393,0.136183,4.160699,75.615116,0.00072
0.01,1.645212,14.500003,0.005247,0.185348,4.916488,75.578954,0.001118
0.01,1.647632,14.500006,0.007667,0.242066,5.671776,75.528754,0.001637
0.01,1.650696,14.500012,0.010731,0.30633,6.4264,75.462433,0.002295
0.01,1.654477,14.500022,0.014512,0.378132,7.180187,75.378699,0.003108
0.01,1.659052,14.500039,0.019087,0.457461,7.932934,75.274748,0.004091
0.01,1.664495,14.500064,0.02453,0.544305,8.684436,75.15017,0.005263
0.01,1.670881,14.500102,0.030916,0.63865,9.434475,75.003843,0.006638
0.01,1.678285,14.500157,0.038321,0.740478,10.182821,74.834651,0.008235
0.01,1.686783,14.500235,0.046819,0.849771,10.929251,74.642983,0.01007
0.01,1.69641,14.500342,0.056446,0.962732,11.296078,36.682715,0.012152
0.01,1.707164,14.500485,0.067202,1.07557,11.283881,-1.219691,0.014481
0.01,1.719046,14.500673,0.079084,1.188277,11.270626,-1.32553,0.017059
0.01,1.732052,14.500913,0.092093,1.300841,11.256447,-1.417869,0.019887
0.01,1.746181,14.501216,0.106225,1.413256,11.241493,-1.495455,0.022965
0.01,1.761432,14.501592,0.121481,1.525515,11.22593,-1.556291,0.026295
0.01,1.777801,14.502051,0.137857,1.637615,11.209947,-1.59823,0.029878
0.01,1.795288,14.502608,0.155352,1.749552,11.19375,-1.61974,0.033714
0.01,1.813889,14.503273,0.173966,1.861328,11.177568,-1.618205,0.037805
0.01,1.833603,14.504062,0.193695,1.972945,11.161651,-1.591694,0.042152
0.01,1.854427,14.504988,0.214539,2.084407,11.146273,-1.5378,0.046756
0.01,1.876357,14.506067,0.236496,2.195725,11.131732,-1.45405,0.051618
0.01,1.899392,14.507317,0.259565,2.306908,11.11835,-1.338228,0.056739
0.01,1.92353,14.508753,0.283745,2.417973,11.106479,-1.187145,0.062119
0.01,1.948766,14.510394,0.309035,2.528938,11.09649,-0.998899,0.067759
0.01,1.975098,14.512259,0.335433,2.639826,11.088789,-0.770087,0.07366
0.01,2.002524,14.514368,0.362939,2.750664,11.083803,-0.498563,0.079823
0.01,2.03104,14.516741,0.391554,2.861484,11.081993,-0.18099,0.086246
0.01,2.060644,14.5194,0.421277,2.972322,11.083835,0.184132,0.09293
0.01,2.091333,14.522368,0.45211,3.08322,11.089845,0.60105,0.099876
0.01,2.123104,14.525667,0.484052,3.194226,11.10055,1.070453,0.107081
0.01,2.155955,14.529323,0.517106,3.305391,11.116511,1.596114,0.114545
0.01,2.189884,14.533359,0.551274,3.416774,11.138297,2.178642,0.122266
0.01,2.224888,14.537802,0.586558,3.528439,11.166506,2.820846,0.130243
0.01,2.260964,14.542678,0.622963,3.640456,11.201738,3.523211,0.138473
0.01,2.298111,14.548016,0.660492,3.752903,11.24461,4.287232,0.146954
0.01,2.336328,14.553844,0.69915,3.86586,11.295734,5.112411,0.155682
0.01,2.375613,14.56019,0.738944,3.979417,11.355725,5.999108,0.164652
0.01,2.415965,14.567086,0.779881,4.093669,11.425185,6.945958,0.173861
0.01,2.457383,14.574562,0.821968,4.208716,11.504697,7.951249,0.183303
0.01,2.499866,14.582651,0.865215,4.324664,11.594818,9.012059,0.192971
0.01,2.543415,14.591384,0.909631,4.441625,11.69607,10.12517,0.20286
0.01,2.58803,14.600796,0.955228,4.559714,11.808929,11.285912,0.212962
0.01,2.633712,14.610922,1.002019,4.679052,11.933816,12.488742,0.223268
0.01,2.680462,14.621795,1.050016,4.799763,12.071087,13.727069,0.23377
0.01,2.728245,14.633444,1.099198,4.918198,11.84348,-22.760718,0.244448
0.01,2.776989,14.645883,1.149505,5.030668,11.246963,-59.651656,0.255277
0.01,2.826625,14.659128,1.200877,5.137221,10.655342,-59.162127,0.266229
0.01,2.877081,14.673188,1.253256,5.237888,10.066691,-58.865094,0.277276
0.01,2.928289,14.688071,1.306583,5.332677,9.478939,-58.775201,0.288391
0.01,2.980179,14.703781,1.360799,5.421576,8.889895,-58.904422,0.299547
0.01,3.032681,14.720318,1.415844,5.504549,8.297294,-59.260066,0.310717
0.01,3.085728,14.73768,1.47166,5.581538,7.698842,-59.84524,0.321873
0.01,3.139249,14.75586,1.528184,5.65246,7.092256,-60.658597,0.33299
0.01,3.193176,14.774847,1.585356,5.717213,6.475308,-61.694728,0.344041
0.01,3.24744,14.794627,1.643113,5.775672,5.845871,-62.943747,0.355003
