dt,x,y,position,velocity,acceleration,jerk,heading
0.01,3.999988,12.4,0.00005,0.01,1,100,0
0.01,4.000222,12.4,0.000283,0.023348,1.334837,33.483699,0.000038
0.01,4.000825,12.4,0.000887,0.060396,3.704751,236.991428,0.00014
0.01,4.001899,12.4,0.001961,0.107374,4.697765,99.301329,0.000323
0.01,4.003577,12.400001,0.003639,0.167779,6.04055,134.27852,0.000608
0.01,4.005993,12.400003,0.006055,0.241619,7.383966,134.341591,0.001019
0.01,4.009282,12.400007,0.009344,0.328902,8.728316,134.435051,0.001578
0.01,4.013579,12.400016,0.013641,0.429641,10.073961,134.564528,0.002309
0.01,4.019017,12.400031,0.019079,0.543855,11.421319,134.735709,0.003235
0.01,4.025733,12.400056,0.025795,0.671563,12.770849,134.953068,0.004379
0.01,4.033861,12.400098,0.033923,0.812794,14.123063,135.221393,0.005764
0.01,4.043536,12.400161,0.043598,0.967579,15.478504,135.544048,0.007414
0.01,4.054895,12.400257,0.054958,1.135956,16.837748,135.924401,0.009354
0.01,4.068074,12.400395,0.068138,1.31797,18.201382,136.363447,0.011607
0.01,4.08321,12.40059,0.083274,1.51367,19.569997,136.861496,0.014198
0.01,4.100371,12.400859,0.100438,1.716379,20.270896,70.08991,0.017141
0.01,4.119562,12.401219,0.119632,1.919405,20.302581,3.168514,0.020437
0.01,4.140785,12.401692,0.14086,2.122775,20.337042,3.446023,0.024089
0.01,4.164042,12.402299,0.164125,2.326515,20.373934,3.689213,0.028099
0.01,4.189337,12.403065,0.189432,2.530643,20.412857,3.892364,0.03247
0.01,4.216672,12.404018,0.216783,2.735177,20.453357,4.049963,0.037204
0.01,4.24605,12.405186,0.246185,2.940126,20.494917,4.155968,0.042305
0.01,4.277473,12.406603,0.27764,3.145496,20.53696,4.204384,0.047775
0.01,4.310943,12.408301,0.311152,3.351284,20.578824,4.186375,0.053617
0.01,4.34646,12.410318,0.346727,3.557482,20.619789,4.096522,0.059834
0.01,4.384026,12.412692,0.384368,3.764072,20.659044,3.925468,0.066428
0.01,4.423639,12.415466,0.424078,3.971029,20.695693,3.664927,0.073401
0.01,4.465298,12.418684,0.465861,4.178317,20.728757,3.306358,0.080757
0.01,4.509,12.422391,0.50972,4.385888,20.757153,2.839587,0.088496
0.01,4.554741,12.426637,0.555657,4.593685,20.77972,2.256734,0.096621
0.01,4.602513,12.431472,0.603674,4.801637,20.79519,1.546999,0.105132
0.01,4.652309,12.43695,0.65377,5.009659,20.802206,0.701553,0.114029
0.01,4.704119,12.443128,0.705947,5.217652,20.799321,-0.288473,0.123314
0.01,4.757929,12.450061,0.760202,5.425502,20.784999,-1.432218,0.132984
0.01,4.813724,12.457811,0.816532,5.633079,20.757637,-2.736204,0.143038
0.01,4.871486,12.466438,0.874935,5.840234,20.71556,-4.207718,0.153473
0.01,4.931192,12.476004,0.935403,6.046805,20.657049,-5.851036,0.164285
0.01,4.992818,12.486575,0.997929,6.252609,20.58036,-7.668902,0.17547
0.01,5.056335,12.498215,1.062503,6.457446,20.483743,-9.661721,0.18702
0.01,5.121709,12.51099,1.129114,6.661101,20.365472,-11.82705,0.198927
0.01,5.188905,12.524965,1.197748,6.86334,20.223886,-14.15865,0.211183
0.01,5.25788,12.540207,1.268387,7.063914,20.057413,-16.647333,0.223776
0.01,5.328589,12.556781,1.341013,7.26256,19.864616,-19.279651,0.236694
0.01,5.400982,12.574751,1.415603,7.459002,19.644244,-22.037203,0.249921
0.01,5.475004,12.59418,1.492132,7.652955,19.395263,-24.898127,0.263441
0.01,5.550597,12.615128,1.570573,7.844124,19.116902,-27.836127,0.277235
0.01,5.627695,12.637655,1.650895,8.032211,18.808706,-30.819525,0.291284
0.01,5.706232,12.661814,1.733065,8.216917,18.470564,-33.814246,0.305564
0.01,5.786136,12.687658,1.817044,8.397944,18.102743,-36.782098,0.32005
0.01,5.867332,12.715234,1.902794,8.575003,17.705917,-39.682591,0.334718
0.01,5.949677,12.74456,1.990205,8.741124,16.612045,-109.387231,0.349526
0.01,6.032967,12.775625,2.0791,8.889479,14.835502,-177.654293,0.364423
0.01,6.117001,12.808403,2.169301,9.020062,13.058363,-177.713879,0.379357
0.01,6.201582,12.842858,2.26063,9.132938,11.287535,-177.082787,0.394277
0.01,6.286518,12.87894,2.352913,9.228238,9.530005,-175.753055,0.409133
0.01,6.371622,12.916592,2.445974,9.306164,7.792636,-173.736809,0.423874
0.01,6.456719,12.955741,2.539644,9.366984,6.081985,-171.065148,0.438455
0.01,6.541637,12.996308,2.633754,9.411025,4.404119,-167.786605,0.452829
0.01,6.626216,13.038204,2.728141,9.43867,2.764474,-163.964469,0.466954
0.01,6.710304,13.081331,2.822644,9.450347,1.167738,-159.673642,0.48079
0.01,6.793762,13.125586,2.91711,9.446525,-0.382233,-154.99708,0.494301
0.01,6.876457,13.17086,3.011387,9.4277,-1.882454,-150.022118,0.507452
0.01,6.958268,13.217038,3.105331,9.394392,-3.330824,-144.83697,0.520215
0.01,7.039085,13.264001,3.198802,9.347131,-4.726098,-139.527416,0.532563
0.01,7.118804,13.311631,3.291666,9.286453,-6.067839,-134.174134,0.544473
0.01,7.197388,13.359836,3.383857,9.219013,-6.744005,-67.616599,0.555934
0.01,7.27485,13.40856,3.475369,9.151231,-6.778139,-3.413357,0.566942
0.01,7.351212,13.457748,3.566201,9.083255,-6.797643,-1.950395,0.577498
0.01,7.426493,13.507348,3.656354,9.015214,-6.804138,-0.649507,0.587599
0.01,7.500717,13.557309,3.745826,8.947221,-6.79921,0.492839,0.597248
0.01,7.573907,13.607583,3.83462,8.879378,-6.784389,1.482042,0.606444
0.01,7.64609,13.658124,3.922737,8.811766,-6.761143,2.324592,0.615189
0.01,7.717291,13.708888,4.010182,8.744457,-6.730861,3.028205,0.623486
0.01,7.787538,13.759831,4.096957,8.677509,-6.694849,3.601198,0.631336
0.01,7.856859,13.810915,4.183067,8.610966,-6.654327,4.052252,0.638742
0.01,7.925281,13.862099,4.268515,8.544861,-6.610423,4.390353,0.645708
0.01,7.992834,13.913347,4.353307,8.47922,-6.564179,4.624464,0.652236
0.01,8.059546,13.964623,4.437448,8.414054,-6.516544,4.763428,0.65833
0.01,8.125444,14.015893,4.520942,8.34937,-6.468386,4.81584,0.663993
0.01,8.190557,14.067124,4.603793,8.285166,-6.420486,4.789987,0.669227
0.01,8.254913,14.118285,4.686008,8.22143,-6.373548,4.693773,0.674037
0.01,8.31854,14.169346,4.767589,8.158148,-6.328203,4.534573,0.678425
0.01,8.381465,14.220276,4.848542,8.095298,-6.285007,4.319557,0.682393
0.01,8.443713,14.271048,4.928871,8.032853,-6.244456,4.055144,0.685946
0.01,8.505312,14.321634,5.008578,7.970784,-6.20698,3.747542,0.689084
0.01,8.566286,14.372008,5.087669,7.909054,-6.172955,3.402468,0.691811
0.01,8.62666,14.422142,5.166145,7.847627,-6.142704,3.025174,0.694129
0.01,8.686458,14.472013,5.24401,7.786462,-6.116497,2.620693,0.696039
0.01,8.745704,14.521594,5.321265,7.725516,-6.094561,2.193588,0.697542
0.01,8.80442,14.570861,5.397912,7.664746,-6.077078,1.74827,0.69864
0.01,8.862627,14.619791,5.473953,7.604104,-6.06419,1.288834,0.699334
0.01,8.920347,14.66836,5.549389,7.543544,-6.055998,0.819231,0.699625
