dt,x,y,position,velocity,acceleration,jerk,heading
0.01,3.000017,15.5,0.00005,0.01,1,100,0
0.01,3.000074,15.5,0.000108,0.00576,-0.424015,-142.401502,-6.33072E-05
0.01,3.000272,15.5,0.000305,0.019715,1.395544,181.955881,-0.000232307
0.01,3.000622,15.5,0.000655,0.035024,1.530832,13.528869,-0.000532307
0.01,3.001168,15.499999,0.001202,0.054658,1.963467,43.263456,-0.001001307
0.01,3.001954,15.499998,0.001987,0.078566,2.390782,42.731456,-0.001677307
0.01,3.003021,15.499996,0.003054,0.106668,2.810166,41.938448,-0.002599307
0.01,3.004409,15.499992,0.004442,0.138852,3.218442,40.827544,-0.003807307
0.01,3.006159,15.499984,0.006192,0.174971,3.611865,39.342345,-0.005340307
0.01,3.008307,15.49997,0.00834,0.214831,3.986065,37.420043,-0.007241307
0.01,3.010868,15.499949,0.010901,0.256066,4.123428,13.736263,-0.009534307
0.01,3.013831,15.499916,0.013865,0.296342,4.027613,-9.581489,-0.012225307
0.01,3.017186,15.49987,0.017219,0.335489,3.914705,-11.290816,-0.015322307
0.01,3.020918,15.499806,0.020953,0.373331,3.784199,-13.050559,-0.018833307
0.01,3.025014,15.499721,0.02505,0.409686,3.635511,-14.868801,-0.022769307
0.01,3.029457,15.49961,0.029493,0.444366,3.467987,-16.752419,-0.027140307
0.01,3.034226,15.49947,0.034265,0.477175,3.280919,-18.706785,-0.031958307
0.01,3.039302,15.499294,0.039344,0.507911,3.073542,-20.737781,-0.037239307
0.01,3.044662,15.499079,0.044708,0.536361,2.84503,-22.851179,-0.042997307
0.01,3.050279,15.49882,0.050331,0.562306,2.594538,-25.049168,-0.049248307
0.01,3.056126,15.498512,0.056186,0.585518,2.321189,-27.33494,-0.056011307
0.01,3.062173,15.498151,0.062244,0.605759,2.02411,-29.707867,-0.063306307
0.01,3.068386,15.497733,0.068471,0.622784,1.702453,-32.165671,-0.071154307
0.01,3.074732,15.497254,0.074835,0.636338,1.355432,-34.702126,-0.079578307
0.01,3.081171,15.496711,0.081296,0.646162,0.982366,-37.306588,-0.088604307
0.01,3.087662,15.496103,0.087816,0.651989,0.582741,-39.962511,-0.098257307
0.01,3.094163,15.495429,0.094352,0.653552,0.156271,-42.647024,-0.108567307
0.01,3.100626,15.494689,0.100858,0.650582,-0.296999,-45.326997,-0.119563307
0.01,3.107004,15.493885,0.107286,0.642816,-0.776598,-47.959917,-0.131278307
0.01,3.113245,15.493022,0.113586,0.630001,-1.281481,-50.488272,-0.143744307
0.01,3.119295,15.492106,0.119705,0.611902,-1.809881,-52.840038,-0.156998307
0.01,3.125099,15.491146,0.125588,0.588311,-2.359105,-54.922357,-0.171076307
0.01,3.130601,15.490154,0.131178,0.559058,-2.925314,-56.620942,-0.186016307
0.01,3.135743,15.489145,0.136419,0.524025,-3.503267,-57.795215,-0.201856307
0.01,3.140469,15.488138,0.14125,0.483165,-4.086024,-58.27575,-0.218634307
0.01,3.144721,15.487154,0.145616,0.436519,-4.664637,-57.861325,-0.236391307
0.01,3.148449,15.486221,0.149458,0.384241,-5.227816,-56.317867,-0.255163307
0.01,3.151601,15.485366,0.152724,0.326624,-5.761609,-53.379309,-0.274985307
0.01,3.154136,15.484624,0.155366,0.264133,-6.249117,-48.75081,-0.295891307
0.01,3.156019,15.484029,0.15734,0.19743,-6.670289,-42.117197,-0.317908307
0.01,3.157225,15.483618,0.158614,0.127412,-7.001854,-33.156495,-0.341059307
0.01,3.157743,15.483428,0.159166,0.055237,-7.217456,-21.560227,-0.365357307
0.01,3.15758,15.483495,0.159343,0.017645,-3.759256,345.820081,-0.390808307
0.01,3.156758,15.483848,0.160238,0.089474,7.182918,1094.217364,-0.417404307
0.01,3.155321,15.48451,0.161819,0.158179,6.870551,-31.236665,-0.445126307
0.01,3.153338,15.485493,0.164033,0.221385,6.320551,-55.000057,-0.473935307
0.01,3.150898,15.486792,0.166798,0.276445,5.505967,-81.458419,-0.503778307
0.01,3.148115,15.488383,0.170003,0.320502,4.405739,-110.022744,-0.534581307
0.01,3.145128,15.490217,0.173508,0.350577,3.007523,-139.821631,-0.566252307
0.01,3.14209,15.492218,0.177145,0.363681,1.310369,-169.715384,-0.598677307
0.01,3.139175,15.494277,0.180715,0.35695,-0.673078,-198.344684,-0.631723307
0.01,3.136562,15.496256,0.183993,0.327797,-2.915287,-224.220898,-0.665242307
0.01,3.134433,15.497982,0.186733,0.274059,-5.373823,-245.853612,-0.699069307
