dt,x,y,position,velocity,acceleration,jerk,heading
0.01,4.999984,12.4,0.00005,0.01,1,100,0
0.01,5.000239,12.4,0.000305,0.025488,1.548817,54.881749,0.000049
0.01,5.000891,12.4,0.000957,0.065211,3.972308,242.349085,0.000184
0.01,5.002051,12.4,0.002116,0.115937,5.072573,110.026464,0.000424
0.01,5.003862,12.400002,0.003928,0.181167,6.52296,145.038738,0.000798
0.01,5.006471,12.400004,0.006537,0.260912,7.974551,145.159045,0.001338
0.01,5.010023,12.40001,0.010089,0.355191,9.427924,145.337307,0.002072
0.01,5.014664,12.400022,0.014729,0.464029,10.883767,145.584267,0.003032
0.01,5.020538,12.400044,0.020604,0.587458,12.342872,145.910504,0.004249
0.01,5.027793,12.40008,0.027859,0.725519,13.806122,146.325048,0.005752
0.01,5.036503,12.400138,0.036569,0.871004,14.548474,74.235218,0.007559
0.01,5.04667,12.400225,0.046736,1.016693,14.568934,2.045974,0.00967
0.01,5.058295,12.400352,0.058362,1.162618,14.592532,2.359769,0.012088
0.01,5.071382,12.400528,0.07145,1.30881,14.619135,2.660331,0.014813
0.01,5.085933,12.400766,0.086003,1.455296,14.648588,2.945273,0.017848
0.01,5.101951,12.401078,0.102024,1.602103,14.680706,3.21179,0.021196
0.01,5.119439,12.401481,0.119517,1.749255,14.715271,3.456549,0.024857
0.01,5.1384,12.40199,0.138485,1.896776,14.752049,3.677833,0.028836
0.01,5.158837,12.402624,0.158931,2.044683,14.790757,3.870727,0.033134
0.01,5.180753,12.403401,0.180861,2.192994,14.831079,4.032256,0.037754
0.01,5.204151,12.404342,0.204279,2.341721,14.872662,4.158259,0.042699
0.01,5.229034,12.405471,0.229187,2.490872,14.915108,4.244605,0.047971
0.01,5.255405,12.406811,0.255592,2.640452,14.957967,4.285887,0.053574
0.01,5.283265,12.408388,0.283496,2.790459,15.000737,4.276998,0.059511
0.01,5.312616,12.410229,0.312905,2.940888,15.042881,4.214416,0.065783
0.01,5.34346,12.412364,0.343823,3.091725,15.08377,4.088949,0.072395
0.01,5.375796,12.414822,0.376252,3.242953,15.122747,3.897642,0.079348
0.01,5.409625,12.417636,0.410198,3.394544,15.159071,3.632392,0.086645
0.01,5.444944,12.42084,0.445662,3.546463,15.191943,3.287226,0.094288
0.01,5.481752,12.424469,0.482649,3.698668,15.220494,2.855073,0.102279
0.01,5.520045,12.428561,0.52116,3.851106,15.243788,2.329406,0.11062
0.01,5.559818,12.433153,0.561197,4.003714,15.260815,1.702726,0.119311
0.01,5.601064,12.438287,0.602761,4.156419,15.27051,0.969505,0.128354
0.01,5.643775,12.444004,0.645853,4.309136,15.271738,0.122777,0.137749
0.01,5.687939,12.450345,0.69047,4.461769,15.2633,-0.843817,0.147494
0.01,5.733546,12.457357,0.736612,4.614209,15.243964,-1.933596,0.157589
0.01,5.780579,12.465082,0.784276,4.766333,15.212433,-3.153118,0.168031
0.01,5.829021,12.473569,0.833456,4.918008,15.167408,-4.502443,0.178818
0.01,5.878853,12.482862,0.884147,5.069083,15.107554,-5.985451,0.189945
0.01,5.930051,12.49301,0.936341,5.219399,15.031553,-7.600038,0.201408
0.01,5.982589,12.504061,0.990028,5.36878,14.938105,-9.344859,0.2132
0.01,6.036438,12.51606,1.045199,5.517039,14.825965,-11.213923,0.225314
0.01,6.091567,12.529057,1.101839,5.663979,14.693957,-13.200874,0.237741
0.01,6.147939,12.543098,1.159933,5.809389,14.541009,-15.294799,0.25047
0.01,6.205514,12.558229,1.219463,5.953051,14.366182,-17.482667,0.263491
0.01,6.264251,12.574494,1.28041,6.094738,14.1687,-19.748171,0.27679
0.01,6.324103,12.591936,1.342753,6.234218,13.947986,-22.071478,0.290351
0.01,6.385022,12.610598,1.406465,6.371254,13.703674,-24.431112,0.30416
0.01,6.446953,12.630517,1.471521,6.505611,13.435666,-26.800808,0.318198
0.01,6.509842,12.65173,1.537892,6.637052,13.144129,-29.153725,0.332445
0.01,6.57363,12.674271,1.605545,6.765348,12.829528,-31.460105,0.346881
0.01,6.638256,12.698169,1.674448,6.890274,12.492635,-33.68932,0.361484
0.01,6.703656,12.72345,1.744564,7.011619,12.134537,-35.809761,0.376228
0.01,6.769765,12.750136,1.815856,7.129186,11.756632,-37.790506,0.39109
0.01,6.836515,12.778246,1.888284,7.242792,11.360616,-39.601599,0.406042
0.01,6.90384,12.807793,1.961807,7.352276,10.948468,-41.214811,0.421058
0.01,6.971669,12.838786,2.036382,7.457501,10.522413,-42.605494,0.436108
0.01,7.039936,12.87123,2.111965,7.558349,10.084887,-43.752611,0.451164
