dt,x,y,position,velocity,acceleration,jerk,heading
0.01,6.750003,19.299036,0.00005,0.01,1,100,-0.523601307
0.01,6.750092,19.298985,0.000152,0.010226,0.022628,-97.737151,-0.523541307
0.01,6.750306,19.298862,0.0004,0.024748,1.452152,142.952337,-0.523406307
0.01,6.750687,19.298642,0.00084,0.04399,1.924245,47.209335,-0.523166307
0.01,6.751282,19.298298,0.001527,0.06872,2.472957,54.871174,-0.522791307
0.01,6.75214,19.297805,0.002516,0.098925,3.020472,54.7515,-0.522250307
0.01,6.753306,19.297134,0.003862,0.134587,3.566219,54.57466,-0.521514307
0.01,6.75483,19.296259,0.005619,0.175682,4.109512,54.32935,-0.520552307
0.01,6.756758,19.295155,0.007841,0.222178,4.649573,54.006048,-0.519333307
0.01,6.759138,19.293797,0.010581,0.274033,5.185526,53.595302,-0.517827307
0.01,6.762017,19.29216,0.013893,0.331197,5.71642,53.089414,-0.516001307
0.01,6.765443,19.290222,0.017829,0.393609,6.241239,52.481896,-0.513825307
0.01,6.769462,19.28796,0.022441,0.461199,6.758926,51.768701,-0.511267307
0.01,6.774122,19.285355,0.02778,0.533883,7.268408,50.948267,-0.508292307
0.01,6.77947,19.282388,0.033895,0.611569,7.768631,50.022253,-0.504870307
0.01,6.785528,19.279055,0.04081,0.691447,7.987787,21.915589,-0.500979307
0.01,6.792297,19.275368,0.048517,0.770735,7.928802,-5.898486,-0.496617307
0.01,6.799774,19.271339,0.057011,0.849385,7.865022,-6.378022,-0.491780307
0.01,6.80796,19.266982,0.066285,0.927358,7.79726,-6.776205,-0.486462307
0.01,6.816855,19.262311,0.076331,1.004622,7.726461,-7.079881,-0.480660307
0.01,6.826457,19.257342,0.087143,1.08116,7.653719,-7.274187,-0.474368307
0.01,6.836767,19.252093,0.098712,1.156962,7.580293,-7.342565,-0.467581307
0.01,6.847785,19.246579,0.111033,1.232039,7.50762,-7.267293,-0.460294307
0.01,6.859512,19.240822,0.124097,1.306412,7.437333,-7.028765,-0.452504307
0.01,6.871949,19.234839,0.137898,1.380125,7.371269,-6.606345,-0.444205307
0.01,6.885098,19.228652,0.15243,1.45324,7.311492,-5.977769,-0.435393307
0.01,6.898963,19.222281,0.167689,1.525843,7.260293,-5.119845,-0.426065307
0.01,6.913547,19.215748,0.183669,1.598045,7.220204,-4.008908,-0.416219307
0.01,6.928856,19.209075,0.200369,1.669985,7.194,-2.620441,-0.405852307
0.01,6.944897,19.202285,0.217787,1.741831,7.184689,-0.931045,-0.394965307
0.01,6.961677,19.195402,0.235925,1.813787,7.195507,1.081825,-0.383556307
0.01,6.97921,19.188448,0.254786,1.886086,7.229897,3.438912,-0.371630307
0.01,6.997506,19.181448,0.274376,1.959,7.291467,6.157021,-0.359191307
0.01,7.016583,19.174425,0.294704,2.03284,7.383957,9.249064,-0.346243307
0.01,7.036459,19.167405,0.315784,2.107952,7.511175,12.721807,-0.332796307
0.01,7.057157,19.160412,0.337631,2.184721,7.676921,16.574515,-0.318861307
0.01,7.078702,19.153471,0.360267,2.26357,7.884898,20.797719,-0.304452307
0.01,7.101125,19.146608,0.383716,2.344956,8.138613,25.371545,-0.289585307
0.01,7.12446,19.13985,0.40801,2.429368,8.441256,30.264319,-0.274281307
0.01,7.148745,19.133223,0.433183,2.517324,8.795577,35.432031,-0.258563307
0.01,7.174024,19.126754,0.459277,2.609362,9.203751,40.817429,-0.242459307
0.01,7.200346,19.120474,0.486337,2.706034,9.667251,46.350033,-0.225999307
0.01,7.227763,19.114413,0.514416,2.807901,10.186725,51.947321,-0.209219307
0.01,7.256333,19.108602,0.543572,2.91552,10.761883,57.515858,-0.192156307
0.01,7.286119,19.103075,0.573866,3.029435,11.391422,62.953904,-0.174852307
0.01,7.317187,19.097868,0.605368,3.150164,12.072969,68.154695,-0.157354307
0.01,7.349608,19.093018,0.638149,3.278195,12.803073,73.010377,-0.139709307
0.01,7.383457,19.088566,0.672289,3.413967,13.577239,77.41658,-0.121969307
0.01,7.418808,19.084554,0.707868,3.557867,14.390012,81.277341,-0.104188307
0.01,7.455742,19.081025,0.74497,3.710219,15.235111,84.509864,-0.086423307
0.01,7.494309,19.07803,0.783653,3.868279,15.80601,57.089927,-0.068746307
0.01,7.534526,19.075617,0.823942,4.028919,16.064079,25.806873,-0.051239307
0.01,7.576405,19.073835,0.865859,4.191694,16.277439,21.336009,-0.033984307
0.01,7.619951,19.072727,0.909419,4.356015,16.43216,15.472125,-0.017057307
0.01,7.665161,19.072334,0.954631,4.521176,16.516026,8.386545,-0.000532307
0.01,7.712023,19.072689,1.001494,4.686365,16.518886,0.286005,0.015525
0.01,7.760517,19.073823,1.050001,4.850693,16.432877,-8.60082,0.031053
0.01,7.810612,19.075758,1.100134,5.013218,16.252506,-18.037183,0.045998
0.01,7.862268,19.078511,1.151863,5.172964,15.974594,-27.791161,0.060311
0.01,7.915437,19.082091,1.205153,5.328946,15.598127,-37.646668,0.073951
0.01,7.970062,19.086498,1.259955,5.480186,15.124007,-47.411991,0.086883
0.01,8.026075,19.091726,1.316212,5.625733,14.554752,-56.925543,0.099078
0.01,8.083405,19.097761,1.373859,5.764675,13.894162,-66.058972,0.110513
0.01,8.141971,19.104581,1.43282,5.896145,13.146986,-74.717626,0.121172
0.01,8.201686,19.112157,1.493013,6.019331,12.318592,-82.839357,0.131043
0.01,8.262498,19.120458,1.554389,6.137608,11.827766,-49.08266,0.140126
0.01,8.324395,19.129456,1.616937,6.254799,11.719103,-10.86626,0.148427
0.01,8.387367,19.139119,1.680646,6.370871,11.60722,-11.188319,0.155954
0.01,8.451364,19.149408,1.745465,6.481906,11.103486,-50.373366,0.162711
0.01,8.516294,19.160271,1.811298,6.583228,10.132144,-97.134191,0.1687
0.01,8.582055,19.171653,1.878036,6.673875,9.06474,-106.74045,0.173924
0.01,8.648543,19.183493,1.94557,6.753351,7.947537,-111.720346,0.178392
0.01,8.715648,19.195726,2.013782,6.821188,6.783785,-116.375116,0.182115
0.01,8.783261,19.208286,2.082551,6.876951,5.576241,-120.754479,0.185105
0.01,8.851266,19.221104,2.151753,6.920222,4.327157,-124.908323,0.187381
0.01,8.919544,19.23411,2.221259,6.950606,3.038313,-128.884405,0.188961
0.01,8.987975,19.247233,2.290937,6.967716,1.711048,-132.726482,0.189867
0.01,9.056431,19.260402,2.360648,6.971179,0.346321,-136.472757,0.190123
0.01,9.124785,19.273547,2.430255,6.960627,-1.055225,-140.154581,0.189756
0.01,9.192903,19.2866,2.499612,6.935695,-2.493179,-143.79543,0.188795
0.01,9.260647,19.299493,2.568572,6.896022,-3.967281,-147.410155,0.187273
0.01,9.327876,19.312165,2.636984,6.841249,-5.477325,-151.004444,0.185222
0.01,9.394443,19.324553,2.704695,6.771018,-7.023071,-154.574549,0.18268
0.01,9.460246,19.33661,2.771593,6.689823,-8.119541,-109.646988,0.179682
0.01,9.525232,19.348302,2.837623,6.602983,-8.684039,-56.449844,0.176263
0.01,9.589356,19.359599,2.902734,6.511156,-9.182652,-49.861322,0.172457
0.01,9.652571,19.370477,2.966879,6.414457,-9.669942,-48.728931,0.168295
0.01,9.714833,19.380914,3.030009,6.312987,-10.147006,-47.706487,0.163809
0.01,9.776094,19.390892,3.092077,6.206839,-10.61473,-46.772399,0.159031
0.01,9.836309,19.400395,3.153038,6.096101,-11.07379,-45.90598,0.153991
0.01,9.895434,19.409415,3.212847,5.980855,-11.524665,-45.08744,0.14872
0.01,9.953422,19.417942,3.271458,5.861178,-11.967649,-44.298398,0.143247
0.01,10.010229,19.425973,3.32883,5.73715,-12.402868,-43.521902,0.1376
0.01,10.065809,19.433507,3.384918,5.608847,-12.830294,-42.742631,0.131809
0.01,10.120118,19.440545,3.439682,5.476349,-13.249764,-41.946978,0.125901
0.01,10.173113,19.447093,3.493079,5.339739,-13.660997,-41.123362,0.119904
0.01,10.224749,19.453156,3.54507,5.199103,-14.063616,-40.261864,0.113844
0.01,10.274984,19.458746,3.595615,5.054531,-14.457163,-39.354741,0.107748
0.01,10.323777,19.463873,3.644677,4.90612,-14.841124,-38.396068,0.101642
0.01,10.371086,19.468554,3.692216,4.753971,-15.214942,-37.381811,0.09555
0.01,10.416871,19.472803,3.738198,4.59819,-15.578039,-36.309713,0.089496
0.01,10.461094,19.476638,3.782587,4.438892,-15.929832,-35.179282,0.083504
0.01,10.503717,19.480079,3.825349,4.276194,-16.269746,-33.991415,0.077597
0.01,10.544704,19.483147,3.866451,4.110222,-16.597231,-32.748493,0.071797
0.01,10.584022,19.485863,3.905862,3.941104,-16.911771,-31.453966,0.066124
0.01,10.621636,19.48825,3.943552,3.768975,-17.212894,-30.112272,0.060599
0.01,10.657515,19.490331,3.979492,3.593974,-17.500179,-28.728578,0.05524
0.01,10.69163,19.492129,4.013654,3.416241,-17.773265,-27.308572,0.050066
0.01,10.723953,19.493668,4.046014,3.235923,-18.031847,-25.858234,0.045094
0.01,10.754457,19.494972,4.076545,3.053166,-18.275684,-24.383701,0.040341
0.01,10.783117,19.496064,4.105226,2.86812,-18.504594,-22.890913,0.035821
0.01,10.809911,19.496967,4.132036,2.680935,-18.718451,-21.38572,0.031549
0.01,10.834818,19.497703,4.156953,2.491763,-18.917185,-19.873427,0.027539
0.01,10.857818,19.498294,4.179961,2.300756,-19.100774,-18.358917,0.023801
0.01,10.878894,19.498759,4.201042,2.108063,-19.269238,-16.846424,0.020349
0.01,10.898029,19.499118,4.22018,1.913837,-19.422633,-15.339503,0.017191
0.01,10.915209,19.499389,4.237362,1.718227,-19.561043,-13.840982,0.014337
0.01,10.930421,19.499588,4.252576,1.521381,-19.684573,-12.352938,0.011795
0.01,10.943715,19.49973,4.265871,1.32946,-19.192124,49.244876,0.009563
0.01,10.955208,19.499829,4.277364,1.149338,-18.012121,118.000264,0.007626
