dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.250000,16.700962,0.000050,0.009988,0.998773,99.877286,5.759586
0.010000,5.250262,16.700811,0.000352,0.030244,2.025584,102.681123,5.759655
0.010000,5.250852,16.700470,0.001034,0.068142,3.789812,176.422799,5.759810
0.010000,5.251901,16.699865,0.002245,0.121148,5.300675,151.086323,5.760085
0.010000,5.253541,16.698919,0.004138,0.189314,6.816561,151.588571,5.760515
0.010000,5.255904,16.697559,0.006865,0.272654,8.334013,151.745237,5.761134
0.010000,5.259123,16.695709,0.010577,0.371192,9.853785,151.977142,5.761977
0.010000,5.263330,16.693297,0.015426,0.484960,11.376768,152.298285,5.763079
0.010000,5.268660,16.690249,0.021566,0.613999,12.903973,152.720566,5.764476
0.010000,5.275249,16.686495,0.029150,0.758365,14.436545,153.257189,5.766202
0.010000,5.283169,16.682003,0.038255,0.910532,15.216700,78.015512,5.768278
0.010000,5.292427,16.676780,0.048885,1.062963,15.243122,2.642126,5.770703
0.010000,5.303030,16.670833,0.061042,1.215698,15.273493,3.037107,5.773481
0.010000,5.314989,16.664174,0.074730,1.368774,15.307592,3.409908,5.776613
0.010000,5.328312,16.656811,0.089952,1.522226,15.345157,3.756542,5.780103
0.010000,5.343012,16.648759,0.106713,1.676084,15.385876,4.071929,5.783953
0.010000,5.359100,16.640030,0.125017,1.830378,15.429392,4.351539,5.788165
0.010000,5.376590,16.630639,0.144868,1.985131,15.475291,4.589874,5.792743
0.010000,5.395495,16.620604,0.166272,2.140362,15.523095,4.780438,5.797690
0.010000,5.415831,16.609944,0.189232,2.296085,15.572269,4.917373,5.803010
0.010000,5.437614,16.598678,0.213756,2.452307,15.622203,4.993401,5.808705
0.010000,5.460858,16.586828,0.239846,2.609029,15.672204,5.000130,5.814779
0.010000,5.485581,16.574419,0.267508,2.766244,15.721506,4.930248,5.821236
0.010000,5.511800,16.561477,0.296748,2.923936,15.769250,4.774320,5.828078
0.010000,5.539532,16.548030,0.327568,3.082081,15.814476,4.522593,5.835308
0.010000,5.568796,16.534107,0.359975,3.240642,15.856132,4.165606,5.842929
0.010000,5.599607,16.519743,0.393971,3.399573,15.893061,3.692935,5.850945
0.010000,5.631985,16.504971,0.429559,3.558813,15.923993,3.093196,5.859355
0.010000,5.665945,16.489828,0.466742,3.718289,15.947559,2.356582,5.868164
0.010000,5.701503,16.474356,0.505521,3.877911,15.962271,1.471182,5.877370
0.010000,5.738676,16.458595,0.545896,4.037577,15.966542,0.427148,5.886976
0.010000,5.777477,16.442591,0.587868,4.197164,15.958685,-0.785724,5.896979
0.010000,5.817918,16.426391,0.631433,4.356533,15.936921,-2.176403,5.907379
0.010000,5.860011,16.410045,0.676589,4.515527,15.899392,-3.752836,5.918173
0.010000,5.903764,16.393605,0.723328,4.673969,15.844186,-5.520621,5.929357
0.010000,5.949183,16.377126,0.771645,4.831662,15.769344,-7.484259,5.940927
0.010000,5.996273,16.360665,0.821529,4.988391,15.672907,-9.643681,5.952876
0.010000,6.045034,16.344282,0.872968,5.143920,15.552931,-11.997583,5.965196
0.010000,6.095461,16.328037,0.925948,5.297996,15.407536,-14.539474,5.977878
0.010000,6.147550,16.311993,0.980452,5.450345,15.234947,-17.258952,5.990909
0.010000,6.201288,16.296214,1.036458,5.600681,15.033536,-20.141121,6.004277
0.010000,6.256661,16.280767,1.093945,5.748699,14.801874,-23.166192,6.017965
0.010000,6.313648,16.265715,1.152886,5.894087,14.538790,-26.308371,6.031957
0.010000,6.372224,16.251127,1.213251,6.036521,14.243413,-29.537676,6.046233
0.010000,6.432359,16.237067,1.275008,6.175674,13.915228,-32.818490,6.060770
0.010000,6.494017,16.223601,1.338120,6.311215,13.554119,-36.110959,6.075546
0.010000,6.557159,16.210793,1.402548,6.442819,13.160409,-39.370930,6.090533
0.010000,6.621739,16.198703,1.468250,6.570168,12.734888,-42.552092,6.105703
0.010000,6.687706,16.187393,1.535180,6.692956,12.278833,-45.605590,6.121025
0.010000,6.755005,16.176917,1.603289,6.810896,11.794003,-48.482935,6.136469
0.010000,6.823575,16.167328,1.672526,6.923723,11.282638,-51.136503,6.151998
0.010000,6.893352,16.158675,1.742838,7.031197,10.747417,-53.522123,6.167579
0.010000,6.964269,16.151001,1.814169,7.133111,10.191419,-55.599811,6.183172
0.010000,7.036255,16.144344,1.886462,7.229291,9.618055,-57.336368,6.198742
0.010000,7.109236,16.138738,1.959658,7.319601,9.030995,-58.706012,6.214247
0.010000,7.183137,16.134209,2.033697,7.403942,8.434073,-59.692232,6.229649
0.010000,7.257881,16.130777,2.108520,7.482254,7.831192,-60.288101,6.244907
0.010000,7.333390,16.128457,2.184065,7.554516,7.226221,-60.497094,6.259981
0.010000,7.409588,16.127257,2.260272,7.620745,6.622891,-60.333008,6.274830
0.010000,7.486398,16.127178,2.337082,7.680992,6.024696,-59.819511,0.006230
0.010000,7.563745,16.128215,2.414436,7.735340,5.434801,-58.989489,0.020512
0.010000,7.641554,16.130356,2.492275,7.783900,4.855962,-57.883834,0.034452
0.010000,7.719689,16.133583,2.570476,7.820098,3.619835,-123.612732,0.048000
0.010000,7.797950,16.137859,2.648854,7.837797,1.769874,-184.996115,0.061101
0.010000,7.876150,16.143141,2.727232,7.837846,0.004887,-176.498687,0.073702
0.010000,7.954112,16.149374,2.805443,7.821120,-1.672554,-167.744084,0.085759
0.010000,8.031671,16.156494,2.883328,7.788505,-3.261492,-158.893837,0.097233
0.010000,8.108672,16.164430,2.960737,7.740881,-4.762409,-150.091694,0.108089
0.010000,8.184972,16.173108,3.037528,7.679111,-6.177004,-141.459510,0.118300
0.010000,8.260436,16.182446,3.113569,7.604032,-7.507956,-133.095207,0.127844
0.010000,8.334944,16.192363,3.188733,7.516445,-8.758677,-125.072058,0.136705
0.010000,8.408376,16.202774,3.262900,7.416662,-9.978262,-121.958521,0.144869
