dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.000020,15.400000,0.000049,0.009848,0.984848,98.484848,6.283172
0.010000,5.000086,15.400000,0.000115,0.006593,-0.325565,-131.041324,0.000042
0.010000,5.000341,15.400000,0.000370,0.025458,1.886530,221.209452,0.000168
0.010000,5.000793,15.400000,0.000822,0.045252,1.979370,9.284058,0.000392
0.010000,5.001500,15.400001,0.001529,0.070688,2.543600,56.422959,0.000741
0.010000,5.002518,15.400002,0.002547,0.101752,3.106381,56.278081,0.001245
0.010000,5.003902,15.400004,0.003931,0.138422,3.666998,56.061740,0.001930
0.010000,5.005708,15.400008,0.005738,0.180668,4.224618,55.761956,0.002827
0.010000,5.007993,15.400016,0.008022,0.228450,4.778260,55.364194,0.003963
0.010000,5.010810,15.400029,0.010839,0.281719,5.326812,54.855281,0.005368
0.010000,5.014214,15.400050,0.014243,0.340409,5.869046,54.223397,0.007071
0.010000,5.018258,15.400083,0.018288,0.404445,6.403604,53.455788,0.009102
0.010000,5.022995,15.400132,0.023025,0.473735,6.929024,52.542014,0.011491
0.010000,5.028477,15.400202,0.028507,0.548173,7.443749,51.472414,0.014271
0.010000,5.034752,15.400302,0.034783,0.627634,7.946139,50.238999,0.017473
0.010000,5.041843,15.400439,0.041875,0.709202,8.156821,21.068244,0.021117
0.010000,5.049741,15.400622,0.049775,0.789992,8.078993,-7.782840,0.025206
0.010000,5.058437,15.400861,0.058474,0.869922,7.993014,-8.597846,0.029747
0.010000,5.067921,15.401166,0.067964,0.948915,7.899300,-9.371380,0.034747
0.010000,5.078183,15.401551,0.078233,1.026899,7.798364,-10.093645,0.040212
0.010000,5.089211,15.402028,0.089271,1.103807,7.690811,-10.755334,0.046148
0.010000,5.100992,15.402609,0.101066,1.179581,7.577368,-11.344299,0.052565
0.010000,5.113514,15.403312,0.113608,1.254170,7.458908,-11.845964,0.059469
0.010000,5.126763,15.404149,0.126883,1.327534,7.336450,-12.245800,0.066869
0.010000,5.140724,15.405140,0.140880,1.399646,7.211195,-12.525468,0.074772
0.010000,5.155383,15.406300,0.155585,1.470492,7.084546,-12.664952,0.083189
0.010000,5.170725,15.407648,0.170986,1.540073,6.958120,-12.642614,0.092126
0.010000,5.186734,15.409203,0.187070,1.608411,6.833788,-12.433122,0.101593
0.010000,5.203394,15.410986,0.203825,1.675548,6.713681,-12.010733,0.111597
0.010000,5.220691,15.413016,0.221241,1.741550,6.600222,-11.345881,0.122145
0.010000,5.238609,15.415317,0.239306,1.806511,6.496136,-10.408658,0.133246
0.010000,5.257134,15.417909,0.258011,1.870556,6.404471,-9.166507,0.144904
0.010000,5.276252,15.420818,0.277350,1.933842,6.328589,-7.588111,0.157125
0.010000,5.295952,15.424068,0.297315,1.996564,6.272190,-5.639974,0.169913
0.010000,5.316221,15.427685,0.317905,2.058957,6.239270,-3.291965,0.183270
0.010000,5.337051,15.431696,0.339118,2.121298,6.234116,-0.515406,0.197196
0.010000,5.358436,15.436130,0.360957,2.183910,6.261249,2.713250,0.211690
0.010000,5.380370,15.441016,0.383429,2.247164,6.325367,6.411842,0.226747
0.010000,5.402852,15.446388,0.406543,2.311476,6.431266,10.589860,0.242359
0.010000,5.425883,15.452280,0.430317,2.377314,6.583716,15.245068,0.258518
0.010000,5.449469,15.458728,0.454768,2.445187,6.787357,20.364056,0.275209
0.010000,5.473620,15.465772,0.479925,2.515652,7.046524,25.916745,0.292415
0.010000,5.498346,15.473455,0.505818,2.589303,7.365086,31.856174,0.310115
0.010000,5.523667,15.481824,0.532486,2.666766,7.746262,38.117574,0.328283
0.010000,5.549579,15.490920,0.559948,2.746242,7.947581,20.131888,0.346874
0.010000,5.576063,15.500778,0.588207,2.825876,7.963399,1.581802,0.365819
0.010000,5.603100,15.511435,0.617268,2.906160,8.028421,6.502198,0.385051
0.010000,5.630676,15.522926,0.647143,2.987483,8.132278,10.385764,0.404495
0.010000,5.658780,15.535285,0.677844,3.070111,8.262848,13.056983,0.424078
0.010000,5.687398,15.548547,0.709386,3.154178,8.406651,14.380310,0.443724
0.010000,5.716519,15.562743,0.741783,3.239671,8.549335,14.268338,0.463358
0.010000,5.746128,15.577902,0.775047,3.326433,8.676211,12.687650,0.482906
0.010000,5.776210,15.594050,0.809189,3.414161,8.772821,9.660945,0.502296
0.010000,5.806744,15.611208,0.844213,3.502416,8.825469,5.264876,0.521459
0.010000,5.837706,15.629389,0.880119,3.590633,8.821719,-0.375048,0.540329
0.010000,5.869070,15.648603,0.916901,3.678141,8.750785,-7.093358,0.558846
0.010000,5.900802,15.668852,0.954542,3.764179,8.603834,-14.695081,0.576953
0.010000,5.932864,15.690127,0.993022,3.847921,8.374158,-22.967661,0.594600
0.010000,5.965216,15.712414,1.032307,3.928493,8.057230,-31.692816,0.611743
0.010000,5.997833,15.735707,1.072387,4.008067,7.957342,-9.988787,0.628356
0.010000,6.030718,15.760010,1.113278,4.089116,8.104973,14.763137,0.644428
0.010000,6.063868,15.785329,1.154991,4.171258,8.214132,10.915850,0.659953
0.010000,6.097278,15.811664,1.197532,4.254137,8.287921,7.378975,0.674925
0.010000,6.130945,15.839012,1.240907,4.337433,8.329605,4.168325,0.689342
0.010000,6.164861,15.867368,1.285115,4.420858,8.342512,1.290788,0.703203
0.010000,6.199022,15.896725,1.330157,4.504158,8.329968,-1.254485,0.716508
0.010000,6.233418,15.927073,1.376028,4.587110,8.295223,-3.474415,0.729260
0.010000,6.268045,15.958401,1.422723,4.669524,8.241411,-5.381274,0.741463
0.010000,6.302895,15.990695,1.470236,4.751239,8.171504,-6.990673,0.753122
0.010000,6.337962,16.023940,1.518557,4.832122,8.088292,-8.321204,0.764241
0.010000,6.373240,16.058121,1.567678,4.912066,7.994361,-9.393090,0.774827
0.010000,6.408724,16.093218,1.617587,4.990987,7.892087,-10.227382,0.784887
0.010000,6.444411,16.129214,1.668276,5.068823,7.783634,-10.845323,0.794428
0.010000,6.480298,16.166090,1.719731,5.145532,7.670953,-11.268089,0.803457
0.010000,6.516381,16.203826,1.771942,5.221090,7.555794,-11.515907,0.811983
0.010000,6.552661,16.242400,1.824897,5.295488,7.439714,-11.608041,0.820013
0.010000,6.589137,16.281794,1.878584,5.368728,7.324086,-11.562746,0.827555
0.010000,6.625810,16.321985,1.932992,5.440830,7.210120,-11.396630,0.834616
0.010000,6.662683,16.362953,1.988110,5.511818,7.098868,-11.125194,0.841204
0.010000,6.699760,16.404677,2.043928,5.581731,6.991245,-10.762312,0.847326
0.010000,6.737044,16.447136,2.100434,5.650611,6.888039,-10.320633,0.852988
0.010000,6.774543,16.490311,2.157619,5.718510,6.789926,-9.811298,0.858198
0.010000,6.812262,16.534179,2.215474,5.785485,6.697482,-9.244340,0.862962
0.010000,6.850211,16.578721,2.273990,5.851597,6.611197,-8.628512,0.867284
0.010000,6.888398,16.623918,2.333159,5.916912,6.531482,-7.971528,0.871171
0.010000,6.926833,16.669749,2.392974,5.981499,6.458681,-7.280109,0.874628
0.010000,6.965530,16.716196,2.453428,6.045430,6.393080,-6.560056,0.877659
0.010000,7.004499,16.763240,2.514516,6.108779,6.334916,-5.816445,0.880267
0.010000,7.043755,16.810862,2.576232,6.171623,6.284380,-5.053560,0.882456
0.010000,7.083313,16.859044,2.638573,6.234039,6.241628,-4.275245,0.884229
0.010000,7.123188,16.907769,2.701534,6.296107,6.206781,-3.484698,0.885588
0.010000,7.163398,16.957018,2.765113,6.357906,6.179933,-2.684753,0.886535
0.010000,7.203961,17.006774,2.829308,6.419518,6.161154,-1.877917,0.887072
0.010000,7.244895,17.057020,2.894118,6.481022,6.150489,-1.066454,0.887199
0.010000,7.286222,17.107740,2.959543,6.542502,6.147965,-0.252415,0.886915
0.010000,7.327963,17.158917,3.025584,6.604038,6.153587,0.562221,0.886222
0.010000,7.370140,17.210533,3.092241,6.665711,6.167342,1.375503,0.885117
0.010000,7.412777,17.262573,3.159517,6.727603,6.189197,2.185431,0.883600
0.010000,7.455898,17.315020,3.227415,6.789794,6.219095,2.989864,0.881668
0.010000,7.499531,17.367857,3.295938,6.852364,6.256960,3.786497,0.879318
0.010000,7.543700,17.421067,3.365092,6.915391,6.302687,4.572659,0.876549
0.010000,7.588436,17.474633,3.434882,6.978952,6.356141,5.345437,0.873356
0.010000,7.633767,17.528537,3.505313,7.043124,6.417155,6.101326,0.869735
0.010000,7.679724,17.582762,3.576393,7.107979,6.485519,6.836432,0.865682
0.010000,7.726338,17.637288,3.648129,7.173589,6.560979,7.546036,0.861191
0.010000,7.773643,17.692098,3.720529,7.240021,6.643229,8.224941,0.856258
0.010000,7.821672,17.747169,3.793602,7.307340,6.731898,8.866942,0.850876
0.010000,7.870461,17.802483,3.867358,7.375605,6.826547,9.464878,0.845038
0.010000,7.920046,17.858016,3.941807,7.444872,6.926655,10.010817,0.838739
0.010000,7.970465,17.913746,4.016959,7.515188,7.031609,10.495349,0.831971
0.010000,8.021755,17.969647,4.092825,7.586595,7.140690,10.908152,0.824727
0.010000,8.073957,18.025693,4.169416,7.659126,7.253065,11.237538,0.816999
0.010000,8.127111,18.081856,4.246744,7.732803,7.367767,11.470160,0.808780
0.010000,8.181257,18.138107,4.324821,7.807640,7.483687,11.591958,0.800063
0.010000,8.236437,18.194412,4.403657,7.883636,7.599551,11.586449,0.790838
0.010000,8.292694,18.250737,4.483265,7.960775,7.713920,11.436907,0.781099
0.010000,8.350070,18.307045,4.563655,8.039027,7.825165,11.124464,0.770839
0.010000,8.408608,18.363296,4.644838,8.118341,7.931457,10.629257,0.760050
0.010000,8.468348,18.419446,4.726825,8.198649,8.030768,9.931075,0.748725
0.010000,8.529334,18.475449,4.809623,8.279857,8.120851,9.008279,0.736859
0.010000,8.591606,18.531254,4.893242,8.361850,8.199251,7.840002,0.724446
0.010000,8.655204,18.586809,4.977687,8.444483,8.263301,6.405013,0.711483
0.010000,8.720164,18.642055,5.062963,8.527584,8.310142,4.684046,0.697965
0.010000,8.786523,18.696930,5.149072,8.610952,8.336733,2.659188,0.683892
0.010000,8.854313,18.751371,5.236016,8.694351,8.339895,0.316183,0.669262
0.010000,8.923563,18.805305,5.323791,8.777514,8.316342,-2.355343,0.654078
