dt,x,y,position,velocity,acceleration,jerk,heading
0.01,3.999987,12.1,0.00005,0.01,1,100,0
0.01,4.000218,12.1,0.000281,0.023116,1.311575,31.157457,0.000037
0.01,4.000824,12.1,0.000888,0.060652,3.753579,244.200395,0.000142
0.01,4.001903,12.1,0.001966,0.107829,4.717731,96.415277,0.000327
0.01,4.003588,12.100001,0.003651,0.168493,6.066371,134.863965,0.000617
0.01,4.006014,12.100003,0.006077,0.242651,7.415808,134.943693,0.001035
0.01,4.009317,12.100007,0.009381,0.330315,8.766427,135.0619,0.001604
0.01,4.013632,12.100016,0.013696,0.431502,10.118694,135.226753,0.002347
0.01,4.019095,12.100031,0.019158,0.546233,11.473132,135.443742,0.003289
0.01,4.02584,12.100057,0.025903,0.674537,12.830344,135.721169,0.004452
0.01,4.034004,12.1001,0.034068,0.816447,14.190994,136.06502,0.005862
0.01,4.043724,12.100165,0.043788,0.972004,15.555789,136.479513,0.007542
0.01,4.055136,12.100262,0.0552,1.141259,16.925506,136.971722,0.009517
0.01,4.068378,12.100403,0.068443,1.324269,18.300944,137.543757,0.011812
0.01,4.083588,12.100603,0.083654,1.521098,19.682935,138.199145,0.014453
0.01,4.100836,12.100878,0.100905,1.725054,20.395576,71.264137,0.017453
0.01,4.120127,12.101247,0.120199,1.929425,20.437067,4.149025,0.020816
0.01,4.141464,12.101731,0.141541,2.134251,20.482586,4.551938,0.024544
0.01,4.164851,12.102353,0.164937,2.339569,20.531815,4.922842,0.028641
0.01,4.190293,12.103139,0.190391,2.545413,20.58439,5.257548,0.033111
0.01,4.217794,12.104117,0.217909,2.751811,20.639874,5.548361,0.037956
0.01,4.247358,12.105317,0.247497,2.958789,20.697773,5.789951,0.043182
0.01,4.278988,12.106772,0.279161,3.166364,20.757523,5.974978,0.048791
0.01,4.312688,12.108519,0.312906,3.374549,20.818476,6.095318,0.054788
0.01,4.348461,12.110596,0.34874,3.583348,20.879901,6.142488,0.061177
0.01,4.38631,12.113043,0.386667,3.792758,20.940976,6.107474,0.067962
0.01,4.426235,12.115904,0.426695,4.002766,21.000772,5.979589,0.075147
0.01,4.468237,12.119227,0.468828,4.213348,21.05826,5.748819,0.082736
0.01,4.512316,12.12306,0.513073,4.424471,21.112284,5.402428,0.090733
0.01,4.558468,12.127454,0.559434,4.636087,21.161581,4.929673,0.09914
0.01,4.606689,12.132465,0.607915,4.848134,21.204755,4.317416,0.107961
0.01,4.656975,12.13815,0.658521,5.060537,21.240283,3.552758,0.117198
0.01,4.709314,12.144569,0.711253,5.273202,21.266513,2.623024,0.126853
0.01,4.763698,12.151783,0.766113,5.486019,21.281668,1.515494,0.136926
0.01,4.820112,12.159858,0.823102,5.698857,21.283848,0.217986,0.147419
0.01,4.878538,12.16886,0.882217,5.911568,21.271042,-1.280517,0.15833
0.01,4.938956,12.178858,0.943457,6.123979,21.241149,-2.989355,0.169656
0.01,5.001342,12.189922,1.006816,6.335899,21.191979,-4.916996,0.181396
0.01,5.065666,12.202124,1.072287,6.547112,21.121302,-7.067714,0.193544
0.01,5.131895,12.215537,1.139861,6.757381,21.026865,-9.443678,0.206093
0.01,5.199992,12.230234,1.209525,6.966445,20.906436,-12.042869,0.219036
0.01,5.269912,12.246288,1.281266,7.174024,20.757851,-14.858489,0.232364
0.01,5.341609,12.263774,1.355064,7.379814,20.57906,-17.879102,0.246063
0.01,5.415028,12.282763,1.430899,7.583496,20.368194,-21.086676,0.26012
0.01,5.49011,12.303326,1.508746,7.784732,20.123614,-24.457958,0.274518
0.01,5.566791,12.325533,1.588578,7.983172,19.843983,-27.96314,0.28924
0.01,5.645001,12.349448,1.670362,8.178456,19.528334,-31.564865,0.304264
0.01,5.724664,12.375136,1.754065,8.370217,19.176113,-35.222106,0.319566
0.01,5.805701,12.402653,1.839645,8.558089,18.787262,-38.885074,0.33512
0.01,5.888025,12.432054,1.927063,8.741712,18.362238,-42.502424,0.350899
0.01,5.971485,12.463363,2.016202,8.913908,17.21961,-114.262768,0.366859
0.01,6.055863,12.496568,2.106878,9.067641,15.373274,-184.633656,0.382944
0.01,6.140944,12.531644,2.198906,9.202832,13.519143,-185.413078,0.399097
0.01,6.226519,12.568553,2.292101,9.319487,11.665463,-185.367963,0.415261
0.01,6.312382,12.607241,2.386278,9.417694,9.820744,-184.471976,0.431379
0.01,6.398336,12.647645,2.481254,9.497629,7.993496,-182.72479,0.447397
0.01,6.484191,12.689685,2.57685,9.559549,6.191974,-180.152215,0.463262
0.01,6.569767,12.733275,2.672888,9.603788,4.42393,-176.80438,0.478921
0.01,6.654894,12.778315,2.769195,9.630752,2.696402,-172.752776,0.494327
0.01,6.739412,12.824697,2.865604,9.640907,1.015537,-168.086516,0.509433
0.01,6.823175,12.872306,2.961952,9.634772,-0.613537,-162.907351,0.524199
0.01,6.906047,12.921021,3.058081,9.612904,-2.186787,-157.325013,0.538586
0.01,6.987903,12.970713,3.15384,9.575891,-3.701307,-151.451972,0.552559
0.01,7.068631,13.021253,3.249083,9.524338,-5.155296,-145.39893,0.566088
0.01,7.14813,13.072507,3.343672,9.458858,-6.548004,-139.270823,0.579148
0.01,7.22636,13.124374,3.437535,9.386295,-7.256324,-70.83194,0.591723
0.01,7.303341,13.176792,3.530667,9.313238,-7.305685,-4.936099,0.603812
0.01,7.379094,13.229697,3.623066,9.239879,-7.335884,-3.019954,0.615411
0.01,7.453644,13.283032,3.71473,9.166389,-7.348977,-1.309272,0.626521
0.01,7.527018,13.336739,3.805659,9.09292,-7.346988,0.198827,0.637141
0.01,7.599243,13.390766,3.895855,9.019601,-7.331889,1.509984,0.647272
0.01,7.670349,13.44506,3.985321,8.946545,-7.305569,2.631979,0.656916
0.01,7.740369,13.499574,4.074059,8.873847,-7.269826,3.574261,0.666075
0.01,7.809333,13.554262,4.162075,8.801583,-7.226353,4.347357,0.674752
0.01,7.877275,13.609079,4.249373,8.729816,-7.176727,4.962549,0.682951
0.01,7.944227,13.663983,4.335959,8.658592,-7.122411,5.431572,0.690675
0.01,8.010224,13.718935,4.421838,8.587944,-7.06475,5.766193,0.697928
0.01,8.075298,13.773897,4.507017,8.517895,-7.004968,5.978145,0.704714
0.01,8.139483,13.828833,4.591502,8.448453,-6.944181,6.078747,0.711037
0.01,8.202811,13.883708,4.675298,8.379619,-6.883392,6.078867,0.716902
0.01,8.265316,13.93849,4.758412,8.311384,-6.823501,5.989084,0.722311
0.01,8.32703,13.993146,4.840849,8.243731,-6.765312,5.818898,0.727269
0.01,8.387985,14.047647,4.922616,8.176635,-6.709535,5.577695,0.73178
0.01,8.44821,14.101962,5.003716,8.110067,-6.656797,5.273818,0.735847
0.01,8.507737,14.156065,5.084156,8.043991,-6.607645,4.915175,0.739474
0.01,8.566596,14.209927,5.16394,7.978365,-6.562555,4.509001,0.742663
0.01,8.624814,14.263522,5.243071,7.913146,-6.521936,4.061966,0.745417
0.01,8.68242,14.316824,5.321554,7.848285,-6.486134,3.580193,0.747739
0.01,8.73944,14.369808,5.399392,7.78373,-6.45544,3.069349,0.749631
0.01,8.795902,14.422449,5.476586,7.719429,-6.430094,2.534658,0.751094
0.01,8.851829,14.474723,5.553139,7.655327,-6.410283,1.981011,0.752129
0.01,8.907246,14.526606,5.629053,7.591365,-6.396154,1.412974,0.752738
0.01,8.962177,14.578074,5.704328,7.527487,-6.387805,0.834912,0.752922
0.01,9.016643,14.629103,5.778964,7.463634,-6.385295,0.251005,0.752679
0.01,9.070666,14.679672,5.852961,7.399748,-6.388641,-0.334657,0.752011
0.01,9.124266,14.729755,5.926319,7.335769,-6.397821,-0.918008,0.750916
0.01,9.177462,14.779332,5.999036,7.271642,-6.412771,-1.494946,0.749394
0.01,9.230273,14.828378,6.071109,7.207308,-6.433383,-2.061272,0.747442
0.01,9.282716,14.876871,6.142536,7.142713,-6.459509,-2.612592,0.74506
0.01,9.334806,14.924789,6.213314,7.077803,-6.490953,-3.14432,0.742246
0.01,9.38656,14.972108,6.283439,7.012529,-6.527467,-3.651484,0.738996
0.01,9.437992,15.018805,6.352907,6.946841,-6.568756,-4.128822,0.735308
0.01,9.489114,15.064859,6.421714,6.880696,-6.614462,-4.570634,0.73118
0.01,9.539915,15.110224,6.489823,6.810816,-6.988059,-37.359711,0.726609
0.01,9.590348,15.154828,6.557151,6.732817,-7.799842,-81.178328,0.721599
0.01,9.640359,15.198595,6.623608,6.645728,-8.70898,-90.913784,0.716157
0.01,9.689891,15.241452,6.689107,6.549892,-9.583586,-87.460617,0.71029
0.01,9.73889,15.283329,6.753564,6.445667,-10.422461,-83.88749,0.70401
0.01,9.787302,15.324165,6.816898,6.333422,-11.224467,-80.200619,0.697329
0.01,9.835071,15.3639,6.879033,6.213537,-11.988575,-76.410744,0.690263
0.01,9.882144,15.402482,6.939897,6.086398,-12.713912,-72.53376,0.682831
0.01,9.928466,15.439863,6.999421,5.952399,-13.399822,-68.590957,0.675053
0.01,9.973984,15.476002,7.057541,5.81194,-14.045912,-64.608952,0.666953
0.01,10.018643,15.510863,7.114195,5.665419,-14.652109,-60.619763,0.658557
0.01,10.06239,15.544415,7.169327,5.513232,-15.218713,-56.660336,0.649895
0.01,10.105172,15.576635,7.222885,5.355768,-15.746431,-52.771869,0.640997
0.01,10.146937,15.607503,7.274819,5.193403,-16.236422,-48.999068,0.631898
0.01,10.187632,15.637007,7.325084,5.0265,-16.690311,-45.388904,0.622634
0.01,10.227229,15.665154,7.373665,4.858161,-16.833976,-14.36646,0.613239
0.01,10.26573,15.691979,7.420589,4.692399,-16.576125,25.7851,0.603738
0.01,10.303146,15.717521,7.465892,4.53031,-16.208935,36.718996,0.594157
0.01,10.339489,15.741821,7.509611,4.37186,-15.845001,36.393389,0.584519
0.01,10.374769,15.764921,7.551781,4.217007,-15.485334,35.966681,0.574849
0.01,10.408997,15.786862,7.592438,4.065697,-15.130975,35.435861,0.56517
0.01,10.442184,15.807686,7.631617,3.917867,-14.782975,34.800026,0.555506
0.01,10.474339,15.827432,7.669351,3.773443,-14.44237,34.060515,0.545879
0.01,10.505473,15.846142,7.705675,3.632342,-14.110163,33.220703,0.536311
0.01,10.535596,15.863856,7.740619,3.494469,-13.787304,32.285857,0.526824
0.01,10.564716,15.880612,7.774217,3.359722,-13.474675,31.262928,0.517439
0.01,10.592843,15.89645,7.806496,3.227991,-13.173072,30.160315,0.508176
0.01,10.619987,15.911407,7.837488,3.099159,-12.883196,28.987603,0.499053
0.01,10.646155,15.925519,7.867219,2.973103,-12.605643,27.75528,0.49009
0.01,10.671356,15.938823,7.895716,2.849694,-12.340898,26.474457,0.481305
0.01,10.695598,15.951352,7.923004,2.728801,-12.089333,25.156583,0.472714
