dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,4.000016,14.900000,0.000050,0.009929,0.992908,99.290780,6.283175
0.010000,4.000095,14.900000,0.000128,0.007850,-0.207877,-120.078500,0.000043
0.010000,4.000361,14.900000,0.000395,0.026658,1.880742,208.861965,0.000163
0.010000,4.000835,14.900000,0.000869,0.047388,2.073016,19.227318,0.000376
0.010000,4.001575,14.900001,0.001609,0.074034,2.664638,59.162226,0.000710
0.010000,4.002641,14.900002,0.002675,0.106589,3.255517,59.087951,0.001191
0.010000,4.004092,14.900004,0.004125,0.145042,3.845298,58.978025,0.001846
0.010000,4.005986,14.900008,0.006019,0.189378,4.433557,58.825928,0.002702
0.010000,4.008381,14.900016,0.008415,0.239576,5.019817,58.625965,0.003785
0.010000,4.011337,14.900029,0.011371,0.295612,5.603541,58.372453,0.005124
0.010000,4.014912,14.900050,0.014945,0.357453,6.184152,58.061045,0.006746
0.010000,4.019162,14.900083,0.019196,0.425064,6.761045,57.689339,0.008678
0.010000,4.024146,14.900132,0.024180,0.498399,7.333593,57.254817,0.010949
0.010000,4.029920,14.900203,0.029954,0.577411,7.901177,56.758373,0.013587
0.010000,4.036539,14.900303,0.036575,0.662043,8.463202,56.202555,0.016620
0.010000,4.044031,14.900440,0.044068,0.749298,8.725501,26.229843,0.020064
0.010000,4.052391,14.900624,0.052430,0.836198,8.689943,-3.555823,0.023922
0.010000,4.061615,14.900864,0.061657,0.922716,8.651787,-3.815522,0.028196
0.010000,4.071699,14.901173,0.071745,1.008832,8.611610,-4.017745,0.032889
0.010000,4.082637,14.901560,0.082690,1.094532,8.570071,-4.153912,0.038003
0.010000,4.094426,14.902041,0.094488,1.179812,8.527919,-4.215160,0.043542
0.010000,4.107059,14.902629,0.107135,1.264672,8.485999,-4.191999,0.049508
0.010000,4.120531,14.903340,0.120626,1.349124,8.445263,-4.073638,0.055904
0.010000,4.134838,14.904190,0.134958,1.433192,8.406766,-3.849731,0.062733
0.010000,4.149973,14.905196,0.150127,1.516909,8.371680,-3.508578,0.069996
0.010000,4.165933,14.906376,0.166131,1.600322,8.341297,-3.038276,0.077696
0.010000,4.182712,14.907751,0.182966,1.683492,8.317029,-2.426752,0.085834
0.010000,4.200305,14.909341,0.200631,1.766496,8.300415,-1.661491,0.094412
0.010000,4.218709,14.911167,0.219125,1.849427,8.293105,-0.730913,0.103430
0.010000,4.237920,14.913253,0.238449,1.932396,8.296883,0.377800,0.112888
0.010000,4.257935,14.915623,0.258604,2.015532,8.313630,1.674685,0.122784
0.010000,4.278754,14.918301,0.279594,2.098986,8.345332,3.170156,0.133117
0.010000,4.300374,14.921315,0.301423,2.182926,8.394055,4.872359,0.143883
0.010000,4.322797,14.924692,0.324099,2.267545,8.461930,6.787446,0.155078
0.010000,4.346023,14.928461,0.347629,2.353057,8.551113,8.918293,0.166696
0.010000,4.370057,14.932654,0.372026,2.439694,8.663769,11.265579,0.178729
0.010000,4.394903,14.937302,0.397303,2.527714,8.802017,13.824887,0.191169
0.010000,4.420568,14.942441,0.423477,2.617393,8.967893,16.587562,0.204003
0.010000,4.447060,14.948104,0.450568,2.709026,9.163297,19.540359,0.217219
0.010000,4.474388,14.954331,0.478597,2.802926,9.389935,22.663827,0.230802
0.010000,4.502567,14.961160,0.507591,2.899418,9.649264,25.932952,0.244735
0.010000,4.531609,14.968634,0.537579,2.998843,9.942431,29.316667,0.258998
0.010000,4.561531,14.976796,0.568595,3.101545,10.270211,32.777984,0.273569
0.010000,4.592352,14.985693,0.600674,3.207874,10.632955,36.274389,0.288424
0.010000,4.624090,14.995372,0.633855,3.318180,11.030539,39.758420,0.303537
0.010000,4.656769,15.005884,0.668183,3.432803,11.462325,43.178585,0.318878
0.010000,4.690411,15.017283,0.703704,3.552074,11.927135,46.480977,0.334417
0.010000,4.725013,15.029612,0.740437,3.673266,12.119168,19.203322,0.350108
0.010000,4.760542,15.042906,0.778371,3.793465,12.019915,-9.925288,0.365891
0.010000,4.796966,15.057194,0.817498,3.912635,11.917022,-10.289299,0.381708
0.010000,4.834251,15.072505,0.857804,4.030654,11.801887,-11.513475,0.397498
0.010000,4.872363,15.088862,0.899277,4.147314,11.665957,-13.593042,0.413206
0.010000,4.911264,15.106282,0.941901,4.262324,11.500992,-16.496485,0.428776
0.010000,4.950914,15.124780,0.985654,4.375317,11.299313,-20.167932,0.444156
0.010000,4.991272,15.144364,1.030512,4.485857,11.054012,-24.530099,0.459295
0.010000,5.032293,15.165035,1.076447,4.593448,10.759123,-29.488835,0.474147
0.010000,5.073928,15.186788,1.123422,4.697546,10.409744,-34.937892,0.488669
0.010000,5.116127,15.209612,1.171398,4.797567,10.002102,-40.764212,0.502822
0.010000,5.158835,15.233487,1.220327,4.892902,9.533572,-46.853007,0.516571
0.010000,5.201996,15.258389,1.270156,4.982929,9.002648,-53.092391,0.529885
0.010000,5.245551,15.284282,1.320827,5.067018,8.408875,-59.377363,0.542738
0.010000,5.289437,15.311127,1.372272,5.144545,7.752745,-65.612943,0.555108
0.010000,5.333621,15.338896,1.424458,5.218628,7.408319,-34.442606,0.566984
0.010000,5.378102,15.367579,1.477385,5.292666,7.403804,-0.451500,0.578366
0.010000,5.422877,15.397162,1.531050,5.366510,7.384363,-1.944166,0.589255
0.010000,5.467944,15.427631,1.585450,5.440031,7.352071,-3.229138,0.599655
0.010000,5.513300,15.458973,1.640582,5.513120,7.308908,-4.316293,0.609567
0.010000,5.558944,15.491169,1.696438,5.585687,7.256737,-5.217090,0.618996
0.010000,5.604874,15.524204,1.753015,5.657660,7.197298,-5.943953,0.627945
0.010000,5.651091,15.558059,1.810305,5.728982,7.132201,-6.509637,0.636418
