dt,x,y,position,velocity,acceleration,jerk,heading
0.01,3.000014,15.5,0.00005,0.01,1,100,6.28
0.01,3.000067,15.5,0.000103,0.005339,-0.466091,-146.609117,6.283112
0.01,3.000237,15.5,0.000273,0.016991,1.165231,163.132209,6.282925
0.01,3.000539,15.5,0.000575,0.030179,1.318794,15.356314,6.282593
0.01,3.00101,15.499999,0.001046,0.047084,1.690513,37.171896,6.282073
0.01,3.001686,15.499998,0.001722,0.06765,2.056545,36.60319,6.281324
0.01,3.002604,15.499996,0.00264,0.091791,2.414099,35.755406,6.280303
0.01,3.003798,15.499992,0.003834,0.119389,2.7598,34.570144,6.278965
0.01,3.005301,15.499984,0.005337,0.150286,3.089667,32.98662,6.277267
0.01,3.007144,15.499972,0.00718,0.184276,3.399091,30.942405,6.275163
0.01,3.009336,15.499951,0.009373,0.219285,3.500894,10.180311,6.272624
0.01,3.011869,15.499921,0.011905,0.253276,3.39909,-10.180403,6.269646
0.01,3.014729,15.499877,0.014766,0.286071,3.279424,-11.966527,6.26622
0.01,3.017904,15.499817,0.017941,0.317486,3.141507,-13.791771,6.262337
0.01,3.021376,15.499737,0.021414,0.347335,2.984907,-15.659993,6.257986
0.01,3.025129,15.499634,0.025169,0.375426,2.809161,-17.574587,6.253155
0.01,3.029142,15.499502,0.029184,0.401564,2.613798,-19.536286,6.247832
0.01,3.033395,15.49934,0.03344,0.425548,2.398332,-21.546651,6.242002
0.01,3.037862,15.499141,0.037911,0.447171,2.162298,-23.603386,6.23565
0.01,3.042518,15.498904,0.042574,0.466223,1.905272,-25.702604,6.228758
0.01,3.047335,15.498624,0.047399,0.482492,1.6269,-27.837211,6.221308
0.01,3.052282,15.498297,0.052356,0.495762,1.326926,-29.997362,6.21328
0.01,3.057326,15.497922,0.057414,0.505814,1.005262,-32.16643,6.204652
0.01,3.062433,15.497497,0.062539,0.512434,0.662013,-34.324821,6.195402
0.01,3.067565,15.49702,0.067693,0.51541,0.29757,-36.44433,6.185505
0.01,3.072683,15.496492,0.072838,0.514537,-0.08732,-38.489023,6.174935
0.01,3.077746,15.495913,0.077934,0.509622,-0.491455,-40.413503,6.163666
0.01,3.082712,15.495287,0.082939,0.500492,-0.913062,-42.160685,6.151669
0.01,3.087535,15.494618,0.087809,0.486995,-1.349658,-43.65957,6.138916
0.01,3.092172,15.493913,0.092499,0.469016,-1.797907,-44.824945,6.125376
0.01,3.096577,15.49318,0.096964,0.446482,-2.253436,-45.55292,6.111019
0.01,3.100703,15.492431,0.101158,0.419375,-2.710651,-45.721508,6.095815
0.01,3.104507,15.491678,0.105036,0.38775,-3.162536,-45.188439,6.079733
0.01,3.107946,15.490939,0.108553,0.351745,-3.600439,-43.790341,6.062745
0.01,3.11098,15.490232,0.111669,0.311607,-4.013885,-41.344584,6.044822
0.01,3.113576,15.489576,0.114346,0.267703,-4.390396,-37.651052,6.02594
0.01,3.115703,15.488995,0.116552,0.220549,-4.715377,-32.498118,6.006077
0.01,3.117342,15.488511,0.11826,0.170828,-4.97208,-25.670374,5.985216
0.01,3.11848,15.488149,0.119454,0.119411,-5.141695,-16.961436,5.963346
0.01,3.119117,15.487931,0.120128,0.067375,-5.2036,-6.190477,5.940461
0.01,3.119268,15.487876,0.120288,0.016017,-5.135819,6.778016,5.916568
0.01,3.11896,15.488,0.120619,0.033142,1.712524,684.834327,5.891681
0.01,3.11824,15.488309,0.121403,0.078356,4.521423,280.889906,5.865825
0.01,3.117171,15.488801,0.12258,0.117677,3.932102,-58.932091,5.83904
0.01,3.115835,15.48946,0.124069,0.148983,3.130592,-80.150967,5.81138
0.01,3.114332,15.490255,0.12577,0.170029,2.104562,-102.602994,5.782914
0.01,3.112778,15.491134,0.127555,0.178512,0.84835,-125.621276,5.753723
0.01,3.111305,15.492025,0.129276,0.172158,-0.635456,-148.380552,5.723909
0.01,3.110055,15.492833,0.130765,0.14881,-2.334811,-169.935465,5.693584
0.01,3.109178,15.493437,0.13183,0.106533,-4.227624,-189.281344,5.662873
0.01,3.108825,15.493695,0.132267,0.043714,-6.281944,-205.432048,5.631915
0.01,3.109145,15.493441,0.132676,0.040859,-0.285508,599.643664,5.600854
0.01,3.110276,15.492488,0.134155,0.147917,10.705771,1099.127928,5.56984
0.01,3.112345,15.490636,0.136932,0.277681,12.976414,227.064289,5.539025
