dt,x,y,position,velocity,acceleration,jerk,heading
0.01,4.000024,14.5,0.00005,0.01,1,100,0
0.01,4.000085,14.5,0.000111,0.006086,-0.3914,-139.140044,0.000031
0.01,4.000375,14.5,0.0004,0.02895,2.286364,267.776479,0.000138
0.01,4.000889,14.5,0.000915,0.05146,2.251069,-3.52957,0.000329
0.01,4.001693,14.500001,0.001719,0.080392,2.893177,64.210861,0.000626
0.01,4.00285,14.500002,0.002876,0.115733,3.534115,64.093737,0.001055
0.01,4.004425,14.500004,0.004451,0.157466,4.173307,63.919259,0.001638
0.01,4.006481,14.500008,0.006507,0.205567,4.810071,63.676427,0.002401
0.01,4.009081,14.500015,0.009107,0.260003,5.443612,63.354098,0.003368
0.01,4.012288,14.500028,0.012314,0.320733,6.073028,62.941582,0.004563
0.01,4.016165,14.500048,0.016191,0.387706,6.697294,62.426615,0.006011
0.01,4.020774,14.50008,0.0208,0.460859,7.315304,61.800948,0.007739
0.01,4.026175,14.500127,0.026201,0.540118,7.925824,61.051967,0.009772
0.01,4.032396,14.500196,0.032423,0.622205,8.208742,28.291799,0.012123
0.01,4.039434,14.50029,0.039461,0.703863,8.165805,-4.293685,0.014798
0.01,4.047284,14.500418,0.047312,0.785036,8.117323,-4.848181,0.017797
0.01,4.055939,14.500587,0.055968,0.86567,8.063387,-5.393588,0.021126
0.01,4.065393,14.500804,0.065426,0.945711,8.004103,-5.928426,0.024788
0.01,4.075641,14.501078,0.075677,1.025107,7.939605,-6.449789,0.028788
0.01,4.086673,14.50142,0.086715,1.103808,7.870046,-6.955935,0.033129
0.01,4.098484,14.501839,0.098532,1.181764,7.795632,-7.441345,0.037817
0.01,4.111063,14.502347,0.111122,1.25893,7.716593,-7.903872,0.042857
0.01,4.124401,14.502955,0.124474,1.335262,7.633216,-8.337713,0.048256
0.01,4.13849,14.503676,0.138582,1.41072,7.545825,-8.739087,0.054018
0.01,4.153319,14.504523,0.153434,1.485269,7.45483,-9.099531,0.060149
0.01,4.168876,14.505511,0.169023,1.558876,7.360688,-9.414243,0.066657
