dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,4.000008,14.500000,0.000050,0.010000,1.000000,100.000000,6.283180
0.010000,4.000107,14.500000,0.000148,0.009838,-0.016243,-101.624341,0.000048
0.010000,4.000374,14.500000,0.000416,0.026772,1.693457,170.970058,0.000170
0.010000,4.000850,14.500000,0.000892,0.047585,2.081257,38.779935,0.000386
0.010000,4.001594,14.500001,0.001635,0.074325,2.674018,59.276184,0.000724
0.010000,4.002663,14.500002,0.002705,0.106972,3.264681,59.066261,0.001211
0.010000,4.004118,14.500004,0.004160,0.145494,3.852210,58.752895,0.001874
0.010000,4.006017,14.500008,0.006058,0.189848,4.435378,58.316813,0.002742
0.010000,4.008416,14.500016,0.008458,0.239975,5.012732,57.735382,0.003842
0.010000,4.011374,14.500030,0.011416,0.295801,5.582616,56.988395,0.005203
0.010000,4.014947,14.500051,0.014988,0.357232,6.143144,56.052850,0.006855
0.010000,4.019188,14.500084,0.019230,0.424155,6.692215,54.907069,0.008827
0.010000,4.024152,14.500134,0.024194,0.496430,7.227497,53.528184,0.011151
0.010000,4.029861,14.500205,0.029904,0.570971,7.454116,22.661962,0.013845
0.010000,4.036308,14.500304,0.036351,0.644721,7.375051,-7.906588,0.016913
0.010000,4.043482,14.500438,0.043527,0.717573,7.285122,-8.992899,0.020363
0.010000,4.051374,14.500614,0.051421,0.789415,7.184242,-10.087956,0.024200
0.010000,4.059973,14.500840,0.060022,0.860138,7.072330,-11.191190,0.028432
0.010000,4.069265,14.501126,0.069319,0.929631,6.949322,-12.300769,0.033068
0.010000,4.079236,14.501481,0.079297,0.997783,6.815178,-13.414424,0.038116
0.010000,4.089872,14.501916,0.089941,1.064482,6.669896,-14.528236,0.043586
0.010000,4.101156,14.502441,0.101238,1.129617,6.513523,-15.637306,0.049489
0.010000,4.113070,14.503069,0.113168,1.193079,6.346177,-16.734605,0.055835
0.010000,4.125596,14.503812,0.125716,1.254760,6.168050,-17.812713,0.062637
0.010000,4.138713,14.504682,0.138862,1.314554,5.979449,-18.860081,0.069906
0.010000,4.152399,14.505693,0.152585,1.372362,5.780810,-19.863841,0.077657
0.010000,4.166632,14.506860,0.166866,1.428089,5.572722,-20.808805,0.085903
0.010000,4.181388,14.508195,0.181683,1.481649,5.355975,-21.674776,0.094659
0.010000,4.196643,14.509715,0.197012,1.532965,5.131579,-22.439512,0.103939
0.010000,4.212369,14.511433,0.212832,1.581973,4.900824,-23.075525,0.113759
0.010000,4.228540,14.513365,0.229118,1.628626,4.665311,-23.551361,0.124135
0.010000,4.245129,14.515527,0.245847,1.672896,4.427009,-23.830182,0.135082
0.010000,4.262107,14.517934,0.262995,1.714780,4.188311,-23.869785,0.146617
0.010000,4.279446,14.520602,0.280538,1.754300,3.952086,-23.622536,0.158755
0.010000,4.297117,14.523546,0.298453,1.791518,3.721739,-23.034681,0.171511
0.010000,4.315093,14.526783,0.316718,1.826530,3.501266,-22.047252,0.184901
0.010000,4.333347,14.530329,0.335313,1.859484,3.295307,-20.595920,0.198938
0.010000,4.351852,14.534201,0.354219,1.890575,3.109183,-18.612418,0.213634
0.010000,4.370585,14.538415,0.373420,1.920065,2.948932,-16.025098,0.229000
0.010000,4.389523,14.542989,0.392902,1.948278,2.821305,-12.762673,0.245045
0.010000,4.408648,14.547942,0.412659,1.975615,2.733757,-8.754850,0.261774
0.010000,4.427946,14.553292,0.432684,2.002559,2.694374,-3.938231,0.279190
0.010000,4.447406,14.559061,0.452981,2.029677,2.711781,1.740640,0.297292
0.010000,4.467022,14.565272,0.473557,2.057627,2.794971,8.319020,0.316074
0.010000,4.486796,14.571951,0.494429,2.087158,2.953094,15.812324,0.335526
0.010000,4.506734,14.579129,0.515620,2.119109,3.195162,24.206811,0.355632
0.010000,4.526851,14.586839,0.537164,2.154406,3.529703,33.454026,0.376369
0.010000,4.547169,14.595120,0.559104,2.194050,3.964340,43.463794,0.397708
0.010000,4.567716,14.604018,0.581495,2.239103,4.505343,54.100260,0.419614
0.010000,4.588530,14.613584,0.604402,2.290674,5.157137,65.179376,0.442042
0.010000,4.609635,14.623870,0.627881,2.347857,5.718221,56.108446,0.464923
0.010000,4.631047,14.634924,0.651977,2.409654,6.179703,46.148124,0.488158
0.010000,4.652785,14.646798,0.676746,2.476911,6.725723,54.602053,0.511645
0.010000,4.674871,14.659547,0.702249,2.550243,7.333210,60.748666,0.535277
0.010000,4.697332,14.673231,0.728549,2.630000,7.975657,64.244748,0.558943
0.010000,4.720188,14.687907,0.755711,2.716243,8.624320,64.866321,0.582534
0.010000,4.743459,14.703634,0.783799,2.808739,9.249598,62.527791,0.605942
0.010000,4.767159,14.720468,0.812868,2.906964,9.822494,57.289538,0.629062
0.010000,4.791293,14.738457,0.842970,3.010124,10.316012,49.351857,0.651794
0.010000,4.815861,14.757644,0.874141,3.117188,10.706379,39.036719,0.674046
0.010000,4.840851,14.778059,0.906411,3.226927,10.973978,26.759870,0.695732
0.010000,4.866243,14.799725,0.939790,3.337967,11.103944,12.996561,0.716779
0.010000,4.892010,14.822649,0.974279,3.448831,11.086401,-1.754248,0.737120
0.010000,4.918136,14.846843,1.009886,3.560777,11.194643,10.824130,0.756714
0.010000,4.944619,14.872330,1.046641,3.675504,11.472686,27.804320,0.775544
0.010000,4.971453,14.899126,1.084564,3.792243,11.673927,20.124142,0.793595
0.010000,4.998631,14.927241,1.123667,3.910298,11.805468,13.154083,0.810859
0.010000,5.026142,14.956677,1.163957,4.029047,11.874880,6.941197,0.827332
0.010000,5.053973,14.987433,1.205437,4.147946,11.889913,1.503341,0.843012
