dt,x,y,position,velocity,acceleration,jerk,heading
0.01,4.99998,12.4,0.00005,0.01,1,100,0
0.01,5.000212,12.4,0.000282,0.02321,1.321025,32.102459,0.000041
0.01,5.000845,12.4,0.000914,0.063225,4.001444,268.041932,0.000162
0.01,5.001969,12.4,0.002038,0.112405,4.918072,91.662832,0.000378
0.01,5.003725,12.400001,0.003795,0.175649,6.32432,140.624821,0.000716
0.01,5.006255,12.400004,0.006325,0.252966,7.731786,140.746573,0.001202
0.01,5.009699,12.400009,0.009768,0.344377,9.14106,140.92736,0.001865
0.01,5.014198,12.400019,0.014267,0.449905,10.55283,141.177004,0.002731
0.01,5.019893,12.400038,0.019963,0.569585,11.967921,141.509071,0.003828
0.01,5.026928,12.40007,0.026998,0.703457,13.387243,141.932223,0.005185
0.01,5.035443,12.400121,0.035514,0.851575,14.811825,142.458222,0.006828
0.01,5.045583,12.4002,0.045654,1.014003,16.242756,143.09311,0.008788
0.01,5.057491,12.400318,0.057562,1.190815,17.681247,143.849098,0.011094
0.01,5.07124,12.400489,0.071312,1.375046,18.42311,74.186252,0.013761
0.01,5.086835,12.400728,0.086909,1.559711,18.466454,4.33443,0.016792
0.01,5.104281,12.40105,0.104358,1.744861,18.515039,4.85849,0.020191
0.01,5.123582,12.401476,0.123663,1.930548,18.568656,5.361721,0.023962
0.01,5.144743,12.402027,0.144832,2.116818,18.627019,5.836283,0.028107
0.01,5.167769,12.402727,0.167869,2.303716,18.689822,6.280349,0.032632
0.01,5.192667,12.403601,0.192782,2.491283,18.756687,6.68643,0.037541
0.01,5.219441,12.404677,0.219577,2.679555,18.827182,7.049581,0.042838
0.01,5.248097,12.405987,0.248263,2.868563,18.900804,7.36221,0.048528
0.01,5.278639,12.407564,0.278846,3.058333,18.97697,7.616569,0.054617
0.01,5.311074,12.409443,0.311335,3.248883,19.055009,7.803914,0.06111
0.01,5.345404,12.411662,0.345737,3.440224,19.134167,7.915771,0.068011
0.01,5.381635,12.414263,0.382061,3.63236,19.21357,7.940286,0.075327
0.01,5.419768,12.417289,0.420314,3.825283,19.292236,7.86662,0.083062
0.01,5.459805,12.420787,0.460503,4.018973,19.369064,7.682756,0.091222
0.01,5.501747,12.424805,0.502637,4.213401,19.442813,7.374962,0.099811
0.01,5.545592,12.429396,0.546723,4.408522,19.512103,6.928936,0.108835
0.01,5.591338,12.434613,0.592765,4.604276,19.575414,6.331139,0.118297
0.01,5.63898,12.440515,0.640771,4.800587,19.631068,5.56539,0.128201
0.01,5.68851,12.44716,0.690745,4.997359,19.67723,4.616234,0.13855
0.01,5.739918,12.454611,0.74269,5.194479,19.711925,3.4695,0.149347
0.01,5.79319,12.462934,0.796608,5.391809,19.733013,2.108729,0.160593
0.01,5.848309,12.472193,0.8525,5.589191,19.738234,0.522108,0.172287
0.01,5.905256,12.482459,0.910364,5.786443,19.725192,-1.304187,0.184431
0.01,5.964004,12.493802,0.970198,5.983357,19.691404,-3.378788,0.19702
0.01,6.024526,12.506293,1.031995,6.1797,19.634306,-5.709806,0.210051
0.01,6.086786,12.520005,1.095747,6.375213,19.551321,-8.298499,0.22352
0.01,6.150745,12.535012,1.161443,6.569612,19.439872,-11.144916,0.237418
0.01,6.216358,12.551387,1.229069,6.762587,19.297462,-14.240935,0.251735
0.01,6.283575,12.569204,1.298607,6.953804,19.121731,-17.573143,0.266461
0.01,6.352339,12.588533,1.370036,7.142909,18.91052,-21.121047,0.281581
0.01,6.422588,12.609445,1.443331,7.329529,18.661956,-24.856438,0.297078
0.01,6.494253,12.632007,1.518464,7.513274,18.374528,-28.742807,0.312934
0.01,6.567259,12.656285,1.595401,7.693746,18.047164,-32.736442,0.329126
0.01,6.641528,12.682338,1.674107,7.870539,17.679315,-36.784867,0.34563
0.01,6.716972,12.710222,1.754539,8.043249,17.271017,-40.829827,0.362419
0.01,6.793502,12.739989,1.836654,8.211479,16.822957,-44.805957,0.379463
0.01,6.870955,12.771655,1.92033,8.367618,15.61389,-120.906747,0.396715
0.01,6.949103,12.805196,2.005372,8.504212,13.659453,-195.443626,0.41411
0.01,7.027721,12.840575,2.091584,8.621192,11.698017,-196.14359,0.431585
0.01,7.10659,12.877738,2.17877,8.71859,9.739828,-195.818944,0.449077
0.01,7.185497,12.916618,2.266736,8.796544,7.795375,-194.445299,0.466521
0.01,7.264238,12.957133,2.355288,8.855295,5.875027,-192.034842,0.483857
0.01,7.342619,12.999189,2.44424,8.895181,3.988685,-188.634126,0.501026
0.01,7.42046,13.042681,2.533407,8.916636,2.145479,-184.320629,0.517971
0.01,7.497589,13.087493,2.622608,8.920171,0.353483,-179.199564,0.534639
0.01,7.573849,13.1335,2.711672,8.906366,-1.380479,-173.396229,0.550982
0.01,7.649098,13.180572,2.800431,8.875856,-3.050978,-167.049931,0.566955
0.01,7.723204,13.228571,2.888724,8.829316,-4.654046,-160.306791,0.582518
0.01,7.796051,13.277358,2.976398,8.767444,-6.187175,-153.312875,0.597635
0.01,7.86759,13.326826,3.063374,8.697615,-6.982928,-79.575271,0.612286
0.01,7.937832,13.376909,3.149644,8.626927,-7.068761,-8.583379,0.626466
0.01,8.006795,13.427546,3.2352,8.555637,-7.129066,-6.030489,0.640171
0.01,8.074498,13.478674,3.32004,8.483976,-7.166033,-3.696706,0.653398
0.01,8.140963,13.530237,3.404161,8.412157,-7.1819,-1.586638,0.666146
0.01,8.206217,13.582181,3.487565,8.340368,-7.178902,0.299761,0.678415
0.01,8.270286,13.634453,3.570253,8.268776,-7.15924,1.966191,0.690207
0.01,8.3332,13.687005,3.652228,8.197525,-7.125048,3.419268,0.701525
0.01,8.39499,13.739792,3.733495,8.126742,-7.078367,4.668093,0.71237
0.01,8.455688,13.792769,3.814061,8.05653,-7.021133,5.723408,0.722747
0.01,8.515325,13.845897,3.893931,7.986979,-6.955158,6.597467,0.73266
0.01,8.573936,13.899137,3.973112,7.918158,-6.88213,7.302754,0.742115
0.01,8.631553,13.952454,4.051613,7.850121,-6.803605,7.85253,0.751116
0.01,8.688211,14.005813,4.129442,7.782911,-6.721003,8.260184,0.759669
0.01,8.743944,14.059184,4.206608,7.716555,-6.635621,8.538246,0.767779
0.01,8.798784,14.112536,4.283119,7.651069,-6.548625,8.699592,0.775453
0.01,8.852765,14.165842,4.358983,7.586458,-6.461066,8.755891,0.782696
0.01,8.905919,14.219074,4.43421,7.52272,-6.37388,8.718608,0.789515
0.01,8.958279,14.27221,4.508809,7.459841,-6.287899,8.598115,0.795914
0.01,9.009877,14.325223,4.582787,7.397802,-6.203859,8.403943,0.801899
0.01,9.060742,14.378093,4.656153,7.336578,-6.122406,8.14537,0.807476
0.01,9.110906,14.430798,4.728914,7.276137,-6.044105,7.83009,0.812651
0.01,9.160398,14.483317,4.801078,7.216442,-5.969448,7.465657,0.817427
0.01,9.209246,14.535632,4.872653,7.157454,-5.898862,7.058576,0.82181
0.01,9.257478,14.587722,4.943644,7.099127,-5.832715,6.614714,0.825804
0.01,9.305122,14.63957,5.014058,7.041413,-5.771321,6.139438,0.829414
0.01,9.352202,14.691159,5.083901,6.984264,-5.714949,5.637149,0.832642
0.01,9.398745,14.742471,5.153177,6.927626,-5.663827,5.112247,0.835493
0.01,9.444775,14.79349,5.221892,6.871444,-5.618146,4.568127,0.837969
0.01,9.490315,14.8442,5.290048,6.815664,-5.578064,4.00814,0.840074
0.01,9.535388,14.894583,5.357651,6.760226,-5.543714,3.435029,0.841809
0.01,9.580016,14.944624,5.424701,6.705074,-5.515201,2.851293,0.843176
0.01,9.62422,14.994308,5.491203,6.650148,-5.492608,2.25925,0.844177
0.01,9.668019,15.043619,5.557157,6.595388,-5.476001,1.660781,0.844813
0.01,9.711433,15.092541,5.622564,6.540734,-5.465423,1.057808,0.845084
0.01,9.75448,15.141058,5.687425,6.486125,-5.460902,0.452016,0.844992
0.01,9.797178,15.189155,5.75174,6.431501,-5.462452,-0.154977,0.844535
0.01,9.839543,15.236816,5.815508,6.3768,-5.470068,-0.761565,0.843714
0.01,9.881591,15.284025,5.878728,6.321963,-5.483729,-1.366144,0.842527
0.01,9.923337,15.330766,5.941397,6.266929,-5.5034,-1.967063,0.840973
0.01,9.964795,15.377022,6.003514,6.211638,-5.529025,-2.562524,0.839051
0.01,10.005979,15.422778,6.065074,6.156033,-5.560532,-3.150667,0.836757
0.01,10.046901,15.468016,6.126074,6.100055,-5.597825,-3.729287,0.834091
0.01,10.087571,15.51272,6.186511,6.043647,-5.640786,-4.29615,0.831049
0.01,10.128002,15.556873,6.246379,5.986754,-5.689271,-4.848463,0.827627
0.01,10.168203,15.600457,6.305672,5.929323,-5.743104,-5.383326,0.823823
