dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.640003,14.000000,0.000050,0.010000,1.000000,100.000000,6.283184
0.010000,1.640128,14.000000,0.000175,0.012528,0.252834,-74.716639,0.000043
0.010000,1.640428,14.000000,0.000475,0.029973,1.744472,149.163862,0.000143
0.010000,1.640960,14.000000,0.001008,0.053282,2.330885,58.641287,0.000321
0.010000,1.641793,14.000001,0.001840,0.083244,2.996203,66.531795,0.000599
0.010000,1.642991,14.000001,0.003039,0.119852,3.660797,66.459352,0.001000
0.010000,1.644622,14.000004,0.004670,0.163095,4.324316,66.351989,0.001546
0.010000,1.646752,14.000008,0.006799,0.212959,4.986345,66.202893,0.002260
0.010000,1.649446,14.000015,0.009494,0.269423,5.646400,66.005442,0.003164
0.010000,1.652771,14.000027,0.012818,0.332462,6.303936,65.753661,0.004281
0.010000,1.656758,14.000047,0.016805,0.398724,6.626188,32.225137,0.005623
0.010000,1.661406,14.000077,0.021454,0.464861,6.613732,-1.245582,0.007190
0.010000,1.666715,14.000120,0.026763,0.530854,6.599300,-1.443162,0.008985
0.010000,1.672681,14.000179,0.032729,0.596683,6.582940,-1.636049,0.011007
0.010000,1.679304,14.000260,0.039353,0.662331,6.564709,-1.823073,0.013258
0.010000,1.686581,14.000365,0.046630,0.727777,6.544673,-2.003657,0.015739
0.010000,1.694510,14.000501,0.054561,0.793006,6.522909,-2.176393,0.018453
0.010000,1.703088,14.000672,0.063141,0.858001,6.499502,-2.340688,0.021399
0.010000,1.712313,14.000884,0.072368,0.922747,6.474553,-2.494843,0.024581
0.010000,1.722182,14.001143,0.082240,0.987229,6.448173,-2.638024,0.027999
0.010000,1.732692,14.001457,0.092755,1.051434,6.420488,-2.768497,0.031656
0.010000,1.743839,14.001832,0.103908,1.115350,6.391639,-2.884892,0.035554
0.010000,1.755621,14.002275,0.115698,1.178968,6.361783,-2.985580,0.039694
0.010000,1.768032,14.002795,0.128121,1.242279,6.331095,-3.068812,0.044079
0.010000,1.781071,14.003401,0.141173,1.305276,6.299771,-3.132472,0.048711
0.010000,1.794733,14.004100,0.154853,1.367957,6.268023,-3.174778,0.053591
0.010000,1.809013,14.004903,0.169156,1.430318,6.236088,-3.193437,0.058722
0.010000,1.823909,14.005819,0.184080,1.492360,6.204230,-3.185842,0.064106
0.010000,1.839415,14.006858,0.199621,1.554087,6.172731,-3.149945,0.069746
0.010000,1.855527,14.008031,0.215776,1.615506,6.141903,-3.082782,0.075642
0.010000,1.872242,14.009350,0.232542,1.676627,6.112086,-2.981633,0.081798
0.010000,1.889554,14.010825,0.249917,1.737464,6.083649,-2.843709,0.088215
0.010000,1.907459,14.012469,0.267897,1.798033,6.056990,-2.665939,0.094895
