dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,3.000000,12.000000,0.000050,0.010000,1.000000,100.000000,6.283185
0.010000,3.000299,12.000000,0.000349,0.029894,1.989392,98.939161,0.000066
0.010000,3.000973,12.000000,0.001023,0.067453,3.755916,176.652406,0.000216
0.010000,3.002172,12.000001,0.002223,0.119931,5.247808,149.189222,0.000482
0.010000,3.004047,12.000002,0.004097,0.187430,6.749864,150.205572,0.000898
0.010000,3.006746,12.000005,0.006797,0.269979,8.254923,150.505910,0.001498
0.010000,3.010423,12.000012,0.010473,0.367623,9.764439,150.951647,0.002316
0.010000,3.015227,12.000026,0.015277,0.480425,11.280183,151.574396,0.003385
0.010000,3.021312,12.000050,0.021362,0.608467,12.804209,152.402596,0.004742
0.010000,3.028830,12.000092,0.028881,0.751856,14.338881,153.467154,0.006421
0.010000,3.037862,12.000160,0.037913,0.903194,15.133765,79.488425,0.008442
0.010000,3.048412,12.000261,0.048463,1.055060,15.186638,5.287349,0.010809
0.010000,3.060486,12.000408,0.060539,1.207545,15.248446,6.180736,0.013526
0.010000,3.074092,12.000613,0.074146,1.360737,15.319228,7.078243,0.016598
0.010000,3.089237,12.000890,0.089293,1.514727,15.399022,7.979426,0.020029
0.010000,3.105929,12.001256,0.105989,1.669606,15.487864,8.884125,0.023826
0.010000,3.124177,12.001729,0.124244,1.825463,15.585760,9.789588,0.027996
0.010000,3.143992,12.002329,0.144068,1.982390,15.692711,10.695144,0.032546
0.010000,3.165384,12.003079,0.165473,2.140477,15.808681,11.596967,0.037482
0.010000,3.188364,12.004002,0.188471,2.299813,15.933601,12.492008,0.042814
0.010000,3.212943,12.005125,0.213076,2.460487,16.067344,13.374288,0.048551
0.010000,3.239134,12.006478,0.239301,2.622584,16.209742,14.239802,0.054701
0.010000,3.266949,12.008093,0.267163,2.786189,16.360524,15.078187,0.061276
0.010000,3.296401,12.010003,0.296677,2.951383,16.519359,15.883544,0.068285
0.010000,3.327502,12.012247,0.327860,3.118241,16.685779,16.642012,0.075740
0.010000,3.360266,12.014864,0.360728,3.286833,16.859203,17.342413,0.083653
0.010000,3.394705,12.017896,0.395300,3.457222,17.038884,17.968090,0.092034
0.010000,3.430831,12.021392,0.431595,3.629461,17.223905,18.502041,0.100897
0.010000,3.468655,12.025400,0.469631,3.803592,17.413122,18.921701,0.110255
0.010000,3.508188,12.029974,0.509427,3.979644,17.605165,19.204302,0.120119
0.010000,3.549438,12.035170,0.551003,4.157627,17.798377,19.321255,0.130503
0.010000,3.592413,12.041049,0.594379,4.337535,17.990798,19.242103,0.141420
0.010000,3.637118,12.047675,0.639572,4.519336,18.180107,18.930929,0.152883
0.010000,3.683556,12.055115,0.686602,4.702972,18.363612,18.350423,0.164903
0.010000,3.731725,12.063443,0.735485,4.888354,18.538196,17.458420,0.177492
0.010000,3.781621,12.072732,0.786239,5.075357,18.700284,16.208808,0.190661
0.010000,3.833235,12.083063,0.838877,5.263816,18.845846,14.556206,0.204420
0.010000,3.886554,12.094516,0.893412,5.453519,18.970352,12.450556,0.218777
0.010000,3.941558,12.107177,0.949854,5.644207,19.068785,9.843386,0.233739
0.010000,3.998220,12.121135,1.008210,5.835564,19.135673,6.688756,0.249310
0.010000,4.056507,12.136477,1.068482,6.027215,19.165105,2.943219,0.265492
