dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.639997,11.000000,0.000050,0.010000,1.000000,100.000000,6.283184
0.010000,1.640256,11.000000,0.000309,0.025885,1.588470,58.847006,0.000043
0.010000,1.640856,11.000000,0.000909,0.060027,3.414223,182.575343,0.000143
0.010000,1.641924,11.000000,0.001976,0.106718,4.669116,125.489207,0.000321
0.010000,1.643591,11.000001,0.003644,0.166756,6.003797,133.468191,0.000599
0.010000,1.645993,11.000003,0.006045,0.240148,7.339203,133.540513,0.001000
0.010000,1.649262,11.000007,0.009314,0.326905,8.675683,133.647999,0.001546
0.010000,1.653532,11.000015,0.013585,0.427041,10.013655,133.797203,0.002260
0.010000,1.658938,11.000030,0.018991,0.540577,11.353599,133.994407,0.003164
0.010000,1.665613,11.000055,0.025666,0.667538,12.696061,134.246271,0.004281
0.010000,1.673626,11.000094,0.033679,0.801276,13.373808,67.774686,0.005623
0.010000,1.682977,11.000154,0.043030,0.935139,13.386262,1.245396,0.007190
0.010000,1.693668,11.000241,0.053722,1.069146,13.400693,1.443107,0.008985
0.010000,1.705701,11.000361,0.065755,1.203316,13.417050,1.635703,0.011007
0.010000,1.719076,11.000523,0.079131,1.337669,13.435280,1.822952,0.013258
0.010000,1.733797,11.000737,0.093854,1.472222,13.455312,2.003224,0.015739
0.010000,1.749865,11.001012,0.109924,1.606993,13.477075,2.176332,0.018453
0.010000,1.767281,11.001359,0.127344,1.741998,13.500477,2.340183,0.021399
0.010000,1.786049,11.001790,0.146116,1.877252,13.525424,2.494640,0.024581
0.010000,1.806170,11.002319,0.166244,2.012770,13.551799,2.637500,0.027999
0.010000,1.827646,11.002960,0.187729,2.148565,13.579479,2.768051,0.031656
0.010000,1.850479,11.003728,0.210576,2.284648,13.608324,2.884482,0.035554
0.010000,1.874672,11.004638,0.234786,2.421030,13.638175,2.985121,0.039694
0.010000,1.900227,11.005709,0.260363,2.557718,13.668857,3.068138,0.044079
0.010000,1.927145,11.006959,0.287311,2.694720,13.700177,3.132034,0.048711
0.010000,1.955429,11.008407,0.315631,2.832039,13.731919,3.174183,0.053591
0.010000,1.985079,11.010074,0.345328,2.969678,13.763844,3.192564,0.058722
0.010000,2.016096,11.011981,0.376404,3.107635,13.795698,3.185357,0.064106
0.010000,2.048483,11.014152,0.408863,3.245906,13.827189,3.149132,0.069746
0.010000,2.082238,11.016610,0.442708,3.384487,13.858008,3.081926,0.075642
0.010000,2.117363,11.019381,0.477942,3.523365,13.887817,2.980859,0.081798
0.010000,2.153856,11.022490,0.514567,3.662527,13.916245,2.842816,0.088215
0.010000,2.191716,11.025966,0.552586,3.801956,13.942895,2.664940,0.094895
0.010000,2.230942,11.029837,0.592003,3.941630,13.967338,2.444385,0.101839
0.010000,2.271530,11.034133,0.632818,4.081521,13.989111,2.177267,0.109049
0.010000,2.313478,11.038884,0.675034,4.221598,14.007725,1.861356,0.116527
0.010000,2.356781,11.044123,0.718652,4.361824,14.022654,1.492884,0.124272
0.010000,2.401432,11.049882,0.763674,4.502158,14.033343,1.068975,0.132287
0.010000,2.447427,11.056196,0.810099,4.642550,14.039208,0.586479,0.140570
0.010000,2.494755,11.063100,0.857929,4.782946,14.039638,0.043026,0.149124
0.010000,2.543409,11.070629,0.907162,4.923286,14.033993,-0.564528,0.157946
0.010000,2.593377,11.078821,0.957797,5.063502,14.021615,-1.237790,0.167036
0.010000,2.644647,11.087712,1.009832,5.203521,14.001828,-1.978765,0.176393
0.010000,2.697205,11.097341,1.063264,5.343260,13.973938,-2.788910,0.186014
0.010000,2.751034,11.107747,1.118091,5.482633,13.937255,-3.668353,0.195899
0.010000,2.806118,11.118969,1.174306,5.621543,13.891080,-4.617524,0.206043
0.010000,2.862437,11.131046,1.231905,5.759891,13.834727,-5.635228,0.216442
0.010000,2.919968,11.144018,1.290881,5.897566,13.767532,-6.719541,0.227093
0.010000,2.978689,11.157924,1.351225,6.034455,13.688855,-7.867727,0.237989
0.010000,3.038572,11.172805,1.412930,6.170436,13.598096,-9.075918,0.249126
0.010000,3.099590,11.188698,1.475984,6.305383,13.494709,-10.338616,0.260495
0.010000,3.161712,11.205643,1.540375,6.439165,13.378212,-11.649710,0.272090
0.010000,3.224905,11.223678,1.606092,6.571647,13.248198,-13.001413,0.283901
0.010000,3.289135,11.242839,1.673119,6.702690,13.104350,-14.384796,0.295919
0.010000,3.354364,11.263162,1.741440,6.832155,12.946452,-15.789770,0.308134
0.010000,3.420553,11.284681,1.811039,6.959899,12.774403,-17.204926,0.320534
0.010000,3.487660,11.307429,1.881897,7.085781,12.588224,-18.617957,0.333106
0.010000,3.555642,11.331437,1.953993,7.209662,12.388068,-20.015584,0.345837
0.010000,3.624453,11.356733,2.027308,7.331404,12.174229,-21.383861,0.358714
0.010000,3.694048,11.383344,2.101816,7.450875,11.947145,-22.708435,0.371720
0.010000,3.764377,11.411295,2.177496,7.567949,11.707399,-23.974538,0.384840
0.010000,3.835390,11.440607,2.254321,7.682507,11.455722,-25.167796,0.398057
0.010000,3.907038,11.471298,2.332265,7.794436,11.192981,-26.274035,0.411353
0.010000,3.979268,11.503384,2.411302,7.903638,10.920181,-27.280062,0.424711
0.010000,4.052029,11.536879,2.491402,8.010023,10.638446,-28.173448,0.438112
0.010000,4.125268,11.571793,2.572537,8.113513,10.349010,-28.943570,0.451536
0.010000,4.198933,11.608131,2.654677,8.214045,10.053198,-29.581206,0.464963
0.010000,4.272973,11.645898,2.737793,8.311569,9.752406,-30.079251,0.478374
0.010000,4.347336,11.685093,2.821854,8.406050,9.448078,-30.432771,0.491748
0.010000,4.421973,11.725714,2.906828,8.497466,9.141687,-30.639138,0.505065
0.010000,4.496777,11.767724,2.992621,8.579326,8.185919,-95.576813,0.518294
0.010000,4.571593,11.811045,3.079075,8.645318,6.599233,-158.668526,0.531397
0.010000,4.646271,11.855595,3.166032,8.695754,5.043628,-155.560556,0.544336
0.010000,4.720672,11.901285,3.253342,8.730978,3.522388,-152.124006,0.557076
0.010000,4.794662,11.948020,3.340856,8.751361,2.038238,-148.414931,0.569585
0.010000,4.868118,11.995699,3.428429,8.757294,0.593313,-144.492493,0.581834
0.010000,4.940923,12.044218,3.515920,8.749185,-0.810854,-140.416778,0.593796
0.010000,5.012972,12.093472,3.603195,8.727452,-2.173322,-136.246810,0.605446
0.010000,5.084163,12.143349,3.690120,8.692515,-3.493712,-132.038951,0.616763
0.010000,5.154407,12.193738,3.776568,8.644793,-4.772164,-127.845255,0.627728
0.010000,5.223668,12.244562,3.862476,8.590817,-5.397592,-62.542777,0.638334
0.010000,5.291965,12.295782,3.947845,8.536915,-5.390213,0.737878,0.648581
0.010000,5.359315,12.347360,4.032677,8.483172,-5.374320,1.589352,0.658469
0.010000,5.425740,12.399261,4.116974,8.429663,-5.350914,2.340613,0.668000
0.010000,5.491260,12.451449,4.200738,8.376453,-5.320957,2.995663,0.677176
0.010000,5.555898,12.503891,4.283974,8.323600,-5.285365,3.559192,0.686001
0.010000,5.619675,12.556557,4.366686,8.271150,-5.245003,4.036240,0.694475
0.010000,5.682615,12.609416,4.448877,8.219143,-5.200683,4.432028,0.702603
0.010000,5.744740,12.662439,4.530553,8.167611,-5.153162,4.752020,0.710387
0.010000,5.806073,12.715600,4.611719,8.116580,-5.103146,5.001641,0.717831
0.010000,5.866640,12.768871,4.692380,8.066067,-5.051283,5.186311,0.724938
0.010000,5.926461,12.822230,4.772541,8.016085,-4.998170,5.311273,0.731712
0.010000,5.985563,12.875650,4.852207,7.966642,-4.944354,5.381619,0.738157
0.010000,6.043966,12.929111,4.931384,7.917738,-4.890332,5.402239,0.744275
0.010000,6.101696,12.982590,5.010078,7.869373,-4.836554,5.377755,0.750071
0.010000,6.158774,13.036067,5.088293,7.821538,-4.783429,5.312522,0.755548
0.010000,6.215223,13.089521,5.166036,7.774225,-4.731323,5.210601,0.760709
0.010000,6.271066,13.142933,5.243310,7.727420,-4.680564,5.075843,0.765559
0.010000,6.326324,13.196286,5.320121,7.681105,-4.631448,4.911675,0.770100
0.010000,6.381019,13.249560,5.396474,7.635263,-4.584234,4.721391,0.774335
0.010000,6.435173,13.302739,5.472372,7.589871,-4.539154,4.507923,0.778267
0.010000,6.488805,13.355807,5.547821,7.544907,-4.496414,4.274000,0.781900
0.010000,6.541936,13.408746,5.622825,7.500345,-4.456194,4.022041,0.785236
