dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.000001,1.500000,0.000050,0.009950,0.995025,99.502488,6.283185
0.010000,0.000142,1.500000,0.000191,0.014135,0.418473,-57.655188,0.000002
0.010000,0.000582,1.500000,0.000631,0.044010,2.987453,256.898010,0.000007
0.010000,0.001365,1.500000,0.001414,0.078239,3.422907,43.545342,0.000016
0.010000,0.002587,1.500000,0.002636,0.122246,4.400778,97.787146,0.000030
0.010000,0.004348,1.500000,0.004396,0.176032,5.378536,97.775772,0.000051
0.010000,0.006743,1.500000,0.006792,0.239593,6.356124,97.758854,0.000078
0.010000,0.009873,1.500001,0.009922,0.312928,7.333477,97.735306,0.000115
0.010000,0.013833,1.500001,0.013882,0.396033,8.310517,97.703973,0.000161
0.010000,0.018722,1.500002,0.018771,0.488904,9.287155,97.663798,0.000219
0.010000,0.024637,1.500004,0.024686,0.591537,10.263291,97.613629,0.000288
0.010000,0.031677,1.500006,0.031726,0.703926,11.238815,97.552361,0.000372
0.010000,0.039937,1.500009,0.039986,0.826062,12.213604,97.478872,0.000470
0.010000,0.049517,1.500014,0.049566,0.957937,13.187524,97.392034,0.000585
0.010000,0.060512,1.500022,0.060561,1.099541,14.160431,97.290722,0.000717
0.010000,0.072972,1.500031,0.073021,1.245977,14.643586,48.315507,0.000868
0.010000,0.086895,1.500045,0.086944,1.392349,14.637219,-0.636685,0.001039
0.010000,0.102282,1.500062,0.102331,1.538650,14.630100,-0.711962,0.001229
0.010000,0.119131,1.500085,0.119179,1.684872,14.622226,-0.787362,0.001439
0.010000,0.137441,1.500113,0.137490,1.831008,14.613597,-0.862914,0.001670
0.010000,0.157211,1.500149,0.157260,1.977050,14.604211,-0.938617,0.001923
0.010000,0.178441,1.500192,0.178490,2.122991,14.594066,-1.014515,0.002197
0.010000,0.201129,1.500246,0.201178,2.268823,14.583160,-1.090591,0.002495
0.010000,0.225274,1.500310,0.225324,2.414538,14.571491,-1.166902,0.002816
0.010000,0.250876,1.500386,0.250925,2.560128,14.559056,-1.243433,0.003161
0.010000,0.277931,1.500477,0.277981,2.705587,14.545854,-1.320233,0.003532
0.010000,0.306440,1.500583,0.306490,2.850906,14.531881,-1.397305,0.003929
0.010000,0.336401,1.500707,0.336451,2.996077,14.517134,-1.474687,0.004353
0.010000,0.367811,1.500851,0.367861,3.141093,14.501610,-1.552386,0.004805
0.010000,0.400670,1.501017,0.400721,3.285946,14.485306,-1.630450,0.005287
0.010000,0.434976,1.501207,0.435027,3.430628,14.468217,-1.708875,0.005799
0.010000,0.470727,1.501424,0.470779,3.575132,14.450340,-1.787725,0.006343
0.010000,0.507920,1.501670,0.507973,3.719448,14.431670,-1.866995,0.006920
0.010000,0.546555,1.501949,0.546609,3.863570,14.412203,-1.946721,0.007531
0.010000,0.586629,1.502264,0.586684,4.007490,14.391933,-2.026966,0.008177
0.010000,0.628139,1.502618,0.628196,4.151198,14.370856,-2.107702,0.008861
0.010000,0.671084,1.503014,0.671142,4.294688,14.348966,-2.189024,0.009583
0.010000,0.715462,1.503456,0.715522,4.437950,14.326257,-2.270904,0.010345
0.010000,0.761269,1.503948,0.761332,4.580978,14.302722,-2.353432,0.011148
0.010000,0.808503,1.504495,0.808569,4.723761,14.278356,-2.436595,0.011995
0.010000,0.857162,1.505100,0.857232,4.866293,14.253152,-2.520443,0.012886
0.010000,0.907244,1.505769,0.907318,5.008564,14.227102,-2.605030,0.013824
0.010000,0.958744,1.506506,0.958824,5.150566,14.200198,-2.690359,0.014810
0.010000,1.011661,1.507317,1.011746,5.292290,14.172433,-2.776466,0.015847
0.010000,1.065991,1.508208,1.066084,5.433728,14.143799,-2.863414,0.016936
0.010000,1.121731,1.509183,1.121832,5.574871,14.114287,-2.951189,0.018078
0.010000,1.178878,1.510251,1.178990,5.715710,14.083889,-3.039852,0.019277
0.010000,1.237429,1.511416,1.237552,5.856236,14.052595,-3.129428,0.020534
0.010000,1.297380,1.512687,1.297516,5.996440,14.020396,-3.219914,0.021851
0.010000,1.358727,1.514070,1.358879,6.136313,13.987282,-3.311370,0.023231
0.010000,1.421468,1.515573,1.421638,6.275845,13.953244,-3.403803,0.024676
0.010000,1.485597,1.517204,1.485788,6.415028,13.918272,-3.497194,0.026187
0.010000,1.551112,1.518971,1.551327,6.553851,13.882356,-3.591596,0.027769
0.010000,1.618007,1.520885,1.618250,6.692306,13.845486,-3.686991,0.029422
0.010000,1.686280,1.522953,1.686554,6.830383,13.807652,-3.783380,0.031150
0.010000,1.755925,1.525186,1.756234,6.968071,13.768845,-3.880728,0.032955
0.010000,1.826938,1.527593,1.827288,7.105362,13.729054,-3.979070,0.034839
0.010000,1.899314,1.530187,1.899710,7.242244,13.688271,-4.078305,0.036806
0.010000,1.973048,1.532977,1.973497,7.378709,13.646487,-4.178449,0.038859
0.010000,2.048136,1.535977,2.048645,7.514746,13.603693,-4.279399,0.040999
