dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,-0.000001,-1.500000,0.000050,0.009950,0.995025,99.502488,6.283185
0.010000,0.000147,-1.500000,0.000198,0.014816,0.486602,-50.842318,0.000002
0.010000,0.000603,-1.500000,0.000653,0.045543,3.072646,258.604465,0.000007
0.010000,0.001412,-1.500000,0.001463,0.080965,3.542268,46.962128,0.000016
0.010000,0.002677,-1.500000,0.002728,0.126510,4.554446,101.217827,0.000030
0.010000,0.004499,-1.500000,0.004550,0.182177,5.566738,101.229205,0.000051
0.010000,0.006979,-1.500000,0.007030,0.247969,6.579199,101.246114,0.000078
0.010000,0.010218,-1.499999,0.010268,0.323888,7.591896,101.269686,0.000115
0.010000,0.014317,-1.499999,0.014368,0.409937,8.604906,101.300985,0.000161
0.010000,0.019378,-1.499998,0.019429,0.506120,9.618318,101.341181,0.000219
0.010000,0.025503,-1.499996,0.025553,0.612443,10.632231,101.391347,0.000288
0.010000,0.032792,-1.499994,0.032843,0.728910,11.646757,101.452615,0.000372
0.010000,0.041347,-1.499990,0.041398,0.855530,12.662018,101.526104,0.000470
0.010000,0.051270,-1.499985,0.051321,0.992312,13.678148,101.612936,0.000585
0.010000,0.062663,-1.499978,0.062714,1.139265,14.695290,101.714248,0.000717
0.010000,0.075576,-1.499967,0.075627,1.291336,15.207160,51.186984,0.000868
0.010000,0.090011,-1.499954,0.090062,1.443472,15.213527,0.636682,0.001039
0.010000,0.105968,-1.499936,0.106018,1.595678,15.220646,0.711955,0.001229
0.010000,0.123447,-1.499912,0.123498,1.747963,15.228520,0.787362,0.001439
0.010000,0.142451,-1.499883,0.142501,1.900335,15.237149,0.862906,0.001670
0.010000,0.162979,-1.499846,0.163029,2.052800,15.246535,0.938622,0.001923
0.010000,0.185032,-1.499800,0.185083,2.205367,15.256680,1.014500,0.002197
0.010000,0.208613,-1.499745,0.208664,2.358043,15.267586,1.090595,0.002495
0.010000,0.233721,-1.499679,0.233772,2.510835,15.279255,1.166887,0.002816
0.010000,0.260358,-1.499599,0.260409,2.663752,15.291689,1.243431,0.003161
0.010000,0.288526,-1.499505,0.288577,2.816801,15.304892,1.320222,0.003532
0.010000,0.318226,-1.499394,0.318277,2.969990,15.318865,1.397299,0.003929
0.010000,0.349459,-1.499265,0.349511,3.123326,15.333611,1.474672,0.004353
0.010000,0.382227,-1.499115,0.382279,3.276817,15.349135,1.552381,0.004805
0.010000,0.416531,-1.498941,0.416584,3.430472,15.365439,1.630428,0.005287
0.010000,0.452373,-1.498743,0.452426,3.584297,15.382528,1.708871,0.005799
0.010000,0.489756,-1.498516,0.489809,3.738301,15.400405,1.787698,0.006343
0.010000,0.528680,-1.498258,0.528734,3.892492,15.419075,1.866973,0.006920
0.010000,0.569148,-1.497965,0.569203,4.046877,15.438542,1.946715,0.007531
0.010000,0.611161,-1.497636,0.611218,4.201465,15.458811,2.026925,0.008177
0.010000,0.654722,-1.497264,0.654780,4.356264,15.479888,2.107690,0.008861
0.010000,0.699833,-1.496848,0.699893,4.511282,15.501778,2.188978,0.009583
0.010000,0.746496,-1.496384,0.746559,4.666527,15.524487,2.270885,0.010345
0.010000,0.794713,-1.495865,0.794779,4.822007,15.548021,2.353383,0.011148
0.010000,0.844487,-1.495290,0.844556,4.977731,15.572386,2.436552,0.011995
0.010000,0.895820,-1.494651,0.895893,5.133707,15.597590,2.520412,0.012886
0.010000,0.948715,-1.493945,0.948792,5.289943,15.623640,2.604972,0.013824
0.010000,1.003174,-1.493165,1.003257,5.446449,15.650543,2.690298,0.014810
0.010000,1.059200,-1.492306,1.059289,5.603232,15.678307,2.776418,0.015847
0.010000,1.116795,-1.491362,1.116892,5.760301,15.706940,2.863332,0.016936
0.010000,1.175962,-1.490326,1.176069,5.917666,15.736452,2.951119,0.018078
0.010000,1.236705,-1.489192,1.236822,6.075334,15.766849,3.039773,0.019277
0.010000,1.299026,-1.487951,1.299155,6.233316,15.798143,3.129325,0.020534
0.010000,1.362928,-1.486597,1.363072,6.391619,15.830341,3.219829,0.021851
0.010000,1.428414,-1.485121,1.428574,6.550254,15.863453,3.311265,0.023231
