dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.648421,11.000006,0.006250,0.250000,5.000000,100.000000,0.001495
0.050000,1.682552,11.000161,0.040381,0.682625,8.652497,73.049937,0.007583
0.050000,1.751080,11.001103,0.108916,1.370688,13.761253,102.175129,0.019939
0.050000,1.854517,11.004145,0.212398,2.069642,13.979085,4.356638,0.038928
0.050000,1.993572,11.011376,0.351640,2.784852,14.304213,6.502553,0.065093
0.050000,2.169040,11.025802,0.527700,3.521202,14.727000,8.455740,0.099138
0.050000,2.381598,11.051517,0.741808,4.282157,15.219091,9.841817,0.141888
0.050000,2.631432,11.093860,0.995205,5.067934,15.715545,9.929081,0.194172
0.050000,2.917638,11.159441,1.288828,5.872466,16.090634,7.501785,0.256619
0.050000,3.237385,11.255854,1.622795,6.679327,16.137226,0.931845,0.329312
0.050000,3.585020,11.390811,1.995707,7.458241,15.578274,-11.179041,0.411323
0.050000,3.951605,11.570594,2.404004,8.165951,14.154197,-28.481540,0.500278
0.050000,4.325593,11.798174,2.841794,8.755792,11.796828,-47.147383,0.592241
0.050000,4.694935,12.071958,3.301545,9.195027,8.784692,-60.242730,0.682179
0.050000,5.043894,12.380371,3.767261,9.314316,2.385776,-127.978314,0.763575
0.050000,5.358534,12.703187,4.218047,9.015729,-5.971733,-167.150178,0.830823
0.050000,5.638205,13.026541,4.645568,8.550407,-9.306438,-66.694099,0.882535
0.050000,5.889651,13.344762,5.051140,8.111451,-8.779115,10.546464,0.919599
0.050000,6.119153,13.653975,5.436217,7.701541,-8.198202,11.618266,0.942989
0.050000,6.332097,13.951267,5.801905,7.313751,-7.755798,8.848062,0.953449
0.050000,6.532870,14.234080,6.148738,6.936658,-7.541866,4.278647,0.951337
0.050000,6.724887,14.499831,6.476600,6.557253,-7.588094,-0.924566,0.936581
0.050000,6.910604,14.745716,6.784741,6.162811,-7.888834,-6.014801,0.908681
0.050000,7.091515,14.968708,7.071890,5.742971,-8.396806,-10.159440,0.866794
0.050000,7.274004,15.172957,7.345787,5.477949,-5.300452,61.927097,0.816114
0.050000,7.463754,15.364330,7.615284,5.389940,-1.760168,70.805672,0.762467
0.050000,7.660105,15.541590,7.879812,5.290551,-1.987786,-4.552358,0.705509
0.050000,7.862909,15.704194,8.139753,5.198826,-1.834497,3.065787,0.645496
0.050000,8.072073,15.851770,8.395738,5.119703,-1.582453,5.040874,0.582847
0.050000,8.287593,15.984113,8.648648,5.058196,-1.230144,7.046184,0.518150
0.050000,8.509132,16.100948,8.899107,5.009191,-0.980112,5.000637,0.452264
0.050000,8.732238,16.200530,9.143428,4.886417,-2.455471,-29.507191,0.387338
0.050000,8.948609,16.281183,9.374343,4.618284,-5.362652,-58.143620,0.326414
0.050000,9.153418,16.344227,9.588635,4.285849,-6.648706,-25.721062,0.271069
0.050000,9.345433,16.392469,9.786618,3.959658,-6.523825,2.497608,0.221514
0.050000,9.523462,16.428460,9.968249,3.632619,-6.540788,-0.339249,0.177720
0.050000,9.686395,16.454500,10.133249,3.300003,-6.652311,-2.230471,0.139502
0.050000,9.833235,16.472644,10.281206,2.959142,-6.817216,-3.298096,0.106587
0.050000,9.963124,16.484698,10.411653,2.608947,-7.003905,-3.733783,0.078664
0.050000,10.075344,16.492226,10.524125,2.249432,-7.190307,-3.728036,0.055422
0.050000,10.169311,16.496547,10.618191,1.881323,-7.362169,-3.437252,0.036576
0.050000,10.244567,16.498745,10.693480,1.505775,-7.510955,-2.975721,0.021878
0.050000,10.300769,16.499671,10.749689,1.124178,-7.631954,-2.419977,0.011127
0.050000,10.337669,16.499953,10.786591,0.738037,-7.722820,-1.817314,0.004171
0.050000,10.355635,16.499998,10.804556,0.359318,-7.574379,2.968812,0.000813
0.050000,10.360000,16.500000,10.808921,0.087296,-5.440429,42.679015,0.000000
0.050000,10.360000,16.500000,10.808921,0.000000,-1.745924,73.890091,0.000000
