dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.676822,20.500002,0.006136,0.245455,4.909091,98.181818,0.000550
0.050000,1.704741,20.500049,0.034056,0.558384,6.258586,26.989910,0.002799
0.050000,1.767533,20.500383,0.096849,1.255860,13.949532,153.818910,0.007843
0.050000,1.872100,20.501640,0.201424,2.091501,16.712812,55.265597,0.016196
0.050000,2.018294,20.504856,0.347652,2.924575,16.661472,-1.026803,0.027774
0.050000,2.205865,20.511448,0.535339,3.753732,16.583156,-1.566316,0.042445
0.050000,2.434431,20.523176,0.764206,4.577336,16.472070,-2.221722,0.060025
0.050000,2.703438,20.542088,1.033877,5.393425,16.321774,-3.005914,0.080263
0.050000,3.012124,20.570447,1.343863,6.199727,16.126042,-3.914632,0.102834
0.050000,3.359494,20.610631,1.693549,6.993722,15.879902,-4.922804,0.127328
0.050000,3.744307,20.665019,2.082187,7.772758,15.580714,-5.983754,0.153245
0.050000,4.158457,20.734647,2.502149,8.399233,12.529509,-61.024101,0.179591
0.050000,4.587438,20.818260,2.939203,8.741084,6.837029,-113.849613,0.205059
0.050000,5.017409,20.913060,3.379500,8.805942,1.297149,-110.797603,0.228598
0.050000,5.441684,21.016600,3.816227,8.734536,-1.428123,-54.505439,0.249754
0.050000,5.860329,21.127663,4.249353,8.662525,-1.440208,-0.241693,0.268509
0.050000,6.273491,21.245073,4.678874,8.590408,-1.442343,-0.042705,0.284859
0.050000,6.681385,21.367693,5.104800,8.518526,-1.437646,0.093942,0.298813
0.050000,7.084273,21.494438,5.527154,8.447083,-1.428852,0.175876,0.310384
0.050000,7.482451,21.624262,5.945963,8.376170,-1.418264,0.211767,0.319590
0.050000,7.876237,21.756163,6.361252,8.305783,-1.407741,0.210463,0.326450
0.050000,8.265956,21.889175,6.773044,8.235847,-1.398717,0.180477,0.330979
0.050000,8.651934,22.022363,7.181356,8.166236,-1.392229,0.129765,0.333187
0.050000,9.034491,22.154822,7.586195,8.096789,-1.388943,0.065710,0.333079
0.050000,9.413932,22.285665,7.987562,8.027330,-1.389181,-0.004751,0.330657
0.050000,9.790542,22.414025,8.385446,7.957683,-1.392927,-0.074919,0.325914
0.050000,10.164585,22.539049,8.779831,7.887692,-1.399831,-0.138079,0.318837
0.050000,10.536296,22.659895,9.170692,7.817232,-1.409193,-0.187255,0.309413
0.050000,10.905881,22.775731,9.558004,7.746235,-1.419944,-0.215005,0.297622
0.050000,11.273511,22.885735,9.941739,7.674704,-1.430609,-0.213300,0.283447
0.050000,11.639325,22.989097,10.321876,7.602740,-1.439287,-0.173562,0.266875
0.050000,12.003429,23.085022,10.698404,7.530558,-1.443632,-0.086904,0.247897
0.050000,12.365893,23.172734,11.071330,7.458515,-1.440866,0.055324,0.226519
0.050000,12.726757,23.251484,11.440686,7.387123,-1.427834,0.260634,0.202763
0.050000,13.086031,23.320553,11.806539,7.317067,-1.401129,0.534096,0.176672
0.050000,13.443704,23.379266,12.169000,7.249202,-1.357294,0.876699,0.148320
0.050000,13.799747,23.426996,12.528227,7.184546,-1.293119,1.283513,0.117814
0.050000,14.154117,23.463175,12.884439,7.124245,-1.206018,1.742020,0.085299
0.050000,14.506769,23.487296,13.237915,7.069522,-1.094463,2.231095,0.050962
0.050000,14.857656,23.498928,13.588995,7.021602,-0.958403,2.721200,0.015028
0.050000,15.225104,23.498950,13.956443,7.348959,6.547142,150.110897,6.273226
0.050000,15.591892,23.491021,14.323317,7.337477,-0.229651,-135.535851,6.247815
0.050000,15.939438,23.472580,14.671351,6.960678,-7.535973,-146.126439,6.209851
0.050000,16.262538,23.440723,14.996018,6.493335,-9.346858,-36.217706,6.156322
0.050000,16.553455,23.393473,15.290748,5.894599,-11.974731,-52.557472,6.082852
0.050000,16.801869,23.331070,15.546880,5.122644,-15.439084,-69.287049,5.983677
0.050000,16.996945,23.257767,15.755273,4.167867,-19.095557,-73.129458,5.852704
0.050000,17.134162,23.181722,15.912154,3.137607,-20.605201,-30.192888,5.687409
0.050000,17.225076,23.107216,16.029697,2.350865,-15.734830,97.407416,5.495892
0.050000,17.294773,23.021525,16.140153,2.209121,-2.834884,257.998926,5.299649
0.050000,17.360383,22.899081,16.279068,2.778303,11.383642,284.370529,5.122380
0.050000,17.420590,22.723832,16.464370,3.706039,18.554730,143.421751,4.976024
0.050000,17.466907,22.497259,16.695629,4.625181,18.382830,-3.438006,4.860282
0.050000,17.493697,22.229719,16.964507,5.377560,15.047574,-66.705115,4.769595
