dt,x,y,position,velocity,acceleration,jerk,heading
0.01,1.639992,11,0.00005,0.00995,0.995025,99.502488,0
0.01,1.640241,11,0.000299,0.024921,1.497081,50.205571,0.000043
0.01,1.640851,11,0.000909,0.061012,3.609101,211.202086,0.000151
0.01,1.641936,11,0.001994,0.108473,4.7461,113.699871,0.000344
0.01,1.643631,11.000001,0.003689,0.169508,6.103448,135.734765,0.000644
0.01,1.646072,11.000003,0.00613,0.24413,7.462268,135.882044,0.001078
0.01,1.649396,11.000008,0.009454,0.332363,8.82328,136.101224,0.001668
0.01,1.653738,11.000017,0.013796,0.434236,10.187346,136.406532,0.002441
0.01,1.659236,11.000033,0.019294,0.549791,11.55547,136.812375,0.003419
0.01,1.666027,11.00006,0.026085,0.679079,12.928811,137.334149,0.00463
0.01,1.674249,11.000104,0.034307,0.822166,14.308653,137.984242,0.006098
0.01,1.68404,11.000173,0.044098,0.97913,15.696461,138.780755,0.007849
0.01,1.69554,11.000275,0.055599,1.150068,17.093804,139.734272,0.009911
0.01,1.70889,11.000423,0.068949,1.335093,18.502433,140.862965,0.012311
0.01,1.724232,11.000633,0.084293,1.534335,19.924225,142.179173,0.015077
0.01,1.741641,11.000923,0.101704,1.741115,20.677946,75.37205,0.018227
0.01,1.761124,11.001313,0.121191,1.94872,20.760594,8.264874,0.021765
0.01,1.78269,11.001824,0.142764,2.15725,20.852954,9.235922,0.025699
0.01,1.806349,11.002484,0.166432,2.3668,20.954974,10.202002,0.030035
0.01,1.83211,11.003319,0.192206,2.577465,21.06657,11.159599,0.03478
0.01,1.859984,11.004361,0.2201,2.789341,21.187606,12.103637,0.039943
0.01,1.889982,11.005644,0.250125,3.00252,21.317888,13.028194,0.045532
0.01,1.922115,11.007205,0.282296,3.217092,21.457165,13.927668,0.051557
0.01,1.956395,11.009085,0.316627,3.433143,21.605085,14.792092,0.058026
0.01,1.992834,11.011328,0.353135,3.650755,21.761196,15.611075,0.064952
0.01,2.031442,11.013982,0.391835,3.870004,21.924921,16.372471,0.072344
0.01,2.072233,11.0171,0.432744,4.090959,22.095538,17.061688,0.080214
0.01,2.115216,11.020736,0.475881,4.313681,22.272136,17.659843,0.088574
0.01,2.160402,11.02495,0.521263,4.538217,22.453618,18.148156,0.097436
0.01,2.2078,11.029807,0.568909,4.764603,22.638635,18.501686,0.106812
0.01,2.257417,11.035375,0.618838,4.992859,22.825577,18.694194,0.116715
0.01,2.30926,11.041728,0.671068,5.222984,23.012524,18.694723,0.127157
0.01,2.36333,11.048942,0.725617,5.454956,23.197213,18.468948,0.13815
0.01,2.419629,11.057101,0.782505,5.688726,23.376999,17.978593,0.149707
0.01,2.478154,11.066292,0.841747,5.924215,23.548827,17.182771,0.161839
0.01,2.538898,11.076606,0.90336,6.161307,23.709181,16.035409,0.174556
0.01,2.601848,11.088139,0.967358,6.399847,23.854073,14.489216,0.187869
0.01,2.666989,11.100993,1.033755,6.639638,23.979028,12.495508,0.201785
0.01,2.734295,11.115271,1.102559,6.880428,24.079068,10.00396,0.216312
0.01,2.803737,11.131083,1.173778,7.121915,24.148722,6.96545,0.231454
0.01,2.875275,11.148538,1.247416,7.363736,24.182087,3.336508,0.247212
0.01,2.948863,11.167751,1.32347,7.605465,24.172855,-0.923279,0.263588
0.01,3.024443,11.188838,1.401936,7.846609,24.114438,-5.841664,0.280576
0.01,3.101947,11.211912,1.482802,8.08661,24.000084,-11.435373,0.298169
0.01,3.181297,11.23709,1.566051,8.324841,23.823047,-17.703702,0.316355
0.01,3.262401,11.264484,1.651657,8.560609,23.576818,-24.622971,0.335118
0.01,3.345158,11.294204,1.739589,8.793162,23.255345,-32.147225,0.354437
0.01,3.429453,11.326353,1.829806,9.021696,22.853351,-40.199467,0.374284
0.01,3.515158,11.361028,1.922259,9.245362,22.366615,-48.673554,0.394627
0.01,3.602134,11.398318,2.016892,9.463285,21.792302,-57.431293,0.415428
0.01,3.690231,11.4383,2.113638,9.674577,21.129261,-66.304137,0.436643
0.01,3.77929,11.481039,2.212421,9.87836,20.378294,-75.096722,0.458221
0.01,3.869143,11.526588,2.313159,10.073784,19.542365,-83.592907,0.480108
0.01,3.959613,11.574982,2.41576,10.260051,18.626721,-91.564354,0.502241
0.01,4.050522,11.626241,2.520124,10.43644,17.63891,-98.781063,0.524555
0.01,4.141688,11.680368,2.626147,10.602327,16.588666,-105.024386,0.54698
0.01,4.232929,11.737348,2.733719,10.757204,15.487672,-110.099432,0.569442
0.01,4.324069,11.797149,2.842726,10.900696,14.349195,-113.847743,0.591866
0.01,4.414934,11.859721,2.953052,11.032572,13.187608,-116.158625,0.614174
0.01,4.505361,11.925,3.06458,11.15275,12.017844,-116.976479,0.636289
0.01,4.595197,11.992906,3.177193,11.261298,10.854785,-116.305851,0.658132
0.01,4.684302,12.063344,3.290777,11.358425,9.712674,-114.211068,0.679627
0.01,4.772552,12.136211,3.405222,11.44447,8.604547,-110.812723,0.700701
0.01,4.859836,12.211393,3.52042,11.519888,7.541751,-106.279592,0.721283
0.01,4.946061,12.288768,3.636273,11.585223,6.533568,-100.818342,0.741305
0.01,5.031153,12.368209,3.752684,11.641093,5.586957,-94.661071,0.760705
0.01,5.115053,12.449585,3.869565,11.688157,4.706432,-88.052481,0.779423
0.01,5.197675,12.532718,3.986772,11.720681,3.25232,-145.411273,0.797396
0.01,5.278912,12.617381,4.104106,11.733366,1.268508,-198.381188,0.814558
0.01,5.358682,12.703348,4.221381,11.727581,-0.578503,-184.701105,0.830852
0.01,5.436926,12.790398,4.338428,11.704649,-2.293185,-171.468164,0.84623
0.01,5.51361,12.878311,4.455086,11.665821,-3.882804,-158.961901,0.860653
0.01,5.588715,12.966876,4.571209,11.612254,-5.356703,-147.389947,0.874089
0.01,5.66224,13.055886,4.686659,11.544998,-6.725596,-136.889287,0.886512
0.01,5.734198,13.145142,4.801309,11.464989,-8.000922,-127.532572,0.897904
0.01,5.804613,13.234453,4.915039,11.373046,-9.194287,-119.33652,0.908252
0.01,5.873516,13.323634,5.027738,11.269876,-10.317007,-112.271958,0.917548
0.01,5.940946,13.41251,5.139299,11.156078,-11.379742,-106.273499,0.925786
0.01,6.006948,13.50091,5.24962,11.032156,-12.392234,-101.249212,0.932965
0.01,6.071568,13.588672,5.358605,10.898525,-13.363122,-97.088777,0.939088
0.01,6.134855,13.675637,5.466161,10.755526,-14.299823,-93.670138,0.944158
0.01,6.196856,13.761655,5.572195,10.603442,-15.208477,-90.865354,0.948181
0.01,6.257649,13.846623,5.676672,10.447662,-15.577987,-36.951049,0.951166
0.01,6.317336,13.930482,5.779603,10.29316,-15.450175,12.781244,0.95312
0.01,6.376013,14.013174,5.880998,10.139503,-15.36566,8.451504,0.95405
0.01,6.433769,14.094641,5.980861,9.986251,-15.325256,4.040373,0.953959
0.01,6.490686,14.174823,6.07919,9.832957,-15.32934,-0.408431,0.952845
0.01,6.546841,14.25366,6.175982,9.679179,-15.377877,-4.853663,0.950706
0.01,6.602304,14.33109,6.271227,9.524475,-15.470415,-9.253844,0.947536
0.01,6.65714,14.407049,6.364911,9.368414,-15.60606,-13.564501,0.943326
0.01,6.711404,14.481473,6.457017,9.21058,-15.783414,-17.735418,0.938063
0.01,6.765148,14.554293,6.547523,9.050575,-16.000493,-21.707839,0.931733
0.01,6.818417,14.625442,6.636403,8.888029,-16.254607,-25.411413,0.92432
0.01,6.871248,14.694848,6.723629,8.722607,-16.542221,-28.761425,0.915805
0.01,6.923674,14.76244,6.809169,8.554019,-16.858778,-31.65573,0.906165
0.01,6.975719,14.828145,6.892989,8.382034,-17.198498,-33.971929,0.895379
0.01,7.027403,14.89189,6.975054,8.206492,-17.55415,-35.56523,0.883422
0.01,7.078736,14.953605,7.055328,8.027324,-17.916813,-36.266305,0.870272
0.01,7.129725,15.013219,7.133773,7.844568,-18.275627,-35.881365,0.855903
0.01,7.181657,15.07219,7.212351,7.857795,1.322695,1959.832179,0.841657
0.01,7.234218,15.130177,7.290615,7.826334,-3.146085,-446.878009,0.827166
0.01,7.287335,15.187081,7.368457,7.784254,-4.207965,-106.188016,0.812395
0.01,7.341003,15.242884,7.44588,7.742299,-4.195545,1.242053,0.797344
0.01,7.395219,15.29757,7.522886,7.700588,-4.171122,2.442235,0.782015
0.01,7.449979,15.351122,7.599478,7.659249,-4.133833,3.728926,0.766411
0.01,7.505279,15.403524,7.675663,7.618421,-4.082843,5.099051,0.750534
0.01,7.561114,15.454762,7.751445,7.578247,-4.017366,6.547633,0.73439
0.01,7.617482,15.504824,7.826834,7.53888,-3.936684,8.068249,0.717983
0.01,7.674354,15.553675,7.901806,7.49723,-4.165063,-22.837876,0.701327
0.01,7.731672,15.601263,7.976304,7.449819,-4.741095,-57.603281,0.684446
0.01,7.789373,15.647537,8.050269,7.396474,-5.334448,-59.335226,0.667368
0.01,7.847394,15.692453,8.123644,7.337487,-5.898717,-56.426922,0.650119
0.01,7.905669,15.735973,8.196375,7.273129,-6.435804,-53.708738,0.632732
0.01,7.964129,15.778063,8.268412,7.203648,-6.94811,-51.230614,0.615238
0.01,8.022708,15.818698,8.339704,7.129263,-7.438508,-49.039726,0.597671
0.01,8.081334,15.857857,8.410206,7.05016,-7.910295,-47.178728,0.580065
0.01,8.139937,15.895525,8.479871,6.966489,-8.367138,-45.684305,0.562457
0.01,8.198444,15.931694,8.548655,6.878359,-8.812992,-44.585451,0.544884
0.01,8.256781,15.966357,8.616513,6.785839,-9.252016,-43.902368,0.527381
0.01,8.314872,15.999518,8.683402,6.688954,-9.688471,-43.64553,0.509987
0.01,8.372641,16.03118,8.749279,6.587688,-10.126624,-43.815212,0.492739
0.01,8.430009,16.061354,8.814099,6.481981,-10.570638,-44.401401,0.475673
0.01,8.486897,16.090055,8.877816,6.371736,-11.024479,-45.384189,0.458826
0.01,8.54325,16.117313,8.940416,6.259924,-11.181251,-15.677197,0.442223
0.01,8.599046,16.143177,9.001915,6.149928,-10.999607,18.164429,0.425883
0.01,8.654268,16.167695,9.062335,6.042008,-10.791954,20.765279,0.409818
0.01,8.708897,16.190916,9.121695,5.935969,-10.603897,18.80575,0.394041
0.01,8.762916,16.212888,9.180011,5.831614,-10.435502,16.839458,0.378564
0.01,8.816306,16.233656,9.237298,5.728748,-10.286621,14.888135,0.363395
0.01,8.86905,16.253266,9.29357,5.627179,-10.156907,12.971426,0.348545
0.01,8.92113,16.271764,9.348837,5.526721,-10.04584,11.106638,0.33402
0.01,8.972528,16.289192,9.403109,5.427193,-9.952753,9.308688,0.319826
0.01,9.023225,16.305593,9.456394,5.328425,-9.876853,7.590011,0.305969
0.01,9.073204,16.32101,9.508696,5.230252,-9.817247,5.960591,0.292453
0.01,9.122446,16.335483,9.560021,5.132522,-9.772966,4.428132,0.27928
0.01,9.170934,16.349052,9.610372,5.035093,-9.742985,2.998079,0.266452
0.01,9.21865,16.361755,9.659751,4.93783,-9.726246,1.673927,0.253971
0.01,9.265577,16.373633,9.708157,4.840613,-9.721673,0.457297,0.241837
0.01,9.311696,16.38472,9.75559,4.743332,-9.72819,-0.651671,0.230049
0.01,9.356991,16.395055,9.802049,4.645884,-9.744733,-1.654364,0.218607
0.01,9.401444,16.404671,9.847531,4.548182,-9.770265,-2.553186,0.207508
0.01,9.44504,16.413605,9.892032,4.450144,-9.80378,-3.351507,0.196751
0.01,9.487761,16.421889,9.935549,4.351701,-9.844316,-4.053553,0.186333
0.01,9.529592,16.429556,9.978077,4.252791,-9.890955,-4.663907,0.17625
0.01,9.570517,16.436639,10.019611,4.153363,-9.942833,-5.18781,0.166499
0.01,9.610522,16.443168,10.060144,4.053371,-9.999138,-5.630502,0.157077
0.01,9.649591,16.449174,10.099672,3.95278,-10.059114,-5.9976,0.147979
