dt,x,y,position,velocity,acceleration,jerk,heading
0.01,1.640002,14,0.00005,0.01,1,100,0
0.01,1.640132,14,0.00018,0.012978,0.297799,-70.220147,0.00004
0.01,1.640442,14,0.00049,0.030985,1.800686,150.288718,0.000133
0.01,1.640993,14,0.00104,0.055081,2.409604,60.891862,0.000299
0.01,1.641853,14.000001,0.001901,0.086055,3.097459,68.785488,0.000559
0.01,1.643092,14.000001,0.00314,0.123902,3.78464,68.718118,0.000933
0.01,1.644779,14.000003,0.004826,0.16861,4.470823,68.61822,0.001442
0.01,1.64698,14.000007,0.007028,0.220166,5.155616,68.479377,0.002108
0.01,1.649766,14.000014,0.009813,0.278552,5.838569,68.295308,0.002951
0.01,1.653203,14.000026,0.013251,0.343744,6.519172,68.060253,0.003993
0.01,1.657326,14.000045,0.017374,0.412278,6.853389,33.421714,0.005244
0.01,1.662133,14.000074,0.02218,0.480695,6.841751,-1.163793,0.006706
0.01,1.667622,14.000115,0.02767,0.548978,6.828243,-1.350833,0.00838
0.01,1.673793,14.000173,0.033841,0.617106,6.812897,-1.534575,0.010266
0.01,1.680643,14.000251,0.040692,0.685064,6.795754,-1.714297,0.012365
0.01,1.688171,14.000352,0.04822,0.752833,6.77686,-1.889397,0.01468
0.01,1.696374,14.000483,0.056424,0.820395,6.756268,-2.059207,0.01721
0.01,1.70525,14.000648,0.065302,0.887736,6.73404,-2.222857,0.019959
0.01,1.714796,14.000853,0.07485,0.954838,6.710244,-2.379577,0.022926
0.01,1.72501,14.001103,0.085067,1.021688,6.684961,-2.528311,0.026115
0.01,1.735888,14.001406,0.09595,1.088271,6.658277,-2.668346,0.029527
0.01,1.747428,14.001768,0.107495,1.154573,6.630296,-2.798093,0.033163
0.01,1.759627,14.002196,0.119701,1.220585,6.601127,-2.916887,0.037026
0.01,1.77248,14.002699,0.132564,1.286294,6.570898,-3.022927,0.041117
0.01,1.785984,14.003283,0.146081,1.351691,6.539746,-3.115178,0.045439
0.01,1.800136,14.003959,0.160249,1.416769,6.507828,-3.191876,0.049994
0.01,1.81493,14.004735,0.175064,1.481523,6.475313,-3.25143,0.054784
0.01,1.830365,14.00562,0.190523,1.545947,6.442393,-3.292052,0.059811
0.01,1.846434,14.006625,0.206624,1.610039,6.409274,-3.311883,0.065077
0.01,1.863133,14.007759,0.223362,1.673801,6.376187,-3.308723,0.070585
0.01,1.880459,14.009034,0.240734,1.737235,6.34338,-3.280689,0.076337
0.01,1.898405,14.010461,0.258738,1.800346,6.311128,-3.225201,0.082335
0.01,1.916969,14.012051,0.277369,1.863143,6.279727,-3.140034,0.08858
0.01,1.936144,14.013817,0.296625,1.925639,6.249501,-3.022617,0.095076
0.01,1.955926,14.015771,0.316504,1.987846,6.220797,-2.870387,0.101824
0.01,1.976311,14.017926,0.337002,2.049786,6.193992,-2.680563,0.108825
0.01,1.997292,14.020295,0.358117,2.111481,6.169486,-2.450606,0.116082
0.01,2.018866,14.022893,0.379846,2.172958,6.14771,-2.177538,0.123595
0.01,2.041027,14.025733,0.402189,2.23425,6.129123,-1.858716,0.131367
0.01,2.063771,14.028831,0.425143,2.295392,6.114209,-1.4914,0.139398
0.01,2.087093,14.032202,0.448707,2.356426,6.103479,-1.073051,0.147688
0.01,2.110988,14.035861,0.472881,2.417401,6.097468,-0.601013,0.156239
0.01,2.135453,14.039825,0.497664,2.478369,6.096737,-0.073122,0.16505
0.01,2.160483,14.044111,0.523058,2.539387,6.101863,0.512591,0.17412
0.01,2.186073,14.048736,0.549064,2.600522,6.113442,1.15792,0.18345
0.01,2.212221,14.053717,0.575682,2.661842,6.132083,1.864091,0.193038
0.01,2.238924,14.059073,0.602916,2.723426,6.158401,2.631784,0.202881
0.01,2.266177,14.064823,0.63077,2.785357,6.193014,3.461325,0.212979
0.01,2.29398,14.070986,0.659247,2.847722,6.236535,4.352091,0.223327
0.01,2.322329,14.077582,0.688353,2.910618,6.289564,5.302842,0.233923
0.01,2.351222,14.084633,0.718095,2.974144,6.35268,6.311635,0.244762
0.01,2.380659,14.092159,0.748479,3.038409,6.426432,7.37523,0.255839
0.01,2.41064,14.100182,0.779514,3.103522,6.511331,8.489819,0.267149
0.01,2.441163,14.108726,0.81121,3.1696,6.607833,9.650256,0.278685
0.01,2.472228,14.117813,0.843578,3.236764,6.716338,10.850477,0.29044
0.01,2.503838,14.127467,0.876629,3.305135,6.83717,12.083192,0.302405
0.01,2.535994,14.137714,0.910377,3.374841,6.970572,13.340218,0.314573
0.01,2.568696,14.148579,0.944837,3.446008,7.116694,14.612198,0.326933
0.01,2.601948,14.160088,0.980025,3.518764,7.275581,15.888695,0.339474
0.01,2.635753,14.172269,1.015957,3.593236,7.447168,17.158757,0.352186
0.01,2.670083,14.185137,1.05262,3.666267,7.303104,-14.406451,0.365044
0.01,2.704882,14.198695,1.089967,3.734638,6.83715,-46.595425,0.378013
0.01,2.740091,14.212944,1.12795,3.798353,6.371537,-46.561243,0.391057
0.01,2.775656,14.227881,1.166524,3.857383,5.902928,-46.860976,0.404141
0.01,2.811519,14.243498,1.20564,3.911662,5.427918,-47.50095,0.41723
0.01,2.847626,14.259786,1.245251,3.961093,4.943121,-48.479702,0.430289
0.01,2.883921,14.276732,1.285307,4.005546,4.445244,-49.787656,0.443285
0.01,2.920347,14.294317,1.325755,4.044857,3.931166,-51.407872,0.456186
