dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.639998,11.000000,0.000050,0.010000,1.000000,100.000000,6.283184
0.010000,1.640252,11.000000,0.000304,0.025435,1.543505,54.350509,0.000040
0.010000,1.640842,11.000000,0.000895,0.059015,3.358010,181.450503,0.000133
0.010000,1.641891,11.000000,0.001944,0.104919,4.590396,123.238618,0.000299
0.010000,1.643531,11.000001,0.003583,0.163945,5.902541,131.214499,0.000559
0.010000,1.645892,11.000003,0.005944,0.236098,7.215359,131.281757,0.000933
0.010000,1.649106,11.000007,0.009158,0.321390,8.529177,131.381771,0.001442
0.010000,1.653304,11.000014,0.013356,0.419834,9.844384,131.520709,0.002108
0.010000,1.658618,11.000027,0.018671,0.531448,11.161429,131.704560,0.002951
0.010000,1.665181,11.000050,0.025233,0.656256,12.480826,131.939697,0.003993
0.010000,1.673058,11.000087,0.033111,0.787722,13.146607,66.578110,0.005244
0.010000,1.682251,11.000142,0.042304,0.919305,13.158244,1.163657,0.006706
0.010000,1.692761,11.000221,0.052814,1.051022,13.171751,1.350740,0.008380
0.010000,1.704589,11.000331,0.064643,1.182893,13.187095,1.534346,0.010266
0.010000,1.717738,11.000480,0.077792,1.314936,13.204236,1.714089,0.012365
0.010000,1.732208,11.000676,0.092264,1.447167,13.223128,1.889211,0.014680
0.010000,1.748002,11.000927,0.108060,1.579604,13.243717,2.058910,0.017210
0.010000,1.765122,11.001246,0.125183,1.712263,13.265943,2.222580,0.019959
0.010000,1.783569,11.001641,0.143634,1.845161,13.289735,2.379216,0.022926
0.010000,1.803346,11.002126,0.163417,1.978311,13.315016,2.528139,0.026115
0.010000,1.824455,11.002714,0.184535,2.111728,13.341694,2.667751,0.029527
0.010000,1.846899,11.003417,0.206989,2.245425,13.369673,2.797881,0.033163
0.010000,1.870678,11.004252,0.230783,2.379413,13.398835,2.916278,0.037026
0.010000,1.895796,11.005234,0.255920,2.513704,13.429061,3.022585,0.041117
0.010000,1.922254,11.006380,0.282403,2.648306,13.460207,3.114629,0.045439
0.010000,1.950055,11.007707,0.310235,2.783227,13.492121,3.191314,0.049994
0.010000,1.979200,11.009236,0.339420,2.918473,13.524629,3.250850,0.054784
0.010000,2.009690,11.010984,0.369960,3.054049,13.557544,3.291463,0.059811
0.010000,2.041527,11.012975,0.401860,3.189955,13.590655,3.311141,0.065077
0.010000,2.074713,11.015229,0.435122,3.326193,13.623737,3.308175,0.070585
0.010000,2.109247,11.017771,0.469750,3.462758,13.656535,3.279838,0.076337
0.010000,2.145130,11.020624,0.505746,3.599646,13.688780,3.224433,0.082335
0.010000,2.182362,11.023813,0.543114,3.736847,13.720172,3.139204,0.088580
0.010000,2.220943,11.027366,0.581858,3.874351,13.750389,3.021765,0.095076
0.010000,2.260870,11.031309,0.621979,4.012142,13.779084,2.869432,0.101824
0.010000,2.302142,11.035672,0.663481,4.150201,13.805881,2.679729,0.108825
0.010000,2.344756,11.040485,0.706366,4.288505,13.830376,2.449529,0.116082
0.010000,2.388709,11.045777,0.750637,4.427026,13.852141,2.176506,0.123595
0.010000,2.433996,11.051582,0.796294,4.565733,13.870718,1.857675,0.131367
0.010000,2.480611,11.057931,0.843340,4.704590,13.885622,1.490378,0.139398
0.010000,2.528548,11.064860,0.891775,4.843553,13.896340,1.071822,0.147688
0.010000,2.577800,11.072403,0.941601,4.982576,13.902339,0.599883,0.156239
0.010000,2.628357,11.080595,0.992817,5.121607,13.903059,0.072040,0.165050
0.010000,2.680208,11.089473,1.045423,5.260586,13.897921,-0.513817,0.174120
0.010000,2.733342,11.099075,1.099418,5.399449,13.886330,-1.159122,0.183450
0.010000,2.787745,11.109439,1.154799,5.538126,13.867678,-1.865208,0.193038
0.010000,2.843401,11.120603,1.211564,5.676540,13.841348,-2.633009,0.202881
0.010000,2.900295,11.132606,1.269710,5.814607,13.806724,-3.462398,0.212979
0.010000,2.958407,11.145488,1.329233,5.952239,13.763192,-4.353152,0.223327
0.010000,3.017716,11.159289,1.390126,6.089340,13.710152,-5.303996,0.233923
0.010000,3.078199,11.174048,1.452384,6.225811,13.647027,-6.312525,0.244762
0.010000,3.139832,11.189805,1.516000,6.361543,13.573265,-7.376198,0.255839
0.010000,3.202588,11.206600,1.580964,6.496427,13.488359,-8.490616,0.267149
0.010000,3.266437,11.224472,1.647267,6.630345,13.391849,-9.650960,0.278685
0.010000,3.331349,11.243459,1.714899,6.763179,13.283339,-10.850998,0.290440
0.010000,3.397290,11.263599,1.783847,6.894804,13.162502,-12.083692,0.302405
0.010000,3.464225,11.284928,1.854098,7.025095,13.029097,-13.340522,0.314573
0.010000,3.532115,11.307483,1.925637,7.153924,12.882975,-14.612208,0.326933
0.010000,3.600922,11.331298,1.998449,7.281165,12.724088,-15.888717,0.339474
0.010000,3.670604,11.356406,2.072516,7.406690,12.552504,-17.158425,0.352186
0.010000,3.741054,11.382812,2.147753,7.523656,11.696594,-85.591001,0.365044
0.010000,3.812104,11.410495,2.224005,7.625282,10.162597,-153.399619,0.378013
0.010000,3.883588,11.439424,2.301121,7.711565,8.628264,-153.433335,0.391057
0.010000,3.955342,11.469559,2.378946,7.782534,7.096930,-153.133439,0.404141
0.010000,4.027207,11.500853,2.457329,7.838254,5.571997,-152.493221,0.417230
0.010000,4.099026,11.533250,2.536117,7.878823,4.056853,-151.514472,0.430289
0.010000,4.170649,11.566689,2.615161,7.904371,2.554787,-150.206527,0.443285
0.010000,4.241928,11.601099,2.694311,7.915060,1.068922,-148.586530,0.456186
0.010000,4.312725,11.636403,2.773422,7.911081,-0.397860,-146.678195,0.468960
0.010000,4.382903,11.672518,2.852349,7.892652,-1.842973,-144.511339,0.481578
0.010000,4.452393,11.709388,2.931014,7.866554,-2.609755,-76.678134,0.494022
0.010000,4.521185,11.746984,3.009409,7.839476,-2.707801,-9.804604,0.506285
0.010000,4.589270,11.785277,3.087524,7.811497,-2.797885,-9.008479,0.518362
0.010000,4.656642,11.824239,3.165351,7.782697,-2.880032,-8.214631,0.530247
0.010000,4.723297,11.863842,3.242883,7.753154,-2.954316,-7.428469,0.541935
0.010000,4.789230,11.904056,3.320112,7.722945,-3.020866,-6.654944,0.553422
0.010000,4.854440,11.944856,3.397033,7.692146,-3.079851,-5.898497,0.564703
0.010000,4.918926,11.986212,3.473642,7.660832,-3.131482,-5.163097,0.575776
0.010000,4.982689,12.028099,3.549933,7.629072,-3.176003,-4.452145,0.586636
0.010000,5.045731,12.070490,3.625902,7.596935,-3.213689,-3.768576,0.597283
0.010000,5.108056,12.113359,3.701547,7.564486,-3.244837,-3.114792,0.607713
0.010000,5.169668,12.156681,3.776865,7.531789,-3.269764,-2.492693,0.617925
0.010000,5.230572,12.200432,3.851854,7.498901,-3.288802,-1.903783,0.627918
0.010000,5.290774,12.244586,3.926512,7.465878,-3.302293,-1.349105,0.637691
0.010000,5.350281,12.289122,4.000840,7.432772,-3.310585,-0.829234,0.647243
0.010000,5.409102,12.334017,4.074836,7.399632,-3.314030,-0.344545,0.656574
0.010000,5.467246,12.379249,4.148501,7.366502,-3.312980,0.105045,0.665684
0.010000,5.524720,12.424797,4.221836,7.333424,-3.307781,0.519865,0.674574
0.010000,5.581536,12.470640,4.294840,7.300436,-3.298776,0.900491,0.683243
0.010000,5.637703,12.516760,4.367516,7.267573,-3.286300,1.247637,0.691694
0.010000,5.693232,12.563137,4.439864,7.234866,-3.270677,1.562357,0.699927
0.010000,5.748135,12.609753,4.511888,7.202344,-3.252220,1.845671,0.707942
0.010000,5.802423,12.656590,4.583588,7.170032,-3.231231,2.098878,0.715743
0.010000,5.856107,12.703633,4.654968,7.137952,-3.207999,2.323216,0.723329
0.010000,5.909201,12.750864,4.726029,7.106124,-3.182798,2.520130,0.730703
0.010000,5.961715,12.798268,4.796775,7.074565,-3.155888,2.690958,0.737867
0.010000,6.013663,12.845831,4.867208,7.043290,-3.127516,2.837208,0.744823
