dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.643936,14.000003,0.006250,0.250000,5.000000,100.000000,0.001495
0.050000,1.659804,14.000075,0.022119,0.317374,1.347472,-73.050555,0.007583
0.050000,1.691266,14.000507,0.053584,0.629300,6.238523,97.821017,0.019939
0.050000,1.737762,14.001872,0.100099,0.930313,6.020268,-4.365106,0.038928
0.050000,1.798432,14.005023,0.160851,1.215033,5.694407,-6.517224,0.065093
0.050000,1.872112,14.011071,0.234779,1.478556,5.270452,-8.479087,0.099138
0.050000,1.957361,14.021370,0.320648,1.717386,4.776601,-9.877033,0.141888
0.050000,2.052571,14.037484,0.417212,1.931268,4.277645,-9.979119,0.194172
0.050000,2.156203,14.061202,0.523523,2.126234,3.899307,-7.566744,0.256619
0.050000,2.267208,14.094649,0.639458,2.318690,3.849124,-1.003664,0.329312
0.050000,2.385552,14.140588,0.766405,2.538954,4.405284,11.123195,0.411323
0.050000,2.512596,14.202942,0.907926,2.830418,5.829287,28.480056,0.500278
0.050000,2.650928,14.287250,1.069925,3.239975,8.191124,47.236737,0.592241
0.050000,2.803478,14.400561,1.259954,3.800588,11.212269,60.422897,0.682179
0.050000,2.969370,14.547477,1.481549,4.431887,12.625973,28.274092,0.763575
0.050000,3.143075,14.725993,1.730630,4.981632,10.994912,-32.621213,0.830823
0.050000,3.321151,14.932128,2.003032,5.448032,9.328002,-33.338214,0.882535
0.050000,3.503576,15.163180,2.297419,5.887746,8.794280,-10.674431,0.919599
0.050000,3.691201,15.416090,2.612326,6.298138,8.207839,-11.728824,0.942989
0.050000,3.885846,15.687890,2.946635,6.686183,7.760901,-8.938756,0.953449
0.050000,4.090292,15.975864,3.299802,7.063338,7.543089,-4.356235,0.951337
0.050000,4.308276,16.277467,3.671933,7.442618,7.585608,0.850373,0.936581
0.050000,4.544523,16.590075,4.063770,7.836733,7.882299,5.933809,0.908681
0.050000,4.804741,16.910528,4.476570,8.256005,8.385425,10.062530,0.866794
0.050000,5.088536,17.228129,4.902493,8.518455,5.249019,-62.728121,0.816114
0.050000,5.391631,17.533733,5.332912,8.608381,1.798507,-69.010233,0.762467
0.050000,5.714841,17.825435,5.768290,8.707556,1.983511,3.700074,0.705509
0.050000,6.058125,18.100599,6.208243,8.799073,1.830324,-3.063748,0.645496
0.050000,6.420863,18.356467,6.652144,8.878006,1.578678,-5.032922,0.582847
0.050000,6.801772,18.590324,7.099112,8.939361,1.227096,-7.031624,0.518150
0.050000,7.198123,18.799329,7.547194,8.961646,0.445686,-15.628215,0.452264
0.050000,7.599063,18.978283,7.986258,8.781275,-3.607417,-81.062060,0.387338
0.050000,7.986664,19.122778,8.399917,8.273179,-10.161913,-131.089909,0.326414
0.050000,8.350132,19.234683,8.780221,7.606091,-13.341766,-63.597064,0.271069
0.050000,8.686313,19.319167,9.126856,6.932685,-13.468106,-2.526804,0.221514
0.050000,8.993105,19.381208,9.439858,6.260049,-13.452730,0.307533,0.177720
0.050000,9.269244,19.425356,9.719504,5.592914,-13.342700,2.200592,0.139502
0.050000,9.514079,19.455619,9.966202,4.933960,-13.179085,3.272294,0.106587
0.050000,9.727376,19.475421,10.180416,4.284287,-12.993447,3.712762,0.078664
0.050000,9.909162,19.487619,10.362611,3.643894,-12.807867,3.711608,0.055422
0.050000,10.059606,19.494540,10.513214,3.012063,-12.636626,3.424818,0.036576
0.050000,10.178937,19.498027,10.632596,2.387648,-12.488297,2.966578,0.021878
0.050000,10.267389,19.499486,10.721060,1.769267,-12.367624,2.413471,0.011127
0.050000,10.325158,19.499927,10.778831,1.155418,-12.276978,1.812918,0.004171
0.050000,10.353197,19.499997,10.806869,0.560776,-11.892844,7.682678,0.000813
0.050000,10.360000,19.500000,10.813673,0.136068,-8.494145,67.973984,0.000000
0.050000,10.360000,19.500000,10.813673,0.000000,-2.721367,115.455558,0.000000
