dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.639992,11.000000,0.000050,0.010000,1.000000,100.000000,6.283180
0.010000,1.640243,11.000000,0.000301,0.025082,1.508151,50.815102,0.000043
0.010000,1.640856,11.000000,0.000914,0.061317,3.623563,211.541229,0.000152
0.010000,1.641946,11.000000,0.002004,0.109015,4.769835,114.627194,0.000345
0.010000,1.643650,11.000001,0.003708,0.170355,6.133979,136.414408,0.000648
0.010000,1.646103,11.000003,0.006161,0.245351,7.499607,136.562747,0.001083
0.010000,1.649444,11.000008,0.009501,0.334026,8.867451,136.784416,0.001677
0.010000,1.653808,11.000017,0.013866,0.436410,10.238379,137.092833,0.002453
0.010000,1.659333,11.000033,0.019391,0.552544,11.613405,137.502609,0.003437
0.010000,1.666158,11.000061,0.026216,0.682481,12.993701,138.029563,0.004653
0.010000,1.674352,11.000105,0.034410,0.819455,13.697469,70.376828,0.006116
0.010000,1.683919,11.000172,0.043977,0.956691,13.723599,2.612976,0.007827
0.010000,1.694861,11.000268,0.054920,1.094232,13.754101,3.050213,0.009789
0.010000,1.707181,11.000402,0.067241,1.232122,13.788983,3.488138,0.012003
0.010000,1.720884,11.000584,0.080945,1.370405,13.828248,3.926498,0.014472
0.010000,1.735974,11.000823,0.096036,1.509124,13.871893,4.364539,0.017200
0.010000,1.752454,11.001131,0.112519,1.648323,13.919911,4.801839,0.020189
0.010000,1.770330,11.001521,0.130400,1.788046,13.972296,5.238483,0.023442
0.010000,1.789607,11.002007,0.149683,1.928336,14.029024,5.672803,0.026965
0.010000,1.810291,11.002604,0.170376,2.069237,14.090066,6.104198,0.030760
0.010000,1.832387,11.003329,0.192483,2.210790,14.155375,6.530888,0.034832
0.010000,1.855901,11.004199,0.216014,2.353039,14.224893,6.951760,0.039185
0.010000,1.880840,11.005235,0.240974,2.496025,14.298540,7.364747,0.043825
0.010000,1.907210,11.006456,0.267372,2.639787,14.376217,7.767669,0.048757
0.010000,1.935017,11.007886,0.295216,2.784365,14.457786,8.156902,0.053986
0.010000,1.964267,11.009548,0.324514,2.929796,14.543096,8.530994,0.059518
0.010000,1.994969,11.011467,0.355275,3.076115,14.631940,8.884463,0.065359
0.010000,2.027127,11.013671,0.387508,3.223356,14.724087,9.214682,0.071515
0.010000,2.060748,11.016189,0.421224,3.371548,14.819237,9.515017,0.077992
0.010000,2.095839,11.019052,0.456431,3.520719,14.917052,9.781487,0.084797
0.010000,2.132404,11.022291,0.493140,3.670890,15.017126,10.007417,0.091936
0.010000,2.170450,11.025942,0.531361,3.822080,15.118974,10.184806,0.099417
0.010000,2.209981,11.030041,0.571104,3.974300,15.222043,10.306826,0.107245
0.010000,2.251001,11.034627,0.612379,4.127557,15.325687,10.364443,0.115429
0.010000,2.293514,11.039740,0.655198,4.281849,15.429161,10.347399,0.123975
0.010000,2.337520,11.045423,0.699569,4.437165,15.531622,10.246080,0.132889
0.010000,2.383021,11.051721,0.745504,4.593486,15.632094,10.047252,0.142180
0.010000,2.430016,11.058680,0.793012,4.750781,15.729495,9.740096,0.151852
0.010000,2.478504,11.066349,0.842102,4.909007,15.822603,9.310723,0.161912
0.010000,2.528478,11.074780,0.892783,5.068107,15.910044,8.744179,0.172366
0.010000,2.579934,11.084026,0.945063,5.228011,15.990314,8.026978,0.183219
0.010000,2.632863,11.094142,0.998950,5.388628,16.061750,7.143540,0.194477
0.010000,2.687252,11.105184,1.054448,5.549853,16.122532,6.078266,0.206143
0.010000,2.743086,11.117212,1.111564,5.711560,16.170701,4.816918,0.218220
0.010000,2.800349,11.130285,1.170300,5.873602,16.204149,3.344712,0.230711
0.010000,2.858946,11.144448,1.230584,6.028438,15.483667,-72.048140,0.243601
0.010000,2.918709,11.159723,1.292268,6.168421,13.998279,-148.538787,0.256858
0.010000,2.979467,11.176123,1.355200,6.293212,12.479084,-151.919520,0.270446
0.010000,3.041044,11.193655,1.419225,6.402479,10.926691,-155.239306,0.284330
0.010000,3.103265,11.212317,1.484184,6.495904,9.342500,-158.419119,0.298469
0.010000,3.165950,11.232097,1.549916,6.573191,7.728716,-161.378389,0.312824
0.010000,3.228922,11.252971,1.616257,6.634075,6.088330,-164.038551,0.327352
0.010000,3.292000,11.274906,1.683040,6.678325,4.425085,-166.324591,0.342008
0.010000,3.355006,11.297861,1.750098,6.705759,2.743388,-168.169623,0.356747
0.010000,3.417765,11.321780,1.817260,6.716241,1.048222,-169.516638,0.371522
0.010000,3.480172,11.346628,1.884432,6.717155,0.091315,-95.690661,0.386303
0.010000,3.542193,11.372390,1.951591,6.715926,-0.122895,-21.421078,0.401077
0.010000,3.603797,11.399052,2.018716,6.712536,-0.338984,-21.608879,0.415827
0.010000,3.664950,11.426595,2.085786,6.706977,-0.555839,-21.685466,0.430541
0.010000,3.725622,11.455001,2.152779,6.699254,-0.772342,-21.650327,0.445203
0.010000,3.785783,11.484248,2.219672,6.689380,-0.987379,-21.503649,0.459799
0.010000,3.845405,11.514314,2.286446,6.677382,-1.199854,-21.247513,0.474315
0.010000,3.904461,11.545174,2.353079,6.663295,-1.408711,-20.885716,0.488738
0.010000,3.962925,11.576803,2.419551,6.647165,-1.612935,-20.422391,0.503053
0.010000,4.020775,11.609174,2.485841,6.629049,-1.811579,-19.864436,0.517247
0.010000,4.077988,11.642258,2.551931,6.609012,-2.003763,-19.218409,0.531307
0.010000,4.134545,11.676027,2.617803,6.587125,-2.188690,-18.492664,0.545222
0.010000,4.190428,11.710452,2.683437,6.563468,-2.365653,-17.696310,0.558978
0.010000,4.245620,11.745501,2.748819,6.538128,-2.534037,-16.838406,0.572566
0.010000,4.300110,11.781145,2.813931,6.511195,-2.693328,-15.929134,0.585975
0.010000,4.353884,11.817352,2.878758,6.482764,-2.843111,-14.978280,0.599193
0.010000,4.406933,11.854092,2.943288,6.452933,-2.983071,-13.995955,0.612213
0.010000,4.459250,11.891333,3.007506,6.421803,-3.112990,-12.991955,0.625025
0.010000,4.510828,11.929045,3.071400,6.389475,-3.232748,-11.975724,0.637622
0.010000,4.561664,11.967198,3.134961,6.356052,-3.342311,-10.956323,0.649996
0.010000,4.611756,12.005761,3.198177,6.321635,-3.441732,-9.942156,0.662141
0.010000,4.661104,12.044705,3.261040,6.286324,-3.531142,-8.940997,0.674050
0.010000,4.709708,12.084001,3.323543,6.250216,-3.610741,-7.959853,0.685718
0.010000,4.757571,12.123621,3.385677,6.213408,-3.680791,-7.004980,0.697141
0.010000,4.804698,12.163537,3.447437,6.175992,-3.741609,-6.081807,0.708315
0.010000,4.851095,12.203723,3.508817,6.138057,-3.793558,-5.194955,0.719235
0.010000,4.896768,12.244153,3.569814,6.099686,-3.837041,-4.348287,0.729900
0.010000,4.941725,12.284803,3.630424,6.060961,-3.872489,-3.544831,0.740306
0.010000,4.985976,12.325647,3.690643,6.021958,-3.900359,-2.786966,0.750453
0.010000,5.029529,12.366664,3.750471,5.982747,-3.921122,-2.076324,0.760338
0.010000,5.072397,12.407832,3.809905,5.943394,-3.935262,-1.413915,0.769961
0.010000,5.114590,12.449128,3.868944,5.903961,-3.943264,-0.800295,0.779321
