dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,1.640008,14.000000,0.000050,0.010000,1.000000,100.000000,6.283180
0.010000,1.640114,14.000000,0.000156,0.010579,0.057925,-94.207513,0.000043
0.010000,1.640400,14.000000,0.000443,0.028683,1.810360,175.243524,0.000152
0.010000,1.640910,14.000000,0.000952,0.050984,2.230164,41.980421,0.000345
0.010000,1.641707,14.000001,0.001749,0.079645,2.866023,63.585899,0.000648
0.010000,1.642853,14.000002,0.002895,0.114649,3.500392,63.436826,0.001083
0.010000,1.644413,14.000004,0.004455,0.155974,4.132548,63.215647,0.001677
0.010000,1.646449,14.000008,0.006491,0.203590,4.761621,62.907249,0.002453
0.010000,1.649023,14.000015,0.009066,0.257456,5.386591,62.497001,0.003437
0.010000,1.652199,14.000028,0.012241,0.317519,6.006298,61.970752,0.004653
0.010000,1.656004,14.000049,0.016046,0.380544,6.302527,29.622859,0.006116
0.010000,1.660437,14.000080,0.020479,0.443308,6.276396,-2.613104,0.007827
0.010000,1.665494,14.000124,0.025537,0.505767,6.245890,-3.050593,0.009789
0.010000,1.671173,14.000186,0.031216,0.567877,6.211005,-3.488487,0.012003
0.010000,1.677468,14.000269,0.037512,0.629595,6.171739,-3.926592,0.014472
0.010000,1.684376,14.000379,0.044420,0.690876,6.128091,-4.364767,0.017200
0.010000,1.691892,14.000519,0.051937,0.751676,6.080066,-4.802504,0.020189
0.010000,1.700009,14.000696,0.060057,0.811953,6.027678,-5.238822,0.023442
0.010000,1.708723,14.000916,0.068773,0.871663,5.970945,-5.673259,0.026965
0.010000,1.718027,14.001185,0.078081,0.930762,5.909900,-6.104542,0.030760
0.010000,1.727914,14.001509,0.087973,0.989207,5.844584,-6.531563,0.034832
0.010000,1.738376,14.001896,0.098443,1.046958,5.775059,-6.952494,0.039185
0.010000,1.749406,14.002354,0.109482,1.103972,5.701405,-7.365467,0.043825
0.010000,1.760996,14.002891,0.121084,1.160209,5.623723,-7.768130,0.048757
0.010000,1.773136,14.003515,0.133241,1.215631,5.542142,-8.158172,0.053986
0.010000,1.785818,14.004236,0.145943,1.270199,5.456825,-8.531664,0.059518
0.010000,1.799031,14.005062,0.159182,1.323879,5.367968,-8.885712,0.065359
0.010000,1.812765,14.006003,0.172948,1.376637,5.275814,-9.215360,0.071515
