dt,x,y,position,velocity,acceleration,jerk,heading
0.01,1.639992,11,0.00005,0.01,1,100,0
0.01,1.640243,11,0.000301,0.025082,1.508151,50.815102,0.000043
0.01,1.640856,11,0.000914,0.061317,3.623563,211.541229,0.000152
0.01,1.641946,11,0.002004,0.109015,4.769835,114.627194,0.000345
0.01,1.64365,11.000001,0.003708,0.170355,6.133979,136.414408,0.000648
0.01,1.646103,11.000003,0.006161,0.245351,7.499607,136.562747,0.001083
0.01,1.649444,11.000008,0.009501,0.334026,8.867451,136.784416,0.001677
0.01,1.653808,11.000017,0.013866,0.43641,10.238379,137.092833,0.002453
0.01,1.659333,11.000033,0.019391,0.552544,11.613405,137.502609,0.003437
0.01,1.666158,11.000061,0.026216,0.682481,12.993701,138.029563,0.004653
0.01,1.674352,11.000105,0.03441,0.819455,13.697469,70.376828,0.006116
0.01,1.683919,11.000172,0.043977,0.956691,13.723599,2.612976,0.007827
0.01,1.694861,11.000268,0.05492,1.094232,13.754101,3.050213,0.009789
0.01,1.707181,11.000402,0.067241,1.232122,13.788983,3.488138,0.012003
0.01,1.720884,11.000584,0.080945,1.370405,13.828248,3.926498,0.014472
0.01,1.735974,11.000823,0.096036,1.509124,13.871893,4.364539,0.0172
0.01,1.752454,11.001131,0.112519,1.648323,13.919911,4.801839,0.020189
0.01,1.77033,11.001521,0.1304,1.788046,13.972296,5.238483,0.023442
0.01,1.789607,11.002007,0.149683,1.928336,14.029024,5.672803,0.026965
0.01,1.810291,11.002604,0.170376,2.069237,14.090066,6.104198,0.03076
0.01,1.832387,11.003329,0.192483,2.21079,14.155375,6.530888,0.034832
0.01,1.855901,11.004199,0.216014,2.353039,14.224893,6.95176,0.039185
0.01,1.88084,11.005235,0.240974,2.496025,14.29854,7.364747,0.043825
0.01,1.90721,11.006456,0.267372,2.639787,14.376217,7.767669,0.048757
0.01,1.935017,11.007886,0.295216,2.784365,14.457786,8.156902,0.053986
0.01,1.964267,11.009548,0.324514,2.929796,14.543096,8.530994,0.059518
0.01,1.994969,11.011467,0.355275,3.076115,14.63194,8.884463,0.065359
0.01,2.027127,11.013671,0.387508,3.223356,14.724087,9.214682,0.071515
0.01,2.060748,11.016189,0.421224,3.371548,14.819237,9.515017,0.077992
0.01,2.095839,11.019052,0.456431,3.520719,14.917052,9.781487,0.084797
0.01,2.132404,11.022291,0.49314,3.67089,15.017126,10.007417,0.091936
0.01,2.17045,11.025942,0.531361,3.82208,15.118974,10.184806,0.099417
0.01,2.209981,11.030041,0.571104,3.9743,15.222043,10.306826,0.107245
0.01,2.251001,11.034627,0.612379,4.127557,15.325687,10.364443,0.115429
0.01,2.293514,11.03974,0.655198,4.281849,15.429161,10.347399,0.123975
0.01,2.33752,11.045423,0.699569,4.437165,15.531622,10.24608,0.132889
0.01,2.383021,11.051721,0.745504,4.593486,15.632094,10.047252,0.14218
0.01,2.430016,11.05868,0.793012,4.750781,15.729495,9.740096,0.151852
0.01,2.478504,11.066349,0.842102,4.909007,15.822603,9.310723,0.161912
0.01,2.528478,11.07478,0.892783,5.068107,15.910044,8.744179,0.172366
0.01,2.579934,11.084026,0.945063,5.228011,15.990314,8.026978,0.183219
0.01,2.632863,11.094142,0.99895,5.388628,16.06175,7.14354,0.194477
0.01,2.687252,11.105184,1.054448,5.549853,16.122532,6.078266,0.206143
0.01,2.743086,11.117212,1.111564,5.71156,16.170701,4.816918,0.21822
0.01,2.800349,11.130285,1.1703,5.873602,16.204149,3.344712,0.230711
0.01,2.859018,11.144466,1.230658,6.035808,16.220634,1.648586,0.243617
0.01,2.919067,11.159816,1.292638,6.197986,16.217804,-0.283001,0.256937
0.01,2.980466,11.1764,1.356237,6.359918,16.193219,-2.458535,0.27067
0.01,3.04318,11.19428,1.42145,6.521362,16.14438,-4.88388,0.284813
0.01,3.107171,11.213521,1.488271,6.68205,16.068766,-7.561396,0.29936
0.01,3.172392,11.234185,1.556688,6.841689,15.963898,-10.48681,0.314306
0.01,3.238795,11.256336,1.626687,6.999963,15.827377,-13.652076,0.329639
0.01,3.306323,11.280033,1.698253,7.156532,15.656964,-17.041314,0.34535
0.01,3.374916,11.305334,1.771363,7.311039,15.450635,-20.63294,0.361424
0.01,3.444506,11.332297,1.845994,7.463105,15.206679,-24.395611,0.377845
0.01,3.515022,11.360972,1.922118,7.612343,14.923755,-28.29235,0.394595
0.01,3.586387,11.391407,1.999701,7.758353,14.600987,-32.276852,0.411651
0.01,3.658517,11.423647,2.078708,7.900733,14.238028,-36.29588,0.42899
0.01,3.731326,11.457727,2.159099,8.039084,13.835131,-40.289694,0.446584
0.01,3.804723,11.493682,2.24083,8.173016,13.393201,-44.193007,0.464405
0.01,3.878613,11.531534,2.323851,8.302155,12.913834,-47.9367,0.48242
0.01,3.9529,11.571302,2.408113,8.426148,12.399327,-51.450706,0.500595
0.01,4.027483,11.612997,2.493559,8.544675,11.852676,-54.665103,0.518894
0.01,4.102263,11.656622,2.580134,8.65745,11.277538,-57.5138,0.537278
0.01,4.17714,11.70217,2.667776,8.764232,10.67817,-59.936811,0.555707
0.01,4.252014,11.749629,2.756424,8.864825,10.059341,-61.882884,0.57414
0.01,4.326788,11.798979,2.846015,8.959087,9.426222,-63.311936,0.592535
0.01,4.401368,11.850189,2.936485,9.04693,8.784254,-64.196744,0.610848
0.01,4.475663,11.903226,3.027768,9.12832,8.139007,-64.524699,0.629038
0.01,4.549588,11.958045,3.119801,9.20328,7.496024,-64.298294,0.647061
0.01,4.623007,12.014556,3.212449,9.264892,6.161135,-133.488944,0.664861
0.01,4.695743,12.072614,3.305515,9.306584,4.169189,-199.194622,0.682372
0.01,4.767634,12.132068,3.398806,9.32904,2.245681,-192.350719,0.699533
0.01,4.838537,12.192758,3.492136,9.333027,0.398625,-184.705663,0.716287
