dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.675171,23.500001,0.006136,0.245455,4.909091,98.181818,0.000550
0.050000,1.696343,23.500037,0.027308,0.423434,3.559591,-26.989993,0.002799
0.050000,1.744004,23.500291,0.074969,0.953228,10.595880,140.725774,0.007843
0.050000,1.823513,23.501247,0.154485,1.590306,12.741566,42.913730,0.016196
0.050000,1.934983,23.503699,0.265982,2.229942,12.792712,1.022915,0.027774
0.050000,2.078569,23.508746,0.409656,2.873481,12.870777,1.561288,0.042445
0.050000,2.254465,23.517773,0.585784,3.522560,12.981578,2.216035,0.060025
0.050000,2.462907,23.532430,0.794741,4.179139,13.131590,3.000232,0.080263
0.050000,2.704166,23.554599,1.037016,4.845493,13.327081,3.909822,0.102834
0.050000,2.978542,23.586346,1.313223,5.524147,13.573074,4.919857,0.127328
0.050000,3.286370,23.629862,1.624111,6.217760,13.872257,5.983671,0.153245
0.050000,3.622575,23.686398,1.965036,6.818509,12.014974,-37.145677,0.179591
0.050000,3.976563,23.755406,2.325688,7.213030,7.890423,-82.491018,0.205059
0.050000,4.337573,23.835016,2.695372,7.393684,3.613087,-85.546720,0.228598
0.050000,4.700187,23.923520,3.068630,7.465162,1.429561,-43.670523,0.249754
0.050000,5.064446,24.020166,3.445492,7.537237,1.441502,0.238831,0.268509
0.050000,5.430423,24.124176,3.825963,7.609411,1.443483,0.039619,0.284859
0.050000,5.798228,24.234754,4.210030,7.681343,1.438627,-0.097126,0.298813
0.050000,6.168001,24.351088,4.597671,7.752826,1.429673,-0.179072,0.310384
0.050000,6.539919,24.472355,4.988860,7.823773,1.418927,-0.214920,0.319590
0.050000,6.914189,24.597723,5.383569,7.894185,1.408250,-0.213547,0.326450
0.050000,7.291050,24.726349,5.781776,7.964139,1.399075,-0.183487,0.330979
0.050000,7.670766,24.857378,6.183464,8.033761,1.392440,-0.132713,0.333187
0.050000,8.053627,24.989942,6.588624,8.103211,1.389009,-0.068618,0.333079
0.050000,8.439938,25.123153,6.997258,8.172666,1.389102,0.001857,0.330657
0.050000,8.830019,25.256101,7.409373,8.242302,1.392702,0.072009,0.325914
0.050000,9.224198,25.387851,7.824987,8.312274,1.399458,0.135126,0.318837
0.050000,9.622799,25.517433,8.244122,8.382708,1.408670,0.184238,0.309413
0.050000,10.026138,25.643840,8.666806,8.453671,1.419266,0.211914,0.297622
0.050000,10.434509,25.766026,9.093064,8.525160,1.429773,0.210142,0.283447
0.050000,10.848170,25.882896,9.522917,8.597075,1.438291,0.170365,0.266875
0.050000,11.267331,25.993313,9.956377,8.669198,1.442478,0.083724,0.247897
0.050000,11.692132,26.096096,10.393436,8.741176,1.439558,-0.058395,0.226519
0.050000,12.122629,26.190026,10.834061,8.812496,1.426385,-0.263467,0.202763
0.050000,12.558769,26.273855,11.278184,8.882473,1.399558,-0.536525,0.176672
0.050000,13.000374,26.346328,11.725697,8.950255,1.355632,-0.878522,0.148320
0.050000,13.447122,26.406200,12.176438,9.014825,1.291407,-1.284510,0.117814
0.050000,13.898529,26.452267,12.630191,9.075041,1.204308,-1.741974,0.085299
0.050000,14.353950,26.483401,13.086675,9.129682,1.092817,-2.229818,0.050962
0.050000,14.812575,26.498589,13.545551,9.177526,0.956888,-2.718583,0.015028
0.050000,15.254982,26.498802,13.987958,8.848148,-6.587567,-150.889095,6.273226
0.050000,15.697981,26.489145,14.431063,8.862087,0.278789,137.327107,6.247815
0.050000,16.159242,26.464517,14.892980,9.238350,7.525252,144.929266,6.209851
0.050000,16.642108,26.416614,15.378217,9.704733,9.327670,36.048365,6.156322
0.050000,17.150442,26.333474,15.893305,10.301764,11.940623,52.259054,6.082852
0.050000,17.687022,26.197514,16.446841,11.070730,15.379304,68.773633,5.983677
0.050000,18.248870,25.984061,17.047870,12.020574,18.996891,72.351727,5.852704
0.050000,18.817617,25.664861,17.700068,13.043953,20.467585,29.413887,5.687409
0.050000,19.350413,25.224513,18.391283,13.824303,15.606996,-97.211773,5.495892
0.050000,19.792158,24.683773,19.089522,13.964787,2.809680,-255.946333,5.299649
