dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003864,14.500001,0.003125,0.125000,2.500000,50.000000,0.000550
0.050000,0.019766,14.500028,0.019027,0.318038,3.860753,27.215064,0.002818
0.050000,0.055578,14.500220,0.054840,0.716262,7.964489,82.074712,0.007944
0.050000,0.119356,14.501020,0.118623,1.275651,11.187783,64.465883,0.017132
0.050000,0.215273,14.503332,0.214568,1.918904,12.865050,33.545348,0.031096
0.050000,0.343588,14.508537,0.342988,2.568404,12.990013,2.499259,0.050044
0.050000,0.504561,14.518547,0.504272,3.225687,13.145660,3.112940,0.074236
0.050000,0.698370,14.535852,0.698852,3.891591,13.318072,3.448242,0.103961
0.050000,0.924972,14.563561,0.927141,4.565791,13.484002,3.318599,0.139495
0.050000,1.183920,14.605407,1.189449,5.246155,13.607282,2.465591,0.181046
0.050000,1.474123,14.665688,1.485847,5.927963,13.636149,0.577334,0.228664
0.050000,1.793574,14.749090,1.816006,6.603173,13.504204,-2.638898,0.282129
0.050000,2.139109,14.860352,2.179012,7.260119,13.138920,-7.305667,0.340835
0.050000,2.506300,15.003776,2.573220,7.884161,12.480836,-13.161683,0.403683
0.050000,2.889609,15.182638,2.996206,8.459721,11.511213,-19.392457,0.469058
0.050000,3.282859,15.398660,3.444883,8.973534,10.276248,-24.699308,0.534896
0.050000,3.679975,15.651730,3.915782,9.417992,8.889162,-27.741719,0.598883
0.050000,4.075796,15.939968,4.405430,9.792950,7.499170,-27.799837,0.658696
0.050000,4.466685,16.260088,4.910674,10.104882,6.238633,-25.210741,0.712233
0.050000,4.850815,16.607885,5.428861,10.363741,5.177173,-21.229200,0.757721
0.050000,5.225710,16.976170,5.954390,10.510578,2.936741,-44.808653,0.793509
0.050000,5.588696,17.355073,6.479105,10.494306,-0.325427,-65.243341,0.818328
0.050000,5.938940,17.734890,6.995760,10.333090,-3.224321,-57.977892,0.831517
0.050000,6.276523,18.106362,7.497710,10.039000,-5.881809,-53.149759,0.832817
0.050000,6.603685,18.463029,7.981700,9.679799,-7.184014,-26.044104,0.822145
0.050000,6.924088,18.800808,8.447267,9.311344,-7.369095,-3.701615,0.799197
0.050000,7.255538,19.132771,8.916371,9.382087,1.414849,175.678890,0.778716
0.050000,7.608409,19.479801,9.411293,9.898443,10.327116,178.245323,0.777627
0.050000,7.966470,19.835844,9.916243,10.098990,4.010956,-126.323187,0.789616
0.050000,8.319780,20.200180,10.423755,10.150233,1.024860,-59.721932,0.813878
0.050000,8.658409,20.570915,10.925864,10.042197,-2.160738,-63.711962,0.849202
0.050000,8.975019,20.946834,11.417349,9.829684,-4.250247,-41.790170,0.894118
0.050000,9.264990,21.327545,11.895914,9.571307,-5.167548,-18.346025,0.947099
0.050000,9.524335,21.710965,12.358807,9.257870,-6.268727,-22.023570,1.006306
0.050000,9.750063,22.093286,12.802792,8.879690,-7.563603,-25.897517,1.069579
0.050000,9.940625,22.469285,13.224324,8.430641,-8.980987,-28.347681,1.134549
0.050000,10.096235,22.832956,13.619888,7.911289,-10.387043,-28.121133,1.198871
0.050000,10.218885,23.178306,13.986371,7.329650,-11.632786,-24.914857,1.260464
0.050000,10.312020,23.500062,14.321335,6.699285,-12.607298,-19.490233,1.317704
0.050000,10.379998,23.794101,14.623130,6.035893,-13.267840,-13.210839,1.369490
0.050000,10.427508,24.057555,14.890833,5.354070,-13.636447,-7.372139,1.415207
0.050000,10.459097,24.288672,15.124100,4.665325,-13.774908,-2.769222,1.454628
0.050000,10.478862,24.486562,15.322973,3.977474,-13.757012,0.357927,1.487783
0.050000,10.490294,24.650914,15.487723,3.294991,-13.649674,2.146743,1.514853
0.050000,10.496227,24.781767,15.618710,2.619750,-13.504809,2.897297,1.536079
0.050000,10.498851,24.879323,15.716301,1.951819,-13.358626,2.923669,1.551707
0.050000,10.499753,24.943961,15.780945,1.292884,-13.178703,3.598457,1.561966
0.050000,10.499969,24.980108,15.817094,0.722967,-11.398341,35.607246,1.567669
0.050000,10.499999,24.996051,15.833036,0.318848,-8.082373,66.319348,1.570176
0.050000,10.500000,25.000000,15.836986,0.078988,-4.797204,65.703381,1.570796
0.050000,10.500000,25.000000,15.836986,0.000000,-1.579754,64.349001,1.570796
