dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.676942,20.500002,0.006250,0.250000,5.000000,100.000000,0.000518
0.050000,1.705081,20.500046,0.034389,0.562779,6.255576,25.111526,0.002610
0.050000,1.768333,20.500359,0.097642,1.265052,14.045465,155.797766,0.007279
0.050000,1.873561,20.501529,0.202876,2.104684,16.792637,54.943447,0.014935
0.050000,2.020459,20.504494,0.349805,2.938576,16.677850,-2.295734,0.025388
0.050000,2.208573,20.510500,0.538014,3.764191,16.512302,-3.310969,0.038362
0.050000,2.437272,20.521025,0.766955,4.578811,16.292385,-4.398336,0.053491
0.050000,2.705733,20.537688,1.035933,5.379564,16.015067,-5.546360,0.070311
0.050000,3.012937,20.562133,1.344108,6.163502,15.678749,-6.726357,0.088264
0.050000,3.357672,20.595899,1.690493,6.927696,15.283884,-7.897306,0.106691
0.050000,3.738564,20.640268,2.073960,7.669351,14.833098,-9.015710,0.124839
0.050000,4.154122,20.696122,2.493254,8.385883,14.330641,-10.049157,0.141872
0.050000,4.596341,20.762762,2.940466,8.944238,11.167106,-63.270681,0.156683
0.050000,5.051261,20.837467,3.401480,9.220275,5.520745,-112.927224,0.168194
0.050000,5.505773,20.916569,3.862824,9.226881,0.132120,-107.772513,0.175757
0.050000,5.953756,20.997078,4.317983,9.103182,-2.473975,-52.121895,0.179197
0.050000,6.395551,21.077107,4.766969,8.979705,-2.469542,0.088672,0.178520
0.050000,6.831482,21.154845,5.209777,8.856168,-2.470755,-0.024259,0.173726
0.050000,7.261832,21.228549,5.646392,8.732303,-2.477291,-0.130729,0.164804
0.050000,7.686826,21.296538,6.076790,8.607962,-2.486832,-0.190829,0.151738
0.050000,8.106627,21.357194,6.500951,8.483211,-2.495004,-0.163440,0.134515
0.050000,8.521330,21.408966,6.918873,8.358445,-2.495317,-0.006245,0.113135
0.050000,8.930966,21.450379,7.330597,8.234485,-2.479200,0.322325,0.087626
0.050000,9.335513,21.480049,7.736231,8.112671,-2.436285,0.858310,0.058058
0.050000,9.734912,21.496703,8.135977,7.994917,-2.355084,1.624023,0.024567
0.050000,10.139397,21.499618,8.540472,8.089905,1.899752,85.096721,6.277469
0.050000,10.550170,21.492423,8.951308,8.216717,2.536246,12.729868,6.251368
0.050000,10.937713,21.472707,9.339352,7.760894,-9.116458,-233.054081,6.210083
0.050000,11.295056,21.436464,9.698529,7.183523,-11.547414,-48.619107,6.149570
0.050000,11.611391,21.381140,10.019665,6.422721,-15.216043,-73.372578,6.063726
0.050000,11.872221,21.307866,10.290592,5.418542,-20.083575,-97.350654,5.944450
0.050000,12.063271,21.224660,10.498974,4.167645,-25.017940,-98.687283,5.785158
0.050000,12.184910,21.143783,10.645047,2.921460,-24.923714,1.884518,5.591783
0.050000,12.263092,21.064804,10.756178,2.222620,-13.976800,218.938269,5.390871
0.050000,12.325545,20.970527,10.869264,2.261722,0.782042,295.176836,5.213709
0.050000,12.379925,20.850864,11.000704,2.628802,7.341596,131.191096,5.073756
0.050000,12.423792,20.711783,11.146539,2.916692,5.757809,-31.675750,4.968373
0.050000,12.455629,20.566024,11.295734,2.983913,1.344417,-88.267832,4.890210
0.050000,12.476582,20.425331,11.437979,2.844894,-2.780388,-82.496116,4.832402
0.050000,12.489080,20.298357,11.565567,2.551751,-5.862854,-61.649313,4.789816
0.050000,12.495707,20.190963,11.673164,2.151955,-7.995922,-42.661368,4.758899
0.050000,12.498693,20.106976,11.757205,1.680813,-9.422840,-28.538356,4.737276
0.050000,12.499733,20.048811,11.815379,1.163487,-10.346520,-18.473593,4.723408
0.050000,12.499971,20.016054,11.848138,0.655164,-10.166444,3.601520,4.715954
0.050000,12.499999,20.002846,11.861345,0.264152,-7.820241,46.924051,4.713017
0.050000,12.500000,20.000000,11.864191,0.056919,-4.144675,73.511320,4.712389
0.050000,12.500000,20.000000,11.864191,0.000000,-1.138373,60.126054,4.712389
